url,category_code,category_description
http:// www.payqar.net,FEXP,Free expression and media freedom
http://a1plus.wordpress.com,FEXP,Free expression and media freedom
http://adl.hayway.org,POLR,Political reform
http://ap.rau.am,FEXP,Free expression and media freedom
http://ara-ashjian.blogspot.com,FEXP,Free expression and media freedom
http://aramazd.livejournal.com,FEXP,Free expression and media freedom
http://azad-hye.blogspot.com,FEXP,Free expression and media freedom
http://beeline.am,COMM,E-commerce
http://civilnet.am,FEXP,Free expression and media freedom
http://ditord.wordpress.com,FEXP,Free expression and media freedom
http://epress.am,FEXP,Free expression and media freedom
http://foi.am/en/,FEXP,Free expression and media freedom
http://gayarmenia.aglany.org,GAYL,Gay-lesbian
http://gayarmenia.blogspot.com,GAYL,Gay-lesbian
http://genats-lehayim.blogspot.com,FEXP,Free expression and media freedom
http://hhk.am,POLR,Political reform
http://iararat.wordpress.com,FEXP,Free expression and media freedom
http://kornelij.livejournal.com/tag/blog,FEXP,Free expression and media freedom
http://lragir.am,FEXP,Free expression and media freedom
http://markgrigorian.livejournal.com,FEXP,Free expression and media freedom
http://panarmenian.net,FEXP,Free expression and media freedom
http://pigh.livejournal.com,HATE,Hate speech
http://pinkarmenia.blogspot.com,HUMR,Human rights
http://qbhima.blogspot.com,FEXP,Free expression and media freedom
http://queeringyerevan.blogspot.com,GAYL,Gay-lesbian
http://reporter.am,FEXP,Free expression and media freedom
http://stopxenophobia.org,HUMR,Human rights
http://times.am,FEXP,Free expression and media freedom
http://torrents.gisher.ru,P2P,Peer-to-peer computing
http://trans-armenia.blogspot.com,GAYL,Gay-lesbian
http://unzipped.blogspot.com,FEXP,Free expression and media freedom
http://webtv.am,FEXP,Free expression and media freedom
http://www.168.am,FEXP,Free expression and media freedom
http://www.1in.am,FEXP,Free expression and media freedom
http://www.7or.am,FEXP,Free expression and media freedom
http://www.a1plus.am,FEXP,Free expression and media freedom
http://www.aaainc.org,FEXP,Free expression and media freedom
http://www.adc.am,HOST,Web hosting sites and portals
http://www.aiprg.net,FEXP,Free expression and media freedom
http://www.amiab.am,POLT,Political transformation
http://www.anc.am/en/,POLT,Political transformation
http://www.anca.org,FEXP,Free expression and media freedom
http://www.aravot.am,FEXP,Free expression and media freedom
http://www.arf.am,POLR,Political reform
http://www.arfd.am,POLR,Political reform
http://www.arfd.info,POLR,Political reform
http://www.arka.am/eng/,FEXP,Free expression and media freedom
http://www.armenialiberty.am,FEXP,Free expression and media freedom
http://www.armenianow.com,FEXP,Free expression and media freedom
http://www.armeniansingles.com,DATE,Dating
http://www.armeniapedia.org,FEXP,Free expression and media freedom
http://www.arminco.com,HOST,Web hosting sites and portals
http://www.arminfo.info,FEXP,Free expression and media freedom
http://www.armtimes.com,FEXP,Free expression and media freedom
http://www.armtoday.info,FEXP,Free expression and media freedom
http://www.azadinform.az,FEXP,Free expression and media freedom
http://www.azatutyun.am,FEXP,Free expression and media freedom
http://www.azatutyun.net,FEXP,Free expression and media freedom
http://www.azg.am,FEXP,Free expression and media freedom
http://www.bhk.am,POLR,Political reform
http://www.bionet.am,HOST,Web hosting sites and portals
http://www.chi.am,FEXP,Free expression and media freedom
http://www.cilicia.com/armo_life-log.html,FEXP,Free expression and media freedom
http://www.csi.am,HUMR,Human rights
http://www.day.az,FEXP,Free expression and media freedom
http://www.fastnet.am,HOST,Web hosting sites and portals
http://www.freenet.am,HOST,Web hosting sites and portals
http://www.galasla.org,GAYL,Gay-lesbian
http://www.givemeinfo.am/en/,FEXP,Free expression and media freedom
http://www.gnc.am,HOST,Web hosting sites and portals
http://www.hayary.org,POLR,Political reform
http://www.hayastan.com,HOST,Web hosting sites and portals
http://www.haytube.com,MMED,Multimedia sharing
http://www.health.am,XED,Sex education and family planning
http://www.heritage.am,POLT,Political transformation
http://www.hetq.am,FEXP,Free expression and media freedom
http://www.hra.am,HUMR,Human rights
http://www.hraparak.am,FEXP,Free expression and media freedom
http://www.hunchak.org.au,POLR,Political reform
http://www.hyesingles.com,DATE,Dating
http://www.jewish.am,MINR,Minority rights and ethnic content
http://www.jnews.amù,FEXP,Free expression and media freedom
http://www.levonpresident.am,POLT,Political transformation
http://www.lragir.am,FEXP,Free expression and media freedom
http://www.media.am,FEXP,Free expression and media freedom
http://www.miacum.ru,FEXP,Free expression and media freedom
http://www.netsys.am,HOST,Web hosting sites and portals
http://www.news.am,FEXP,Free expression and media freedom
http://www.newsazerbaijan.ru,FEXP,Free expression and media freedom
http://www.nikolpashinyan.com,FEXP,Free expression and media freedom
http://www.nt.am,FEXP,Free expression and media freedom
http://www.oek.am/official/,POLR,Political reform
http://www.oneworld.am,FEXP,Free expression and media freedom
http://www.panorama.am,FEXP,Free expression and media freedom
http://www.payqar.org,FEXP,Free expression and media freedom
http://www.persons.am,FEXP,Free expression and media freedom
http://www.religions.am/eng/,MINF,Minority faiths
http://www.rferl.org/featuresarchive/country/armenia.html,FEXP,Free expression and media freedom
http://www.tert.am,FEXP,Free expression and media freedom
http://www.ucom.am,VOIP,VOIP
http://www.ulp.am,POLR,Political reform
http://www.usaanc.com,POLT,Political transformation
http://www.vost.net,SRCH,Search engines
http://www.web.am,HOST,Web hosting sites and portals
http://www.womenofarmenia.org,WOMR,Women's rights
http://www.yeresbook.com,GRP,Groups and social networking
http://www.yerkirmedia.am,FEXP,Free expression and media freedom
http://www.zerkalo.az,FEXP,Free expression and media freedom
http://www.zlm.am,FEXP,Free expression and media freedom
http://xocali.net,HUMR,Human rights
http://youtube.com/a1plusnews,FEXP,Free expression and media freedom
