url,category_code,category_description
http://bangladeshwatchdog.blogspot.com,MILX,"Militants, extremists and separatists"
http://bangladeshwatchdog.blogspot.com/2007_04_01_archive.html,POLR,Political reform
http://bangladoot.org,FREL,Foreign relations and military
http://bangladoot.org/Foreign%20Relations-Bangladesh%20and%20Outside%20world11oct02.doc,FREL,Foreign relations and military
http://banglapedia.search.com.bd,SRCH,Search engines
http://bd.singlescrowd.com,DATE,Dating
http://bdmilitary.blogspot.com,FREL,Foreign relations and military
http://bdpod.com,SRCH,Search engines
http://bdpolitics.blogspot.com,POLR,Political reform
http://bhorerkagoj.net,FEXP,Free expression and media freedom
http://borbodhu.com,DATE,Dating
http://counterterrorismblog.org,MILX,"Militants, extremists and separatists"
http://counterterrorismblog.org/2007/03/bangladesh_executes_jmb_milita_1.php,MILX,"Militants, extremists and separatists"
http://counterterrorismblog.org/2007/03/bangladesh_thousands_militants.php,MILX,"Militants, extremists and separatists"
http://counterterrorismblog.org/2007/03/saudi_money_funding_islamists.php,MILX,"Militants, extremists and separatists"
http://counterterrorismblog.org/2007/04/islamic_militant_kicks_off_rev.php,MILX,"Militants, extremists and separatists"
http://counterterrorismblog.org/2007/05/bangladesh_terror_deja_vu_1.php,MILX,"Militants, extremists and separatists"
http://cpj.org,FEXP,Free expression and media freedom
http://cpj.org/attacks06/asia06/bang06.html,FEXP,Free expression and media freedom
http://dakbangla.blogspot.com,POLR,Political reform
http://deshivoice.blogspot.com,POLR,Political reform
http://deshivoice.blogspot.com/2007/07/bangladeshs-political-reform.html,POLR,Political reform
http://dhakashohor.blogspot.com,POLR,Political reform
http://hrcbm.org,FREL,Foreign relations and military
http://hrcbmdfw.org,MILX,"Militants, extremists and separatists"
http://hrcbmdfw.org/blogs/bangladesh/archive/2006/01/02/70.aspx,MILX,"Militants, extremists and separatists"
http://hrtribune.com,MINF,Minority faiths
http://hrtribune.com/News/gang_rape_chuadanga.html,MINF,Minority faiths
http://hrw.org,FEXP,Free expression and media freedom
http://hrw.org/english/docs/2005/06/16/bangla11139.htm,MINF,Minority faiths
http://hrw.org/english/docs/2006/06/07/bangla13518.htm,HUMR,Human rights
http://hrw.org/reports/2005/bangladesh0605/4.htm,MINF,Minority faiths
http://in.rediff.com,MILX,"Militants, extremists and separatists"
http://in.rediff.com/news/2005/dec/21bspec.htm,HATE,Hate speech
http://jamestown.org,MILX,"Militants, extremists and separatists"
http://jamestown.org/terrorism/news/article.php?articleid=2369724&printthis=1,MILX,"Militants, extremists and separatists"
http://jugantor.com,FEXP,Free expression and media freedom
http://kothachat.com,GRP,Groups and social networking
http://material.ahrchk.net,HUMR,Human rights
http://material.ahrchk.net/hrreport/2006/Bangladesh2006.pdf,HUMR,Human rights
http://nation.ittefaq.com,FEXP,Free expression and media freedom
http://news.bbc.co.uk/2/hi/south_asia/6596775.stm,POLT,Political transformation
http://ourbangla.com,DATE,Dating
http://ourbangla.com/efriends/,GRP,Groups and social networking
http://sachalayatan.com,FEXP,Free expression and media freedom
http://salamdhaka.blogspot.com,POLR,Political reform
http://seclists.org,HACK,Hacking
http://seclists.org/isn/2006/Sep/0059.html,HACK,Hacking
http://taslimanasrin.com,FEXP,Free expression and media freedom
http://tpoi.blogspot.com,HAL,"History, arts and literature"
http://web.amnesty.org,FEXP,Free expression and media freedom
http://web.amnesty.org/library/Index/ENGASA130042005,FEXP,Free expression and media freedom
http://web.bizbangladesh.com,HOST,Web hosting sites and portals
http://www.ahsaniamission.org,ALDR,Alcohol and drugs
http://www.ajkerkagoj.com,FEXP,Free expression and media freedom
http://www.albd.org,POLR,Political reform
http://www.amadershomoy.com,FEXP,Free expression and media freedom
http://www.amardeshbd.com,FEXP,Free expression and media freedom
http://www.asiamedia.ucla.edu,FEXP,Free expression and media freedom
http://www.asiamedia.ucla.edu/article-southasia.asp?parentid=8262,VOIP,VOIP
http://www.asiantribune.com,FEXP,Free expression and media freedom
http://www.asiantribune.com/index.php?q=node/3748,POLR,Political reform
http://www.atimes.com/atimes/South_Asia/DI21Df06.html,MILX,"Militants, extremists and separatists"
http://www.bangla2000.com,HOST,Web hosting sites and portals
http://www.banglacafe.com,GRP,Groups and social networking
http://www.bangladesh-web.com,FEXP,Free expression and media freedom
http://www.bangladesh.net,HOST,Web hosting sites and portals
http://www.bangladeshdir.com,SRCH,Search engines
http://www.bangladeshdir.com/webs/catalog/660/index.html,MMED,Multimedia sharing
http://www.bangladeshjournal.com,POLR,Political reform
http://www.bangladeshjournal.com/article/Bangladesh/144/,POLR,Political reform
http://www.bangladeshobserveronline.com,FEXP,Free expression and media freedom
http://www.banglafriend.net,DATE,Dating
http://www.banglamusic.com,MMED,Multimedia sharing
http://www.banglarights.net,HUMR,Human rights
http://www.banglarights.net/news_and_issues.php?story_id=221&offset=0,HUMR,Human rights
http://www.banglatorrents.com,MMED,Multimedia sharing
http://www.bcdjc.com,FEXP,Free expression and media freedom
http://www.bdbangla.com,HOST,Web hosting sites and portals
http://www.bdblogs.net,BLGSERV,Blogging domains and blogging services
http://www.bddiscussion.com,POLT,Political transformation
http://www.bdmilitary.com,FREL,Foreign relations and military
http://www.bdnews24.com,FEXP,Free expression and media freedom
http://www.beautybangla.com,HOST,Web hosting sites and portals
http://www.bengaliguru.com,MMED,Multimedia sharing
http://www.blogcharm.com,MILX,"Militants, extremists and separatists"
http://www.blogcharm.com/blogbangla/725/Shaikh+Abdur+Rahman&%2339%3Bs+arrest+in+West+Bengal+shrouded+in+mystery.html,MILX,"Militants, extremists and separatists"
http://www.bnnrc.net,POLR,Political reform
http://www.bostonmasala.org,GAYL,Gay-lesbian
http://www.bssnews.net,FEXP,Free expression and media freedom
http://www.comminit.com,PUBH,Public health
http://www.comminit.com/experiences/pds2006/experiences-3770.html,PUBH,Public health
http://www.daily-dinkal.com,FEXP,Free expression and media freedom
http://www.dailydeshbangla.com,FEXP,Free expression and media freedom
http://www.dailyinqilab.com,FEXP,Free expression and media freedom
http://www.dailyjanakantha.com,FEXP,Free expression and media freedom
http://www.dailynayadiganta.com,FEXP,Free expression and media freedom
http://www.dailysangram.com,FEXP,Free expression and media freedom
http://www.demcoalition.org,POLT,Political transformation
http://www.demcoalition.org/pdf/A_Bangladesh.pdf,POLT,Political transformation
http://www.deshbideshweb.com,HOST,Web hosting sites and portals
http://www.deshilove.com,DATE,Dating
http://www.deshimarriage.com,DATE,Dating
http://www.drishtipat.org,POLR,Political reform
http://www.economist.com,FEXP,Free expression and media freedom
http://www.economist.com/countries/Bangladesh/profile.cfm?folder=Profile%2DPolitical%20Forces,POLT,Political transformation
http://www.expressindia.com,FEXP,Free expression and media freedom
http://www.faithfreedom.org,FEXP,Free expression and media freedom
http://www.faithfreedom.org/oped/JafforUllah40301.htm,MILX,"Militants, extremists and separatists"
http://www.fhi.org/en/RH/Pubs/wsp/fctshts/Bangladesh1.htm,XED,Sex education and family planning
http://www.fiercevoip.com,VOIP,VOIP
http://www.fiercevoip.com/story/bangladesh-isps-ask-for-voip-licenses/2007-02-27,VOIP,VOIP
http://www.globalvoicesonline.org/-/world/south-asia/bangladesh/,FEXP,Free expression and media freedom
http://www.himalmag.com,POLT,Political transformation
http://www.himalmag.com/2007/june/cover_feature_bangladesh.htm,POLT,Political transformation
http://www.host4bd.com,HOST,Web hosting sites and portals
http://www.hrcbm.org,HUMR,Human rights
http://www.hrcbm.org/images/manik_murder.html,MINF,Minority faiths
http://www.hrcbm.org/NEWLOOK/bargmara_10_212003.html,MINR,Minority rights and ethnic content
http://www.hrcbm.org/news/extremism.html,MINF,Minority faiths
http://www.hrtribune.com,MINR,Minority rights and ethnic content
http://www.ifex.org/en/content/view/full/85787,HUMR,Human rights
http://www.ifj.org/default.asp?index=4934&Language=EN,HUMR,Human rights
http://www.iht.com/articles/2007/03/30/news/bangla.php,MILX,"Militants, extremists and separatists"
http://www.ipetitions.com,FEXP,Free expression and media freedom
http://www.ipetitions.com/petition/bangladeshjustice/,POLT,Political transformation
http://www.islam-bd.org,MILX,"Militants, extremists and separatists"
http://www.ittefaq.com,FEXP,Free expression and media freedom
http://www.jaijaidin.com,FEXP,Free expression and media freedom
http://www.jordomedia.com,HOST,Web hosting sites and portals
http://www.khabarpatra.net,FEXP,Free expression and media freedom
http://www.khilafat.org,MILX,"Militants, extremists and separatists"
http://www.love4bd.com,DATE,Dating
http://www.manabzamin.net,FEXP,Free expression and media freedom
http://www.minesandcommunities.org,DEV,Development
http://www.mohfw.gov.bd,PUBH,Public health
http://www.moonsidermobile.com,HUMR,Human rights
http://www.mukto-mona.com,HUMR,Human rights
http://www.mukto-mona.com/human_rights/minority/report.htm,HUMR,Human rights
http://www.mybanglaspace.com,GRP,Groups and social networking
http://www.newagebd.com,FEXP,Free expression and media freedom
http://www.newagebd.com/2005/dec/19/fb.html,MILX,"Militants, extremists and separatists"
http://www.nowzuwan.org,HUMR,Human rights
http://www.odhikar.org,HUMR,Human rights
http://www.ombudsnet.org,DEV,Development
http://www.ombudsnet.org/organisations/viewOrg.asp?ID=521,DEV,Development
http://www.pinr.com,MILX,"Militants, extremists and separatists"
http://www.pinr.com/report.php?ac=view_report&report_id=334&language_id=1,MILX,"Militants, extremists and separatists"
http://www.planetbangladesh.com,GRP,Groups and social networking
http://www.popcouncil.org,XED,Sex education and family planning
http://www.prb.org,XED,Sex education and family planning
http://www.prothom-alo.com,FEXP,Free expression and media freedom
http://www.rhiya.org,XED,Sex education and family planning
http://www.rhiya.org/bangladesh_LL04.html,XED,Sex education and family planning
http://www.rsf.org/article.php3?id_article=10747&Valider=OK,HUMR,Human rights
http://www.saag.org,POLT,Political transformation
http://www.saag.org/%5Cpapers23%5Cpaper2248.html,POLR,Political reform
http://www.sajeeb.blogspot.com,POLR,Political reform
http://www.salganyc.org,GAYL,Gay-lesbian
