url,category_code,category_description
http://34mag.net,FEXP,Free expression and media freedom
http://aquamber.livejournal.com,FEXP,Free expression and media freedom
http://arche.bymedia.net/index.html,HAL,"History, arts and literature"
http://balachon.livejournal.com,FEXP,Free expression and media freedom
http://baleslau.livejournal.com,FEXP,Free expression and media freedom
http://bdg.by,FEXP,Free expression and media freedom
http://beatleofdoom.livejournal.com,FEXP,Free expression and media freedom
http://belapan.com,FEXP,Free expression and media freedom
http://belinter.net,FEXP,Free expression and media freedom
http://belmov.org,FEXP,Free expression and media freedom
http://bielarus.org,FEXP,Free expression and media freedom
http://blogs.tut.by,FEXP,Free expression and media freedom
http://budzma.org,FEXP,Free expression and media freedom
http://charter97.livejournal.com,FEXP,Free expression and media freedom
http://community.livejournal.com/by/,POLR,Political reform
http://community.livejournal.com/minsk_by,FEXP,Free expression and media freedom
http://czalex.livejournal.com,FEXP,Free expression and media freedom
http://e-mmm.com,FEXP,Free expression and media freedom
http://electroname.com,FEXP,Free expression and media freedom
http://forum.brest.by,FEXP,Free expression and media freedom
http://forum.grodno.net,FEXP,Free expression and media freedom
http://forums.tut.by,FEXP,Free expression and media freedom
http://freesms.mts.by,COMM,E-commerce
http://freespace.by,HOST,Web hosting sites and portals
http://fromlu.net,HATE,Hate speech
http://generation.by,FEXP,Free expression and media freedom
http://gomel.baptist.by,MINF,Minority faiths
http://hbnr.org,FEXP,Free expression and media freedom
http://hram.by,MINF,Minority faiths
http://i.tut.by,FEXP,Free expression and media freedom
http://intex-press.by,FEXP,Free expression and media freedom
http://intimby.net,PROV,Provocative attire
http://it.tut.by,FEXP,Free expression and media freedom
http://knihi.com,HAL,"History, arts and literature"
http://krishtafovitsh.livejournal.com,FEXP,Free expression and media freedom
http://lipkovich.livejournal.com,FEXP,Free expression and media freedom
http://loveplaneta.by,DATE,Dating
http://lutheranica.at.tut.by,MINF,Minority faiths
http://minsk_by.livejournal.com,FEXP,Free expression and media freedom
http://moladz.org,FEXP,Free expression and media freedom
http://music.fromby.net,HAL,"History, arts and literature"
http://nashaziamlia.org,POLT,Political transformation
http://news.vitebsk.cc,FEXP,Free expression and media freedom
http://niva.iig.pl,FEXP,Free expression and media freedom
http://otzyvy.by,FEXP,Free expression and media freedom
http://palitekanom.livejournal.com,POLR,Political reform
http://pananieba.org,HAL,"History, arts and literature"
http://press.bymedia.net,FEXP,Free expression and media freedom
http://prokopovi.ch,FEXP,Free expression and media freedom
http://providers.by,FEXP,Free expression and media freedom
http://s13.ru,FEXP,Free expression and media freedom
http://sergechaly.livejournal.com,POLR,Political reform
http://shaternikart.org,HAL,"History, arts and literature"
http://sieviarynets.net,FEXP,Free expression and media freedom
http://slucak.org,FEXP,Free expression and media freedom
http://tbm.org.by,HAL,"History, arts and literature"
http://torrents.by,MMED,Multimedia sharing
http://udf.by,FEXP,Free expression and media freedom
http://ulis.by,HAL,"History, arts and literature"
http://vceti.by,FEXP,Free expression and media freedom
http://vialejka.org,FEXP,Free expression and media freedom
http://vitebsk.ws,FEXP,Free expression and media freedom
http://www.3dway.org,POLT,Political transformation
http://www.afn.by,FEXP,Free expression and media freedom
http://www.alexluka.chat.ru,POLR,Political reform
http://www.allminsk.biz,POLT,Political transformation
http://www.apagay.com,GAYL,Gay-lesbian
http://www.arche.by,HAL,"History, arts and literature"
http://www.baj.by,FEXP,Free expression and media freedom
http://www.baptist.by,MINF,Minority faiths
http://www.bchd.info,POLR,Political reform
http://www.belarusnews.de,FEXP,Free expression and media freedom
http://www.belaruspartizan.org,FEXP,Free expression and media freedom
http://www.belarustoday.info,FEXP,Free expression and media freedom
http://www.belgazeta.by,FEXP,Free expression and media freedom
http://www.belmarket.by,FEXP,Free expression and media freedom
http://www.belmy.by,FEXP,Free expression and media freedom
http://www.belpa.org,FEXP,Free expression and media freedom
http://www.belradio.fm,FEXP,Free expression and media freedom
http://www.belsat.eu,FEXP,Free expression and media freedom
http://www.belzhaba.com,POLR,Political reform
http://www.bialorus.pl,FEXP,Free expression and media freedom
http://www.bielarus.net,POLR,Political reform
http://www.br.minsk.by,FEXP,Free expression and media freedom
http://www.brestonline.com,FEXP,Free expression and media freedom
http://www.bsdp.org,POLR,Political reform
http://www.bybanner.com,FEXP,Free expression and media freedom
http://www.byelarus.com,FEXP,Free expression and media freedom
http://www.bykau.by.ru,HAL,"History, arts and literature"
http://www.bykau.org,HAL,"History, arts and literature"
http://www.bymedia.net,FEXP,Free expression and media freedom
http://www.catholic.by,MINF,Minority faiths
http://www.cf-by.org,FEXP,Free expression and media freedom
http://www.charter97.org,FEXP,Free expression and media freedom
http://www.ciwr.org,FEXP,Free expression and media freedom
http://www.ctf.nsys.by,MINF,Minority faiths
http://www.data.minsk.by,FEXP,Free expression and media freedom
http://www.date.by,DATE,Dating
http://www.dzedzich.org,HUMR,Human rights
http://www.dziejaslou.by,HAL,"History, arts and literature"
http://www.ehu.lt,PUBH,Public health
http://www.ej.by,FEXP,Free expression and media freedom
http://www.euramost.org,FEXP,Free expression and media freedom
http://www.europeanbelarus.org,FEXP,Free expression and media freedom
http://www.ex-press.by,FEXP,Free expression and media freedom
http://www.flirt.by,DATE,Dating
http://www.gay.ru,FEXP,Free expression and media freedom
http://www.gayly.ru,GAYL,Gay-lesbian
http://www.gazetaby.com,FEXP,Free expression and media freedom
http://www.globalvoicesonline.org/-/world/eastern-central-europe/belarus/,POLR,Political reform
http://www.gomelspring.org,FEXP,Free expression and media freedom
http://www.gs.by,FEXP,Free expression and media freedom
http://www.hitroe.com,FEXP,Free expression and media freedom
http://www.iiseps.org,FEXP,Free expression and media freedom
http://www.imperiya.by,POLT,Political transformation
http://www.info.belreform.org,MINF,Minority faiths
http://www.interfax.by,FEXP,Free expression and media freedom
http://www.islam.by,MINF,Minority faiths
http://www.itv.by,FEXP,Free expression and media freedom
http://www.kalegium.org,PUBH,Public health
http://www.kp.by,FEXP,Free expression and media freedom
http://www.krinica.org,MINF,Minority faiths
http://www.kryscina.com,FEXP,Free expression and media freedom
http://www.lastrada.by,WOMR,Women's rights
http://www.lawtrend.org,POLR,Political reform
http://www.ldbsm.narod.ru,PUBH,Public health
http://www.leader.ru,ANON,Anonymizers and circumvention
http://www.lesbi.ru,GAYL,Gay-lesbian
http://www.levonevski.net,FEXP,Free expression and media freedom
http://www.levonevsky.org,FEXP,Free expression and media freedom
http://www.litara.net,HAL,"History, arts and literature"
http://www.mfront.net,FEXP,Free expression and media freedom
http://www.milinkevich.org,FEXP,Free expression and media freedom
http://www.multclub.org,FEXP,Free expression and media freedom
http://www.naviny.by,FEXP,Free expression and media freedom
http://www.newlife.by,MINF,Minority faiths
http://www.ngo.by,HUMR,Human rights
http://www.nn.by,FEXP,Free expression and media freedom
http://www.nobility.by,HAL,"History, arts and literature"
http://www.open.by,FEXP,Free expression and media freedom
http://www.ourbelarus.org,POLR,Political reform
http://www.politoboz.com,POLR,Political reform
http://www.polskieradio.pl/zagranica/by/,FEXP,Free expression and media freedom
http://www.pravoby.info,HUMR,Human rights
http://www.pride.by,GAYL,Gay-lesbian
http://www.probelarus.ru,FEXP,Free expression and media freedom
http://www.racyja.com,FEXP,Free expression and media freedom
http://www.radabnr.org,POLR,Political reform
http://www.reformedbelarus.org,MINF,Minority faiths
http://www.saligorsk.org,FEXP,Free expression and media freedom
http://www.sobor.by,REL,"Religious conversion, commentary and criticism"
http://www.spring96.org,FEXP,Free expression and media freedom
http://www.svaboda.org,FEXP,Free expression and media freedom
http://www.telegraf.by,FEXP,Free expression and media freedom
http://www.tut.by,FEXP,Free expression and media freedom
http://www.ucpb.org,POLR,Political reform
http://www.ultravozhyk.com,POLR,Political reform
http://www.un.by,HUMR,Human rights
http://www.velcom.by/ru/private/services/web-sms,COMM,E-commerce
http://www.voka.tk,HAL,"History, arts and literature"
http://www.vstrecha.by,GAYL,Gay-lesbian
http://www.wolnabialorus.org,FEXP,Free expression and media freedom
http://www.yousmi.by,FEXP,Free expression and media freedom
http://www.zabelarus.info,POLR,Political reform
http://www.zavadsky.org,FEXP,Free expression and media freedom
http://www.zbsb.org,FEXP,Free expression and media freedom
http://www.zmk-by.org,MINF,Minority faiths
http://www2.bspn.nsys.by,POLT,Political transformation
http://zapraudu.info,FEXP,Free expression and media freedom
http://zautra.by,FEXP,Free expression and media freedom
http://zbma.net,FEXP,Free expression and media freedom
