url,category_code,category_description
http://a-osipoff.livejournal.com,FREL,Foreign relations and military
http://a-privalov.livejournal.com,FREL,Foreign relations and military
http://a-sadov.livejournal.com,FREL,Foreign relations and military
http://ags.demokratia.ru,POLR,Political reform
http://amnesty.org.ru,HUMR,Human rights
http://anaitiss.livejournal.com,FREL,Foreign relations and military
http://anonymizer.report.ru,ANON,Anonymizers and circumvention
http://anonymizer.report.ru/_5FolderID_21226_.html,ANON,Anonymizers and circumvention
http://another-kashin.livejournal.com,FREL,Foreign relations and military
http://antijob.mahost.org,POLT,Political transformation
http://arestant.msk.ru,HUMR,Human rights
http://artem.gayclub.ru,GAYL,Gay-lesbian
http://awvestnik.narod.ru,HUMR,Human rights
http://beon.ru,BLGSERV,Blogging domains and blogging services
http://BitchX.Ru,FEXP,Free expression and media freedom
http://blog.kp.ru,BLGSERV,Blogging domains and blogging services
http://blog.megaforum.ru,BLGSERV,Blogging domains and blogging services
http://blog.ru,BLGSERV,Blogging domains and blogging services
http://blogroll.ru,BLGSERV,Blogging domains and blogging services
http://blogs.gde.ru,BLGSERV,Blogging domains and blogging services
http://blogs.mail.ru,BLGSERV,Blogging domains and blogging services
http://blogs.privet.ru,BLGSERV,Blogging domains and blogging services
http://blogs.yandex.ru,BLGSERV,Blogging domains and blogging services
http://blogseo.ru,BLGSERV,Blogging domains and blogging services
http://bride.ru,DATE,Dating
http://buddhism.org.ru,REL,"Religious conversion, commentary and criticism"
http://buddhist.ru,REL,"Religious conversion, commentary and criticism"
http://buro-perevodov14.jino-net.ru,TRNS,Translation
http://chadayev.livejournal.com,FREL,Foreign relations and military
http://chertog.livejournal.com,FREL,Foreign relations and military
http://community.livejournal.com,FEXP,Free expression and media freedom
http://community.livejournal.com/dpni_ru,POLR,Political reform
http://community.livejournal.com/openrussia/,POLR,Political reform
http://compromat.ru,FEXP,Free expression and media freedom
http://contracept.newlist.ru,XED,Sex education and family planning
http://damochka.ru,GRP,Groups and social networking
http://dating.ru,DATE,Dating
http://deep21.sitecity.ru,GAYL,Gay-lesbian
http://demos-center.ru,POLT,Political transformation
http://directory.mblog.ru,BLGSERV,Blogging domains and blogging services
http://dni.ru,FEXP,Free expression and media freedom
http://donnerwort.livejournal.com,FREL,Foreign relations and military
http://drug-naroda.com,POLR,Political reform
http://drug-naroda.net,POLR,Political reform
http://drug-naroda.org,POLR,Political reform
http://drug-naroda.ru,POLR,Political reform
http://echo.msk.ru,FEXP,Free expression and media freedom
http://elhosting.ru,HOST,Web hosting sites and portals
http://elitvip.ru,PORN,Pornography
http://eroporno.ru,PORN,Pornography
http://eurasia.org.ru,FEXP,Free expression and media freedom
http://fca.narod.ru,MINR,Minority rights and ethnic content
http://forum.lingvo.ru,TRNS,Translation
http://free.newyork.ru,TRNS,Translation
http://freepromote.ru,MMED,Multimedia sharing
http://freeware32.ru,MMED,Multimedia sharing
http://gaia.ru,GAYL,Gay-lesbian
http://gamsoft.ru,GMB,Gambling
http://gazeta.ru,FEXP,Free expression and media freedom
http://gej.ru,GAYL,Gay-lesbian
http://glazev.ru,POLR,Political reform
http://grani.ru,FEXP,Free expression and media freedom
http://grani.ru/opinion/limonov/,POLR,Political reform
http://haker.iphosting.ru,HACK,Hacking
http://holmogor.livejournal.com,FREL,Foreign relations and military
http://hospital.playland.ru,XED,Sex education and family planning
http://hosting.rbc.ru,HOST,Web hosting sites and portals
