url,category_code,category_description
http://anncol-brasil.blogspot.com,MILX,"Militants, extremists and separatists"
http://blogcindario.miarroba.es,FEXP,Free expression and media freedom
http://colombia.indymedia.org,FEXP,Free expression and media freedom
http://comunicaciones.acantioquia.org,FEXP,Free expression and media freedom
http://congresovisible.org,FEXP,Free expression and media freedom
http://corrientelectronica.wordpress.com,POLT,Political transformation
http://ddhhenlasnoticias.blogspot.com,HUMR,Human rights
http://delaurbedigital.udea.edu.co,FEXP,Free expression and media freedom
http://delicious.com,MMED,Multimedia sharing
http://dickema24.blogspot.com,FEXP,Free expression and media freedom
http://elblogdenesi.blogspot.com/2010/06/pruebas-del-fraude-electoral-en.html,FEXP,Free expression and media freedom
http://equinoxio.org,FEXP,Free expression and media freedom
http://giss.tv:8000/mmedia-p.mp3.m3u,FEXP,Free expression and media freedom
http://hotspotshield.com,FEXP,Free expression and media freedom
http://identi.ca,MMED,Multimedia sharing
http://ivan-cepeda.blogspot.com,FEXP,Free expression and media freedom
http://lacocalocacompany.blogcindario.com,FEXP,Free expression and media freedom
http://lahuelladigital.blogspot.com,FEXP,Free expression and media freedom
http://legislaciones.item.org.uy/index?q=paises/25,FEXP,Free expression and media freedom
http://masinformacionmasderechos.net,FEXP,Free expression and media freedom
http://partidoalas.com,FEXP,Free expression and media freedom
http://periferiaprensa.org,FEXP,Free expression and media freedom
http://picasaweb.google.com,FEXP,Free expression and media freedom
http://prensarural.org/spip/,FEXP,Free expression and media freedom
http://psiphon.ca,FEXP,Free expression and media freedom
http://radioclandestina.blogspot.com,FEXP,Free expression and media freedom
http://sites.google.com/site/cteachc/los-falsos-positivos,FEXP,Free expression and media freedom
http://tuitero.com/colombia/,FEXP,Free expression and media freedom
http://uribestiario.wordpress.com,FEXP,Free expression and media freedom
http://vidasi-muerteno.blogspot.com,HAL,"History, arts and literature"
http://www.45-rpm.net,FEXP,Free expression and media freedom
http://www.abpnoticias.com,FEXP,Free expression and media freedom
http://www.aicocolombia.org,FEXP,Free expression and media freedom
http://www.ajpl.nu/radio/,FEXP,Free expression and media freedom
http://www.anncol.eu,HAL,"History, arts and literature"
http://www.antenamutante.net,FEXP,Free expression and media freedom
http://www.aperturaliberal.com,FEXP,Free expression and media freedom
http://www.aporrea.org,FEXP,Free expression and media freedom
http://www.asocrit.com,FEXP,Free expression and media freedom
http://www.cambio.com.co,FEXP,Free expression and media freedom
http://www.caracol.com.co,FEXP,Free expression and media freedom
http://www.censat.org,FEXP,Free expression and media freedom
http://www.clandestineradio.com,MILX,"Militants, extremists and separatists"
http://www.clickafectatumundo.com,FEXP,Free expression and media freedom
http://www.coalico.org,HAL,"History, arts and literature"
http://www.colectivomaloka.org,MINR,Minority rights and ethnic content
http://www.colombia.com/radio/,FEXP,Free expression and media freedom
http://www.colombiadecide.com,FEXP,Free expression and media freedom
http://www.colombiademocratica.com,FEXP,Free expression and media freedom
http://www.colombiareports.com,FEXP,Free expression and media freedom
http://www.congresovisible.org,FEXP,Free expression and media freedom
http://www.cypherpunks.ca/otr/,ANON,Anonymizers and circumvention
http://www.desdeabajo.info,FEXP,Free expression and media freedom
http://www.desplazados.org.co,HAL,"History, arts and literature"
http://www.ecuavisa.com,FEXP,Free expression and media freedom
http://www.elcontratosocial.com,FEXP,Free expression and media freedom
http://www.elecciones.com.co,FEXP,Free expression and media freedom
http://www.facebook.com,FEXP,Free expression and media freedom
http://www.farcejercitodelpueblo.org,MILX,"Militants, extremists and separatists"
http://www.fightersandlovers.org,MILX,"Militants, extremists and separatists"
http://www.flickr.com,MMED,Multimedia sharing
http://www.flip.org.co,FEXP,Free expression and media freedom
http://www.gwu.edu/~nsarchiv/colombia/,FEXP,Free expression and media freedom
http://www.hacer.org/latam/?cat=8,FEXP,Free expression and media freedom
http://www.herdict.org/web/,FEXP,Free expression and media freedom
http://www.jesuitas.org.co,REL,"Religious conversion, commentary and criticism"
http://www.lasillavacia.com,FEXP,Free expression and media freedom
http://www.macondoonline.com,FEXP,Free expression and media freedom
http://www.mmedia-p.org,FEXP,Free expression and media freedom
http://www.moe.org.co/webmoe/,FEXP,Free expression and media freedom
http://www.morrisproducciones.com,FEXP,Free expression and media freedom
http://www.movimientodevictimas.org,HUMR,Human rights
http://www.myspace.com/radiodespertarlibertario,FEXP,Free expression and media freedom
http://www.myspace.com/vozintierra,FEXP,Free expression and media freedom
http://www.ndi.org,POLT,Political transformation
http://www.ned.org,POLT,Political transformation
http://www.nocheyniebla.org,HUMR,Human rights
http://www.ofp.org.co,FEXP,Free expression and media freedom
http://www.onic.org.co,MINR,Minority rights and ethnic content
