url,category_code,category_description
http://abhazia-sochi.blogspot.com,MILX,"Militants, extremists and separatists"
http://cluborlov.com/apsny/,MILX,"Militants, extremists and separatists"
http://cominf.org,MILX,"Militants, extremists and separatists"
http://community-dpr.org,MILX,"Militants, extremists and separatists"
http://cyxymu.livejournal.com/280294.html,MILX,"Militants, extremists and separatists"
http://data.electionportal.ge,POLT,Political transformation
http://eng.kavkaz-uzel.ru,FREL,Foreign relations and military
http://forum.ge,POLR,Political reform
http://forum.ge/?showforum=29,POLR,Political reform
http://gaytbilisi.com,GAYL,Gay-lesbian
http://gazeta.ru,FEXP,Free expression and media freedom
http://ick.ge,FEXP,Free expression and media freedom
http://identoba.ge,GAYL,Gay-lesbian
http://info9.ge,FEXP,Free expression and media freedom
http://lenta.ru,FEXP,Free expression and media freedom
http://lgbt.ge,GAYL,Gay-lesbian
http://loveplanet.ru,DATE,Dating
http://maestro.ge,FEXP,Free expression and media freedom
http://mamuli.net/portal/ge/forum/forum_topics.asp?FID=70,POLT,Political transformation
http://netgazeti.ge,FEXP,Free expression and media freedom
http://odnoklassniki.ru,FEXP,Free expression and media freedom
http://osgenocide.ru,MILX,"Militants, extremists and separatists"
http://osinform.ru,MILX,"Militants, extremists and separatists"
http://palitratv.ge,FEXP,Free expression and media freedom
http://pirweli.com.ge,FEXP,Free expression and media freedom
http://presa.ge,FEXP,Free expression and media freedom
http://rustavi2.ge,FEXP,Free expression and media freedom
http://saakant-bichi.blogspot.com,FEXP,Free expression and media freedom
http://solomonternaleli.wordpress.com,FEXP,Free expression and media freedom
http://southosetia.euro.ru,MILX,"Militants, extremists and separatists"
http://thewayofgeorgia.org,POLR,Political reform
http://tribuna.ge,FEXP,Free expression and media freedom
http://tv9.ge,FEXP,Free expression and media freedom
http://twitter.com/b_ivanishvili,POLT,Political transformation
http://www.abkhazeti.ru,MILX,"Militants, extremists and separatists"
http://www.abkhazia.dot.ge,MILX,"Militants, extremists and separatists"
http://www.abkhazia.org,MILX,"Militants, extremists and separatists"
http://www.abkhaziagov.org,MILX,"Militants, extremists and separatists"
http://www.abkhaziya.org,MILX,"Militants, extremists and separatists"
http://www.apsny.ge,FEXP,Free expression and media freedom
http://www.apsnypress.info,MILX,"Militants, extremists and separatists"
http://www.avoe.ge,SFTWR,Software downloads
http://www.azrebi.ge,FEXP,Free expression and media freedom
http://www.bestcracks.net,HACK,Hacking
http://www.binmahfouz.info/en_index.html,HAL,"History, arts and literature"
http://www.civil.ge,FEXP,Free expression and media freedom
http://www.conservators.ge,POLR,Political reform
http://www.crack.ms,HACK,Hacking
http://www.cracks.vg,HACK,Hacking
http://www.dailymotion.com/tag/jihad,HAL,"History, arts and literature"
http://www.damochka.ru,DATE,Dating
http://www.download.ge,SFTWR,Software downloads
http://www.ertoba.net/echo1/sppro/bpg/default.asp,POLR,Political reform
http://www.expert.ru/printissues/expert/2003/45/45ex-editrl/,FEXP,Free expression and media freedom
http://www.expert.ru/tags/countries/georgia/,FEXP,Free expression and media freedom
http://www.facebook.com/merabishvili.vano,POLR,Political reform
http://www.facebook.com/officialbidzinaivanishvili,POLT,Political transformation
http://www.facebook.com/officialgeorgiandream,POLT,Political transformation
http://www.facebook.com/saakashvilimikheil,FEXP,Free expression and media freedom
http://www.fast.ge,MMED,Multimedia sharing
http://www.for.ge,FEXP,Free expression and media freedom
http://www.gamebookers.com,GMB,Gambling
http://www.georgiandream.ge,POLR,Political reform
http://www.gol.ge,P2P,Peer-to-peer computing
http://www.gyla.ge,POLR,Political reform
http://www.hackzone.ru,HACK,Hacking
http://www.intercasino.com,GMB,Gambling
http://www.iveroni.com.ge,FEXP,Free expression and media freedom
http://www.kafkas.org.tr,MILX,"Militants, extremists and separatists"
http://www.labour.ge,POLR,Political reform
http://www.liberali.ge,FEXP,Free expression and media freedom
http://www.link.ge,MMED,Multimedia sharing
http://www.livestream.com/tv9ge,FEXP,Free expression and media freedom
http://www.mfaabkhazia.org,MILX,"Militants, extremists and separatists"
http://www.mid.ru,FREL,Foreign relations and military
http://www.myphone.ge,VOIP,VOIP
http://www.ncp.ge,POLR,Political reform
http://www.ndp.ge,POLR,Political reform
http://www.netgazeti.ge,FEXP,Free expression and media freedom
http://www.newsgeorgia.ge,FEXP,Free expression and media freedom
http://www.newsgeorgia.ru,FEXP,Free expression and media freedom
http://www.osradio.ru,MILX,"Militants, extremists and separatists"
http://www.regnum.ru/news/georgia/,FEXP,Free expression and media freedom
http://www.republicans.ge,POLR,Political reform
http://www.rian.ru,FEXP,Free expression and media freedom
http://www.s0ftpj.org,HACK,Hacking
http://www.scribd.com/tv9ge,FEXP,Free expression and media freedom
http://www.svobodnaya-gruzia.com,FEXP,Free expression and media freedom
http://www.tabula.ge,POLR,Political reform
http://www.torrents.ge,MMED,Multimedia sharing
http://www.unm.ge,POLR,Political reform
http://www.voip.ge,VOIP,VOIP
http://www.willhill.com,GMB,Gambling
http://www.youtube.com/channel/ucjcuyyg0yl6sgtfxftmtmvq,FEXP,Free expression and media freedom
http://www.youtube.com/user/ivanishviliofficial,POLR,Political reform
http://www.youtube.com/user/tv9ge,FEXP,Free expression and media freedom
https://www.rapidshare.com,MMED,Multimedia sharing
