url,category_code,category_description
http://adn.com.gt/v1/,POLR,Political reform
http://angel-ateo.com,MINF,Minority faiths
http://annguatemala.net,POLR,Political reform
http://asometgua.org,MINF,Minority faiths
http://azulinca.blogspot.com,REL,"Religious conversion, commentary and criticism"
http://blog.descargasgay.com,PORN,Pornography
http://bloggeras.wordpress.com,WOMR,Women's rights
http://cabalasisoy.blogspot.com,GAYL,Gay-lesbian
http://chapineseneuropa.com,FEXP,Free expression and media freedom
http://chiapas.indymedia.org,FEXP,Free expression and media freedom
http://claudianavas.blogspot.com,FEXP,Free expression and media freedom
http://colguate.blogspot.com,FEXP,Free expression and media freedom
http://collectif-guatemala.chez-alice.fr,HUMR,Human rights
http://consumidos.net,MISC,Miscellaneous
http://creo.org.gt,POLR,Political reform
http://deliriodelunallena.blogspot.com,GAYL,Gay-lesbian
http://democraciamulticultural.blogspot.com,MINR,Minority rights and ethnic content
http://es.catholic.net,REL,"Religious conversion, commentary and criticism"
http://fundacionsolar.org.gt,HUMR,Human rights
http://gerardojosesandoval.blogspot.com,PROV,Provocative attire
http://guatemala.acambiode.com,DEV,Development
http://guatemala.unfpa.org,XED,Sex education and family planning
http://guatemalaisrael.com,MINF,Minority faiths
http://guatequepaso.blogspot.com,FEXP,Free expression and media freedom
http://hunapu-e-ixbalanque.blogspot.com,POLT,Political transformation
http://indigenista.org,MINR,Minority rights and ethnic content
http://jovenescontralaviolencia.org,FEXP,Free expression and media freedom
http://jovenesporguatemala.org,FEXP,Free expression and media freedom
http://kasaquea.blogspot.com,FEXP,Free expression and media freedom
http://lasdelrollo.blogspot.com,GAYL,Gay-lesbian
http://manra.blogspot.com,GAYL,Gay-lesbian
http://mimundo-jamesrodriguez-esp.blogspot.com,FEXP,Free expression and media freedom
http://nosgustaelchiclet.blogspot.com,FEXP,Free expression and media freedom
http://paraguate.wordpress.com,HUMR,Human rights
http://perspectivamilitar.blogspot.com,MILX,"Militants, extremists and separatists"
http://pi2.com,HUMR,Human rights
http://pi2.com/isotonic/gentejoven/GENTE%20JOVEN.htm,HUMR,Human rights
http://plazapublica.com.gt,FEXP,Free expression and media freedom
http://pluriculturalidadjuridica.blogspot.com,POLT,Political transformation
http://proyecto-de-salud-guatemala.org,PUBH,Public health
http://radiochapincita.com,FEXP,Free expression and media freedom
http://ravensbar.blogspot.com,MISC,Miscellaneous
http://renunciepresidentecolom.wordpress.com,FEXP,Free expression and media freedom
http://sexmodel.wordpress.com,PORN,Pornography
http://tlc-no.blogspot.com,FREL,Foreign relations and military
http://tlc.ticoblogger.com,FREL,Foreign relations and military
http://unionistas.org,POLR,Political reform
http://usuarios.lycos.es,MINF,Minority faiths
http://usuarios.lycos.es/ateismoguatemala/principal.html,MINF,Minority faiths
http://www.abg.org.gt,DEV,Development
http://www.acofop.org,ENV,Environment
http://www.adesca.org.gt,MINR,Minority rights and ethnic content
http://www.adpverapaz.org,HUMR,Human rights
http://www.albedrio.org,FEXP,Free expression and media freedom
http://www.aldawa.org,MINF,Minority faiths
http://www.amatitlanesasi.com,FEXP,Free expression and media freedom
http://www.anini.org,HUMR,Human rights
http://www.asociacion-casaguatemala.es,HUMR,Human rights
http://www.asociacionshare.org,HUMR,Human rights
http://www.asocirgua.com,PUBH,Public health
http://www.asodigua.blogspot.com,MINR,Minority rights and ethnic content
http://www.asogerxel.com,PUBH,Public health
http://www.ateismochapin.ya.st,MINF,Minority faiths
http://www.avancso.org.gt,HUMR,Human rights
http://www.azucar.com.gt,DEV,Development
http://www.bahaiguate.org,MINF,Minority faiths
http://www.bibliotecarigoberta.org,MINR,Minority rights and ethnic content
http://www.bilaterals.org,FREL,Foreign relations and military
http://www.biodiversidadla.org,MINR,Minority rights and ethnic content
http://www.blogschapines.com,BLGSERV,Blogging domains and blogging services
http://www.blogsdeguatemala.com,BLGSERV,Blogging domains and blogging services
http://www.budaguate.org,MINF,Minority faiths
http://www.cacif.org.gt,DEV,Development
http://www.calas.org.gt,ENV,Environment
http://www.caldh.org,HUMR,Human rights
http://www.camaraguatemala-india.com,FREL,Foreign relations and military
http://www.casa-alianza.org,HUMR,Human rights
http://www.casahillel.com,MINF,Minority faiths
http://www.casatibetguatemala.org,MINF,Minority faiths
http://www.casogutierrez.com,FEXP,Free expression and media freedom
http://www.ceibitafilms.com,HAL,"History, arts and literature"
http://www.cerigua.org,FEXP,Free expression and media freedom
http://www.chimaltenango.org,FEXP,Free expression and media freedom
http://www.cien-gt.blogspot.com,DEV,Development
http://www.cien.org.gt,DEV,Development
http://www.cirma.org.gt,FEXP,Free expression and media freedom
http://www.cnoc.org.gt,MINR,Minority rights and ethnic content
http://www.comunidadjudia.com,MINF,Minority faiths
http://www.conavigua.org.gt,WOMR,Women's rights
http://www.congresovisible.com,FEXP,Free expression and media freedom
http://www.conocereisdeverdad.org,REL,"Religious conversion, commentary and criticism"
http://www.crecer.org.gt,DEV,Development
http://www.criptored.upm.es,HACK,Hacking
http://www.cristodeesquipulas.com,REL,"Religious conversion, commentary and criticism"
http://www.decreto9097.com,FEXP,Free expression and media freedom
http://www.defensores.org.gt,ENV,Environment
http://www.defiendetufe.org,REL,"Religious conversion, commentary and criticism"
http://www.deguate.com,FEXP,Free expression and media freedom
http://www.derechos.net,HUMR,Human rights
http://www.derechos.net/adivima/,HUMR,Human rights
http://www.detodounpocoenguate.blogspot.com,DEV,Development
http://www.dexterhorn.com/country/centralamerica/guatemala.htm,PORN,Pornography
