url,category_code,category_description
http://213.4.130.210,FEXP,Free expression and media freedom
http://aadaamaak.blogfa.com,GAYL,Gay-lesbian
http://ablogformen2.blogspot.com,GAYL,Gay-lesbian
http://abujahl.blogspot.com,REL,"Religious conversion, commentary and criticism"
http://acetaminophen.persianblog.com,POLT,Political transformation
http://akbarganji.net,POLT,Political transformation
http://alfie-atkins.blogspot.com,POLT,Political transformation
http://alone-persian-man.blogspot.com,GAYL,Gay-lesbian
http://amindownload.persianblog.com,HACK,Hacking
http://anidalton.blogfa.com,FEXP,Free expression and media freedom
http://anonvmouse.ws,ANON,Anonymizers and circumvention
http://aqueeerdiaries.blogspot.com,GAYL,Gay-lesbian
http://ayatesheytani.blogdrive.com,REL,"Religious conversion, commentary and criticism"
http://azarmehr.blogspot.com/2011/08/lake-orumiyeh-environmental-catastrophe.html,ENV,Environment
http://back.to,PORN,Pornography
http://back.to/cekaf/,PORN,Pornography
http://bahai-education.org,MINF,Minority faiths
http://bahai-library.com,MINF,Minority faiths
http://bahaindex.com,MINF,Minority faiths
http://bahairadio.org,MINF,Minority faiths
http://bahare-iran-ma.blogsky.com,HAL,"History, arts and literature"
http://balatarin.com,FEXP,Free expression and media freedom
http://baoba.org,HAL,"History, arts and literature"
http://behnoudonline.com,POLR,Political reform
http://behnoudonline.com/2004/09/040917_003170.shtml,POLR,Political reform
http://bit.ly/v4u7vk,ENV,Environment
http://cachebanners.toteme.com,PORN,Pornography
http://cappuccinomag.com,HAL,"History, arts and literature"
http://cheshmhayash.blogspot.com,POLR,Political reform
http://chychest.blogfa.com,ENV,Environment
http://damon-m-ukraine.blogsky.com,FEXP,Free expression and media freedom
http://dentist.blogspot.com,POLT,Political transformation
http://dokhtare-aftab.blogfa.com,GAYL,Gay-lesbian
http://donbaleh.com,FEXP,Free expression and media freedom
http://emroozdarharrooz.blogspot.com,POLR,Political reform
http://en.wikipedia.org/wiki/lake_urmia,ENV,Environment
http://eslam.blogspot.com,REL,"Religious conversion, commentary and criticism"
http://fa.wikipedia.org/wiki/%d8%af%d8%b1%db%8c%d8%a7%da%86%d9%87_%d8%a7%d8%b1%d9%88%d9%85%db%8c%d9%87,ENV,Environment
http://fardanews.com,FEXP,Free expression and media freedom
http://farsibloger.persianblog.com,HAL,"History, arts and literature"
http://farzan.envy.nu,HAL,"History, arts and literature"
http://fashist78.persianblog.com,POLR,Political reform
http://freedomforiran.persianblog.com,POLR,Political reform
http://gaysong.blogspot.com,GAYL,Gay-lesbian
http://ghght.blogspot.com,POLT,Political transformation
http://ghoghnoos-iran.blogspot.com,POLR,Political reform
http://godandlord.blogspot.com,REL,"Religious conversion, commentary and criticism"
http://god_in_fire.blogspot.com,HAL,"History, arts and literature"
http://groups.yahoo.com/group/dokhtarahamashoonjendan/,PORN,Pornography
http://groups.yahoo.com/group/hashariha/,PORN,Pornography
http://groups.yahoo.com/group/kermanshah_dokhtar_va_pesar/,GRP,Groups and social networking
http://groups.yahoo.com/group/room_cekaf_chat/,GRP,Groups and social networking
http://hamseresht.blogfa.com,GAYL,Gay-lesbian
http://happygay.blogspot.com,GAYL,Gay-lesbian
http://harfeakhar.persianblog.com,GAYL,Gay-lesbian
http://hasanagha.net,HATE,Hate speech
http://hasanagha.net/blog/,HATE,Hate speech
http://heat40.blogspot.com,POLT,Political transformation
http://if-l-were-god.blogspot.com,FEXP,Free expression and media freedom
http://info.bahai.org,MINF,Minority faiths
http://info.bahai.org/Persian/,MINF,Minority faiths
http://iranfocus.com,FEXP,Free expression and media freedom
http://iraniandevelopment.blogspot.com,POLR,Political reform
http://iranncr.org,POLR,Political reform
http://iranview.blogspot.com,POLR,Political reform
http://joke3k.tripod.com,PORN,Pornography
http://keyvanlg.blogfa.com,GAYL,Gay-lesbian
http://kodoiin.blogspot.com,FEXP,Free expression and media freedom
http://kurdistanpress.com,MINR,Minority rights and ethnic content
http://ladysun.net,WOMR,Women's rights
http://likekhor.com/hot/,BLGSERV,Blogging domains and blogging services
http://linkestane-ggbg.blogspot.com,HOST,Web hosting sites and portals
http://lostdreams.blogfa.com,HUMR,Human rights
http://mamlekate.blogspot.com,FEXP,Free expression and media freedom
http://mangoosaleam.blogspot.com,FEXP,Free expression and media freedom
http://marlikiran.tripod.com,FEXP,Free expression and media freedom
http://members.fortunecity.com,HOST,Web hosting sites and portals
http://members.shaw.ca,GRP,Groups and social networking
http://mosharekat.persianblog.com,POLT,Political transformation
http://news.bahai.org,MINF,Minority faiths
http://news.gooya.com,FEXP,Free expression and media freedom
http://nightly.blogspot.com,HAL,"History, arts and literature"
http://nokte.malakut.org,POLR,Political reform
http://nokte.malakut.org/archives/005715.shtml#more,POLR,Political reform
http://ofilm.net,HAL,"History, arts and literature"
http://omilani.netfirms.com,BLGSERV,Blogging domains and blogging services
http://parsanevesht.blogspot.com,POLT,Political transformation
http://pesareghabile.blogspot.com,GAYL,Gay-lesbian
http://pesari2004.persianblog.com,GAYL,Gay-lesbian
http://photomohammad.persianblog.com,POLR,Political reform
http://pjhouse.blogspot.com,GAYL,Gay-lesbian
http://pourostad.blogspot.com,POLT,Political transformation
http://queerquotes.blogspot.com,GAYL,Gay-lesbian
http://rahbarkhodam.blogspot.com,POLR,Political reform
http://rawa.false.net,GRP,Groups and social networking
http://reference.bahai.org,MINF,Minority faiths
http://resaleh.blogspot.com,REL,"Religious conversion, commentary and criticism"
http://rezaghassemi.org,HAL,"History, arts and literature"
http://rezaghassemi.org/davat.htm/,HAL,"History, arts and literature"
http://riznevesht.blogspot.com,FEXP,Free expression and media freedom
http://salamazadi.persianblog.com,POLR,Political reform
http://saveurmia.com/main/,ENV,Environment
http://securenetworks.persianblog.com,POLT,Political transformation
http://shabbin.blogspot.com,GAYL,Gay-lesbian
http://shabnameh.org,POLR,Political reform
http://shargi.blogspot.com,WOMR,Women's rights
http://siahsepid.com,HUMR,Human rights
http://sobhaneh.blogspot.com,HACK,Hacking
http://southaz.blogspot.com/2011/08/petition-save-lake-urmia-and-release.html,ENV,Environment
http://spidermard.com,FEXP,Free expression and media freedom
http://statements.bahai.org,MINF,Minority faiths
http://sufront.org,SRCH,Search engines
http://unitedwife.blogspot.com,POLR,Political reform
http://us.bahai.org,MINF,Minority faiths
http://vatanhost.com,HOST,Web hosting sites and portals
http://wanderer-christ.persianblog.com,HAL,"History, arts and literature"
http://weblog.macsudi.com,HAL,"History, arts and literature"
http://webneveshteha.com,POLT,Political transformation
http://webneveshteha.com/weblog/,POLT,Political transformation
http://wp-persian.com,BLGSERV,Blogging domains and blogging services
http://www.11emam.com/vb,MINF,Minority faiths
http://www.1shooreshi.persianblog.com,POLT,Political transformation
http://www.absolut.com/ca,ALDR,Alcohol and drugs
http://www.aghaghi.com,GRP,Groups and social networking
http://www.akhavi.blogdrive.com,HAL,"History, arts and literature"
http://www.akhond.tk,REL,"Religious conversion, commentary and criticism"
http://www.albainah.net,MINF,Minority faiths
http://www.alburhan.com,MINF,Minority faiths
http://www.alhda.org,MINF,Minority faiths
http://www.alijavadi.com,POLR,Political reform
http://www.alm3refh.com,MINF,Minority faiths
http://www.almeshkat.net,MINF,Minority faiths
http://www.alqadisiyya3.com,MINF,Minority faiths
http://www.alrased.net/site,MINF,Minority faiths
http://www.alrashead.net,MINF,Minority faiths
http://www.alserdaab.org,MINF,Minority faiths
http://www.alsonnhway.com,MINF,Minority faiths
http://www.amizesh.com,PORN,Pornography
http://www.ansaaar.com/vb,MINF,Minority faiths
http://www.ansar.org,MINF,Minority faiths
http://www.ansarnet.8m.net,POLR,Political reform
http://www.armstory.com,POLT,Political transformation
http://www.arvand.net,POLT,Political transformation
http://www.asriran.com,FEXP,Free expression and media freedom
http://www.avairan.com,POLR,Political reform
http://www.avayeashena.com,POLT,Political transformation
http://www.awfi.4t.com,MINF,Minority faiths
http://www.ayneh.com,POLR,Political reform
http://www.azadegy.de,POLR,Political reform
http://www.azadinet.net,POLT,Political transformation
http://www.azemrooz.com,HAL,"History, arts and literature"
http://www.baba.eparizi.com/biderang/001987.html,POLR,Political reform
http://www.bahai.com,MINR,Minority rights and ethnic content
http://www.bahmanagha.blogspot.com,POLT,Political transformation
http://www.bbc.co.uk,FEXP,Free expression and media freedom
http://www.bbc.co.uk/persian/,FEXP,Free expression and media freedom
http://www.beit.jeeran.com,MINF,Minority faiths
http://www.biganeh.u4l.com,PORN,Pornography
http://www.bijan-safsari.com,POLR,Political reform
http://www.bijan-safsari.com/2004/09/blog-post_109555207075485756.html,POLR,Political reform
http://www.carlsberg.com,ALDR,Alcohol and drugs
http://www.charandiat.com,POLT,Political transformation
http://www.charter2003.org,POLR,Political reform
http://www.chekhabar.com,FEXP,Free expression and media freedom
http://www.cmi-fl.com,POLR,Political reform
http://www.cyberfreehost.com,HOST,Web hosting sites and portals
http://www.cyrusnews.com/news/fa/,FEXP,Free expression and media freedom
http://www.d-alsonah.com/vb,MINF,Minority faiths
http://www.dayani.de,POLR,Political reform
http://www.dd-sunnah.net,MINF,Minority faiths
http://www.derafsh-kaviyani.com,HATE,Hate speech
http://www.derafsh-kaviyani.com/parsi/derafshk.html,HATE,Hate speech
http://www.dhr12.com,MINF,Minority faiths
http://www.dialogt.net,POLT,Political transformation
http://www.digarban.com,FEXP,Free expression and media freedom
"http://www.dw-world.de/dw/0,,641,00.html",FEXP,Free expression and media freedom
http://www.edharalhaq.com/vb,MINF,Minority faiths
http://www.eksir.com,REL,"Religious conversion, commentary and criticism"
http://www.ellize.blogspot.com,WOMR,Women's rights
http://www.epersianradio.com,FEXP,Free expression and media freedom
http://www.estefta.blogspot.com,REL,"Religious conversion, commentary and criticism"
http://www.etehadchap.com,MILX,"Militants, extremists and separatists"
http://www.fadaian.org,MILX,"Militants, extremists and separatists"
http://www.fararu.com,FEXP,Free expression and media freedom
http://www.fardanews.com,FEXP,Free expression and media freedom
http://www.farsibooksonline.blogspot.com,HAL,"History, arts and literature"
http://www.farsijoke.com,GRP,Groups and social networking
http://www.femirani.com,WOMR,Women's rights
http://www.femirani.com/weblog/,WOMR,Women's rights
http://www.figureconcord.com,FEXP,Free expression and media freedom
http://www.figureconcord.com/ublog/,FEXP,Free expression and media freedom
http://www.fnoor.com,MINF,Minority faiths
http://www.forouharha.com,POLR,Political reform
http://www.freewebs.com,GAYL,Gay-lesbian
http://www.freewebs.com/nonor,HOST,Web hosting sites and portals
http://www.frqan.com,MINF,Minority faiths
http://www.funiran.com,GRP,Groups and social networking
http://www.geocities.com/ahangark/,MINR,Minority rights and ethnic content
http://www.geocities.com/amoozesh20/,POLR,Political reform
http://www.geocities.com/havadar2002/,POLR,Political reform
http://www.geocities.com/Iranian-satanic/,REL,"Religious conversion, commentary and criticism"
http://www.geocities.com/no-islam2000/,REL,"Religious conversion, commentary and criticism"
