url,category_code,category_description
http://4moslem.mail.everyone.net,EMAIL,Free email
http://5dw5l.com,HAL,"History, arts and literature"
http://5dw5l.com/vb/,HAL,"History, arts and literature"
http://ahlulbait12.jeeran.com,MINR,Minority rights and ethnic content
http://albrhan.org,MINR,Minority rights and ethnic content
http://alhag.net,MINR,Minority rights and ethnic content
http://alsaha.com,FEXP,Free expression and media freedom
http://alsaha.fares.net,FEXP,Free expression and media freedom
http://angryarab.blogspot.com,FEXP,Free expression and media freedom
http://answering-islam.org,MINF,Minority faiths
http://answering-islam.org/Arabic/index.html,REL,"Religious conversion, commentary and criticism"
http://ar.wikipedia.org,FEXP,Free expression and media freedom
http://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A8%D8%AF%D9%88%D9%86_%D9%81%D9%8A_%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%AA,HUMR,Human rights
http://ar.wikipedia.org/wiki/%D8%AA%D8%B5%D9%86%D9%8A%D9%81:%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE_%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%AA,HAL,"History, arts and literature"
http://ar.wikipedia.org/wiki/%D8%AA%D8%B5%D9%86%D9%8A%D9%81:%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9_%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%AA,FEXP,Free expression and media freedom
http://ar.wikipedia.org/wiki/%D8%AA%D8%B5%D9%86%D9%8A%D9%81:%D9%83%D9%88%D9%8A%D8%AA,FEXP,Free expression and media freedom
http://ar.wikipedia.org/wiki/%D8%AD%D9%83%D8%A7%D9%85_%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%AA,FEXP,Free expression and media freedom
http://arabdl.com,SFTWR,Software downloads
http://arabic.peopledaily.com.cn,FEXP,Free expression and media freedom
http://arabsex2.com,PORN,Pornography
http://ayaanhirsiali.web-log.nl,FEXP,Free expression and media freedom
http://ayaanhirsiali.web-log.nl/ayaanhirsiali/english/index.html,FEXP,Free expression and media freedom
http://bbcarabic.com,FEXP,Free expression and media freedom
http://blogs.albawaba.com,BLGSERV,Blogging domains and blogging services
http://denypagetests.netsweeper.com,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/1,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/10,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/11,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/12,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/13,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/14,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/15,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/16,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/160,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/166,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/17,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/170,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/18,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/19,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/2,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/20,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/21,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/22,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/23,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/230,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/24,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/243,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/244,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/245,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/246,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/247,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/248,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/249,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/25,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/250,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/252,COMM,E-commerce
