url,category_code,category_description
http://2ip.ru,ANON,Anonymizers and circumvention
http://4proxy.de,ANON,Anonymizers and circumvention
http://afftor.kz,BLGSERV,Blogging domains and blogging services
http://ajur.kz,HUMR,Human rights
http://amen-khaidar.narod.ru,MISC,Miscellaneous
http://anonymaizer.com,ANON,Anonymizers and circumvention
http://as-ansar.com,MILX,"Militants, extremists and separatists"
http://barashka.kz,DATE,Dating
http://biggdi.com,MISC,Miscellaneous
http://blogos.kz,BLGSERV,Blogging domains and blogging services
http://borat.kz,PROV,Provocative attire
http://cars.com,MISC,Miscellaneous
http://caucase.wordpress.com,HAL,"History, arts and literature"
http://cekcy.com/erotica.php,PORN,Pornography
http://citizentube.com,POLR,Political reform
http://club.kz,MISC,Miscellaneous
http://comment-respublika.info,POLR,Political reform
http://comparty.kz,POLR,Political reform
http://comport.region.kz/forum/index.php,MISC,Miscellaneous
http://ct.kz,GRP,Groups and social networking
http://din-islam.ru,REL,"Religious conversion, commentary and criticism"
http://djamal.wordpress.com,FEXP,Free expression and media freedom
http://djamalat.com,FEXP,Free expression and media freedom
http://dknews.kz,DEV,Development
http://forum.ferghana.ru,FEXP,Free expression and media freedom
http://forum.ntu.kz/showthread.php?t=79,GRP,Groups and social networking
http://forum.voinenet.ru,FREL,Foreign relations and military
http://forumkz.addr.com,POLR,Political reform
http://freeproxy.ru,ANON,Anonymizers and circumvention
http://freeuz.org,FEXP,Free expression and media freedom
http://gcup.ru,GAME,Gaming
http://guljan.org,POLT,Political transformation
http://hideme.ru,ANON,Anonymizers and circumvention
http://hidemyass.com,ANON,Anonymizers and circumvention
http://ik-media.info,MILX,"Militants, extremists and separatists"
http://inkar.info,FEXP,Free expression and media freedom
http://inosmikz.org,FEXP,Free expression and media freedom
http://islam.ru,REL,"Religious conversion, commentary and criticism"
http://islamunveiled.livejournal.com,REL,"Religious conversion, commentary and criticism"
http://janaozen.net,POLT,Political transformation
http://kazhegeldin.addr.com,POLT,Political transformation
http://kaznet-freedom.org,HUMR,Human rights
http://kaztube.kz,MMED,Multimedia sharing
http://kiss.kz,DATE,Dating
http://kiwi.kz,MMED,Multimedia sharing
http://knpk.kz,POLR,Political reform
http://kplus-tv.net,POLT,Political transformation
http://krasnoetv.kz,MMED,Multimedia sharing
http://kt.kz,FEXP,Free expression and media freedom
http://kub.info,POLT,Political transformation
http://kzinform.com,FEXP,Free expression and media freedom
http://kzmz.region.kz,MMED,Multimedia sharing
http://lovebank.forever.kz,DATE,Dating
http://maps.google.com,POLT,Political transformation
http://megaupload.com,MMED,Multimedia sharing
http://minber.kz,FEXP,Free expression and media freedom
http://mp3fun.forever.kz,MMED,Multimedia sharing
http://namba.kz,GRP,Groups and social networking
http://navi.kz,FEXP,Free expression and media freedom
http://newsland.ru,FEXP,Free expression and media freedom
http://nuruddin-info.blogspot.com,REL,"Religious conversion, commentary and criticism"
http://pavlodar.ru,GRP,Groups and social networking
http://photo.eo.kz,MMED,Multimedia sharing
