url,category_code,category_description
http://022.md,HOST,Web hosting sites and portals
http://900.md,HOST,Web hosting sites and portals
http://999.md,HOST,Web hosting sites and portals
http://actiunea2012.ro,FEXP,Free expression and media freedom
http://aif.md,FEXP,Free expression and media freedom
http://alerte.md,HOST,Web hosting sites and portals
http://alltiras.com,HOST,Web hosting sites and portals
http://amor.md,DATE,Dating
http://ateco.org.md,HUMR,Human rights
http://avto-pmr.ru,HOST,Web hosting sites and portals
http://bagirov.livejournal.com,BLGSERV,Blogging domains and blogging services
http://biblionline.md,HOST,Web hosting sites and portals
http://blog.myspace.com,BLGSERV,Blogging domains and blogging services
http://blogs.euobserver.com/popescu/,BLGSERV,Blogging domains and blogging services
http://blogs.washingtonpost.com,BLGSERV,Blogging domains and blogging services
http://cenusadi.wordpress.com,POLT,Political transformation
http://cetatenie.info.tm/index.php,HUMR,Human rights
http://cezarsalahor.wordpress.com,POLT,Political transformation
http://chatadelic.net/chat/11780,HOST,Web hosting sites and portals
http://chisinau.mae.ro,FREL,Foreign relations and military
http://cimislia.net,HOST,Web hosting sites and portals
http://club-cdma.ru,HOST,Web hosting sites and portals
http://colegi.md,GRP,Groups and social networking
http://compass.mcc.md,HOST,Web hosting sites and portals
http://comunist.md,FEXP,Free expression and media freedom
http://consiliulong.md,HUMR,Human rights
http://cubreacov.wordpress.com,POLT,Political transformation
http://deca.md,FEXP,Free expression and media freedom
http://dnestr.tv,POLT,Political transformation
http://dniester.ru,MILX,"Militants, extremists and separatists"
http://dodon.md,POLT,Political transformation
http://eeas.europa.eu/delegations/moldova/,POLR,Political reform
http://elim.com.md,HUMR,Human rights
http://es-pmr.com,HOST,Web hosting sites and portals
http://eshevchuk.ru,POLT,Political transformation
http://euobserver.com,FEXP,Free expression and media freedom
http://fiicredincios.wordpress.com,HUMR,Human rights
http://forum-pmr.com,HOST,Web hosting sites and portals
http://forum-pmr.net,HOST,Web hosting sites and portals
http://forum.idknet.com,HOST,Web hosting sites and portals
http://forum.pridnestrovie.com,HOST,Web hosting sites and portals
http://fotoclub-pmr.ru,HOST,Web hosting sites and portals
http://freemasons.meetup.com,GRP,Groups and social networking
http://freetorrmd.ru,HOST,Web hosting sites and portals
http://game.portal.md,HOST,Web hosting sites and portals
http://ghenadiebrega.wordpress.com,BLGSERV,Blogging domains and blogging services
http://globterra.com,HOST,Web hosting sites and portals
http://grenada.md,FEXP,Free expression and media freedom
http://humanrightsembassy.org,POLR,Political reform
http://iurierosca.md,POLT,Political transformation
http://logos.press.md,FEXP,Free expression and media freedom
http://love.gay.ru,GAYL,Gay-lesbian
http://love.rambler.ru,DATE,Dating
http://mamba.md,DATE,Dating
http://marykay.md,HOST,Web hosting sites and portals
http://mem.md,ENV,Environment
http://memoria.md,POLR,Political reform
http://minfin-pmr.org,POLT,Political transformation
http://minjust.org/web.nsf,POLT,Political transformation
http://mo.wikipedia.org,HOST,Web hosting sites and portals
http://mobiboom.md/index.php,HOST,Web hosting sites and portals
http://moldova-italia.com,GRP,Groups and social networking
http://moldova.go.ro,HAL,"History, arts and literature"
http://moldova.org,HOST,Web hosting sites and portals
http://moldova.usaid.gov,POLR,Political reform
http://moldovacrestina.tv,HUMR,Human rights
http://moldovean.eu,FEXP,Free expression and media freedom
http://muligambia.md,HOST,Web hosting sites and portals
http://mvdpmr.org,POLT,Political transformation
http://nanoteh.md,COMM,E-commerce
http://natmorar.livejournal.com,BLGSERV,Blogging domains and blogging services
http://nediscriminare.md,HUMR,Human rights
http://news.bbc.co.uk/hi/russian/news/default.stm,FEXP,Free expression and media freedom
http://news.yam.ro,FEXP,Free expression and media freedom
http://newspmr.com,POLT,Political transformation
http://nistru.net,HOST,Web hosting sites and portals
http://nit.md,FEXP,Free expression and media freedom
http://nm.md,FEXP,Free expression and media freedom
http://novaiagazeta.org.ru,POLT,Political transformation
http://npopescu.yam.md,BLGSERV,Blogging domains and blogging services
http://npopescu.yam.ro,POLT,Political transformation
http://nr2.ru/pmr/,POLT,Political transformation
http://obnovlenie.info,POLR,Political reform
http://omg.md,FEXP,Free expression and media freedom
http://play.md,HOST,Web hosting sites and portals
http://pmr-gov.org,POLT,Political transformation
http://pmrdom.com,HOST,Web hosting sites and portals
http://politicom.moldova.org,POLT,Political transformation
http://politik.md,FEXP,Free expression and media freedom
http://president.pmr-gov.org/zakon/,POLT,Political transformation
http://prime.md,FEXP,Free expression and media freedom
http://pro-unire.blogspot.com,FEXP,Free expression and media freedom
http://qp.md,HOST,Web hosting sites and portals
http://rabota-pmr.ru,HOST,Web hosting sites and portals
http://radiopmr.org,POLT,Political transformation
