url,category_code,category_description
http://4moslem.mail.everyone.net,EMAIL,Free email
http://abdalladiery.blogspot.com,POLR,Political reform
http://actume.org,PUBH,Public health
http://ahlulbait12.jeeran.com,MINR,Minority rights and ethnic content
http://ajd.ifrance.com,POLR,Political reform
http://albrhan.org,MINR,Minority rights and ethnic content
http://alhag.net,MINR,Minority rights and ethnic content
http://allafrica.com/mauritania/,FEXP,Free expression and media freedom
http://alsaha.com,FEXP,Free expression and media freedom
http://angryarab.blogspot.com,FEXP,Free expression and media freedom
http://answering-islam.org,MINF,Minority faiths
http://answering-islam.org/Arabic/index.html,REL,"Religious conversion, commentary and criticism"
http://arabdl.com,SFTWR,Software downloads
http://arabic.peopledaily.com.cn,FEXP,Free expression and media freedom
http://arabsex2.com,PORN,Pornography
http://ayaanhirsiali.web-log.nl,FEXP,Free expression and media freedom
http://ayaanhirsiali.web-log.nl/ayaanhirsiali/english/index.html,FEXP,Free expression and media freedom
http://bbcarabic.com,FEXP,Free expression and media freedom
http://blogs.albawaba.com,BLGSERV,Blogging domains and blogging services
http://blogs.nouvelobs.com/Boolumbal/,POLT,Political transformation
http://blogs.nouvelobs.com/Kaaw,POLT,Political transformation
http://chakahafed.ifrance.com/modules/mylinks/visit.php?cid=1&lid=1,FEXP,Free expression and media freedom
http://chbihpresident2007.bloguez.com,POLR,Political reform
http://confidentielmr.blogspot.com,POLR,Political reform
http://contre-x.blogspot.com,POLR,Political reform
http://countrystudies.us/mauritania/,FEXP,Free expression and media freedom
http://de.geocities.com/chinghit2/,REL,"Religious conversion, commentary and criticism"
http://djeol.free.fr,MINR,Minority rights and ethnic content
http://eljoud.blogspot.com,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/1989_Events_in_Mauritania,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/Action_for_Change,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/African_Liberation_Forces_of_Mauritania,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/Al-Mithaq,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/Baath,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/LGBT_rights_in_Mauritania,GAYL,Gay-lesbian
http://en.wikipedia.org/wiki/List_of_political_parties_in_Mauritania,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/Mauritania,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/Morocco,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/Polisario,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/Rally_of_Democratic_Forces,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/Status_of_religious_freedom_in_Mauritania,FEXP,Free expression and media freedom
http://flamnet.fr.fm,POLT,Political transformation
http://flamus.net,POLT,Political transformation
http://flamus.net/multimedia.html,POLT,Political transformation
http://folies-mauritaniennes.blogspot.com,POLR,Political reform
http://fr.groups.yahoo.com/group/ForumDiaspora/messages,MINR,Minority rights and ethnic content
http://frontpopulaire.ifrance.com,POLR,Political reform
http://fuuta.blogspot.com,POLR,Political reform
http://games.do7a.com,GAME,Gaming
http://gayguide.net,GAYL,Gay-lesbian
http://gayinkuwait.blogspot.com,GAYL,Gay-lesbian
http://gayswithoutborders.wordpress.com,GAYL,Gay-lesbian
http://groups.yahoo.com/group/a7la_arab/,PORN,Pornography
http://groups.yahoo.com/group/al7aaalm/,PORN,Pornography
http://groups.yahoo.com/group/alsharamit/,PORN,Pornography
http://groups.yahoo.com/group/BNAT_MASR/,PORN,Pornography
http://groups.yahoo.com/group/cclub69/?yguid=101737945,PORN,Pornography
http://groups.yahoo.com/group/fahdalkldi/?yguid=101737945,PORN,Pornography
http://groups.yahoo.com/group/GaDoH_SOFT/,HACK,Hacking
http://groups.yahoo.com/group/games_programs_4arab/,GAME,Gaming
http://groups.yahoo.com/group/glasla/,GAYL,Gay-lesbian
