url,category_code,category_description
http://200.38.62.10/boletin_ombudsman/boletin2/indexx.php,HUMR,Human rights
http://200.38.62.10/mujeres/doc_basicos.html,WOMR,Women's rights
http://216.240.136.6:8000/frecuencialibre.mp3.m3u,FEXP,Free expression and media freedom
http://alternativa-chiapas.blogspot.com,POLT,Political transformation
http://amorporjuarez.com,FEXP,Free expression and media freedom
http://andreslajous.blogs.com,FEXP,Free expression and media freedom
http://anonimosmexico.socialgo.com,FREL,Foreign relations and military
http://astillero.tv,FEXP,Free expression and media freedom
http://base.espora.org/tiki-index.php,HOST,Web hosting sites and portals
http://centroprodh.org.mx/agua/index.htm,HUMR,Human rights
http://centroprodh.org.mx/casos/index_casos.htm,HUMR,Human rights
http://centroprodh.org.mx/casos/oaxaca_maestros/Principal.htm,HUMR,Human rights
http://centroprodh.org.mx/de_fondho/index_defondo.htm,HUMR,Human rights
http://centroprodh.org.mx/Focus/index_focus.htm,HUMR,Human rights
http://centroprodh.org.mx/index1.htm,HUMR,Human rights
http://centroprodh.org.mx/Sala%20de%20prensa/index_prensa.htm,HUMR,Human rights
http://chiapas.indymedia.org,FEXP,Free expression and media freedom
http://chiapatuit.net,FEXP,Free expression and media freedom
http://circulodeestudioscoapa.blogspot.com,FEXP,Free expression and media freedom
http://citivox.com,FEXP,Free expression and media freedom
http://elecciones-2011.org.mx,POLT,Political transformation
http://eluniversalgrafico.com.mx,FEXP,Free expression and media freedom
http://espora.org/comitecerezo/,HUMR,Human rights
http://espora.org/comitecerezo/amenazas.php3,HUMR,Human rights
http://espora.org/lazos_punkz/,FEXP,Free expression and media freedom
http://espora.org/revueltas/,FEXP,Free expression and media freedom
http://espora.org/vientodelibertad/,HUMR,Human rights
http://fundar.org.mx,FEXP,Free expression and media freedom
http://imc-yucatan.espora.org,FEXP,Free expression and media freedom
http://internetnecesario.org,FEXP,Free expression and media freedom
http://jpsoax.blogia.com,POLT,Political transformation
http://juarez.heroreports.org,FEXP,Free expression and media freedom
http://juarezenlasombra.blogspot.com,FREL,Foreign relations and military
http://maldeojotv.net/spip.php?breve21&var_mode=calcul,FEXP,Free expression and media freedom
http://mexico.indymedia.org,FEXP,Free expression and media freedom
http://mexico.indymedia.org/agua,FEXP,Free expression and media freedom
http://mexico.indymedia.org/indypapel,FEXP,Free expression and media freedom
http://mexico.indymedia.org/podcast,FEXP,Free expression and media freedom
http://mexico.indymedia.org/radio,FEXP,Free expression and media freedom
http://mexico.indymedia.org/tiki-download_file.php?fileId=300,FEXP,Free expression and media freedom
http://mexico.indymedia.org/tiki-download_file.php?fileId=360,FEXP,Free expression and media freedom
http://mexico.indymedia.org/tiki-index.php?page=Atenco,FEXP,Free expression and media freedom
http://mexico.indymedia.org/tiki-index.php?page=BradWill,FEXP,Free expression and media freedom
http://mexico.indymedia.org/tiki-index.php?page=EdoMex,FEXP,Free expression and media freedom
http://mexico.indymedia.org/tiki-index.php?page=LaOtraGrafika,FEXP,Free expression and media freedom
http://mexico.indymedia.org/tiki-index.php?page=MultimediaOaxaca,FEXP,Free expression and media freedom
http://mexico.indymedia.org/tiki-index.php?page=Oaxaca,FEXP,Free expression and media freedom
http://mexico.indymedia.org/tiki-index.php?page=OtraDifusion,FEXP,Free expression and media freedom
http://mexico.indymedia.org/tiki-index.php?page=PeriodicoAutonomia,FEXP,Free expression and media freedom
http://mexico.indymedia.org/tiki-index.php?page=PFP,FEXP,Free expression and media freedom
http://mexico.indymedia.org/tiki-index.php?page=PresosAmnistia,FEXP,Free expression and media freedom
http://mexico.indymedia.org/tiki-index.php?page=PresosPoliticos,FEXP,Free expression and media freedom
http://mexico.indymedia.org/tiki-index.php?page=RepresionOaxaca,FEXP,Free expression and media freedom
http://mexico.indymedia.org/tiki-index.php?page=SistemaCarcelario,FEXP,Free expression and media freedom
http://mexico.indymedia.org/tiki-list_file_gallery.php?galleryId=47,FEXP,Free expression and media freedom
http://mexico.indymedia.org/tiki-list_file_gallery.php?galleryId=48,FEXP,Free expression and media freedom
http://mexico.indymedia.org/tiki-read_article.php?articleId=245,FEXP,Free expression and media freedom
http://mexico.indymedia.org/video,FEXP,Free expression and media freedom
http://mexicoendescomposicion.blogspot.com,FREL,Foreign relations and military
http://music.napster.com/artist-music/tracks/12390707/?artist_id=12390707,FEXP,Free expression and media freedom
http://noticias-oax.com.mx,FEXP,Free expression and media freedom
http://nuestromexicobizarro.blogspot.com,FEXP,Free expression and media freedom
http://oaxacalibre.org/oaxlibre/index.php,FEXP,Free expression and media freedom
http://opendata.mx,FEXP,Free expression and media freedom
http://orelha.radiolivre.org:8000/zapote.ogg.m3u,FEXP,Free expression and media freedom
http://portal.radiobemba.org/streaming,FEXP,Free expression and media freedom
http://publicidadoficial.com.mx,WOMR,Women's rights
http://radio.indymedia.org:8000/appo.mp3.m3u,FEXP,Free expression and media freedom
http://radio.indymedia.org:8000/planton.mp3.m3u,FEXP,Free expression and media freedom
http://revolucionesmx.blogspot.com,FEXP,Free expression and media freedom
http://sipaz.wordpress.com,HUMR,Human rights
http://socialismo.blogsome.com,POLT,Political transformation
http://tijuana.indymedia.org,FEXP,Free expression and media freedom
http://users.telenet.be/limeddh/,HUMR,Human rights
http://video.indymedia.org/en/2006/11/555.shtml,FEXP,Free expression and media freedom
http://video.indymedia.org/en/2006/11/560.shtml,FEXP,Free expression and media freedom
http://videos.eluniversal.com.mx/videos.html,FEXP,Free expression and media freedom
http://www.8columnas.com.mx,FEXP,Free expression and media freedom
http://www.aca-novenet.com.mx,FEXP,Free expression and media freedom
http://www.alternativa.org.mx,POLT,Political transformation
http://www.alternativa.org.mx/default.asp?id=386,POLT,Political transformation
http://www.alternativa.org.mx/default.asp?id=600,POLT,Political transformation
http://www.alternativa.org.mx/default.asp?proceso=saladeprensa,POLT,Political transformation
http://www.alternativabc.org.mx,POLT,Political transformation
http://www.alternativadf.org.mx,POLT,Political transformation
http://www.amar-ac.org,HUMR,Human rights
http://www.amdh.com.mx,HUMR,Human rights
http://www.amdh.com.mx/mujeres/,WOMR,Women's rights
http://www.amdh.com.mx/ombudsweb/,HUMR,Human rights
http://www.amlo.org.mx,FEXP,Free expression and media freedom
http://www.animalpolitico.com,WOMR,Women's rights
http://www.badeso.org/principal.htm,MINR,Minority rights and ethnic content
http://www.blogdelnarco.com,FEXP,Free expression and media freedom
http://www.cambiodemichoacan.com.mx,FEXP,Free expression and media freedom
http://www.cambioenlinea.com,FEXP,Free expression and media freedom
http://www.casasaludgenesis.org.mx,HUMR,Human rights
http://www.cdh-chiapas.org.mx,HUMR,Human rights
http://www.cdh-chiapas.org.mx/index.php?option=com_content&task=category&sectionid=2&id=22&Itemid=28,HUMR,Human rights
http://www.cdi.gob.mx,MINR,Minority rights and ethnic content
http://www.cdi.gob.mx/audio_cdi/mira/mira_mito_mazorca.ram,FEXP,Free expression and media freedom
http://www.cdi.gob.mx/audio_cdi/voces/voces_zezv_totopos.ram,FEXP,Free expression and media freedom
http://www.cdi.gob.mx/derechos/vigencia_libro/vigencia_derechos_indigenas_septiembre_2007.pdf,MINR,Minority rights and ethnic content
http://www.cdi.gob.mx/index.php?id_seccion=1558,FEXP,Free expression and media freedom
http://www.cdi.gob.mx/informe2005/CDI_informe_2005.pdf,MINR,Minority rights and ethnic content
http://www.cdi.gob.mx/informe2006/CDI_informe_2006.pdf,MINR,Minority rights and ethnic content
http://www.ciepac.org/accionesurgentes/accionesnacionales.php,HUMR,Human rights
http://www.ciepac.org/boletines/ultimo.php,HUMR,Human rights
http://www.ciepac.org/campanas/transgenicos.php,HUMR,Human rights
http://www.ciepac.org/foros/ultimos.php,HUMR,Human rights
http://www.ciepac.org/index.php,HUMR,Human rights
http://www.ciepac.org/mapas/militares/,HUMR,Human rights
http://www.ciepac.org/neoliberal/esp/index.html,FEXP,Free expression and media freedom
http://www.ciepac.org/neoliberal/index.html,FEXP,Free expression and media freedom
http://www.ciepac.org/temas/ezln/caracoles.php#none,HUMR,Human rights
http://www.ciepac.org/temas/quesla-appo.pdf,HUMR,Human rights
http://www.colectivocasa.org,POLT,Political transformation
http://www.conganas.org.mx,HUMR,Human rights
http://www.contraelvientofilms.com,HAL,"History, arts and literature"
http://www.convergencia.org.mx,POLT,Political transformation
http://www.convergencia.org.mx/index.php?option=com_content&task=blogcategory&id=97&Itemid=226,POLT,Political transformation
http://www.convergencia.org.mx/index.php?option=com_content&task=view&id=257&Itemid=219,POLT,Political transformation
http://www.correo-gto.com.mx,FEXP,Free expression and media freedom
http://www.cronica.com.mx/refresh.php,FEXP,Free expression and media freedom
http://www.cuarto-poder.com.mx,FEXP,Free expression and media freedom
http://www.derechoshumanos.org.mx,HUMR,Human rights
http://www.derechoshumanos.org.mx/extras/download/CAT-C-MEX-CO-4%20adopted.pdf,HUMR,Human rights
http://www.derechoshumanos.org.mx/modules.php?name=Acciones_Urgentes,HUMR,Human rights
http://www.derechoshumanos.org.mx/modules.php?name=Content&pa=showpage&pid=104,HUMR,Human rights
http://www.derechoshumanos.org.mx/modules.php?name=Content&pa=showpage&pid=30,HUMR,Human rights
http://www.derechoshumanos.org.mx/modules.php?name=Publications,HUMR,Human rights
http://www.derechoshumanosenmexico.org,HUMR,Human rights
http://www.derechoshumanosenmexico.org/estadisticas2.htm,HUMR,Human rights
http://www.derechoshumanosenmexico.org/informemilitares07.htm,HUMR,Human rights
http://www.derechoshumanosenmexico.org/informes/INFORME%20DE%20MIGRACION.htm,HUMR,Human rights
http://www.derechoshumanosenmexico.org/Secciones/Medio%20Ambiente.htm,HUMR,Human rights
