url,category_code,category_description
http://adb.org,DEV,Development
http://anwaribrahimblog.com,POLR,Political reform
http://asiafriendfinder.com,DATE,Dating
http://bbs.buysell.net.my,P2P,Peer-to-peer computing
http://bebasmedia.tripod.com,FEXP,Free expression and media freedom
http://bersih.org,POLR,Political reform
http://betasia.com,GMB,Gambling
http://blogsentral.com,BLGSERV,Blogging domains and blogging services
http://blogsome.com,BLGSERV,Blogging domains and blogging services
http://bolehblogs.insatiably.net,BLGSERV,Blogging domains and blogging services
http://bravingkl.blogspot.com,GAYL,Gay-lesbian
http://brimas.www1.50megs.com,ENV,Environment
http://centre.com.my,SRCH,Search engines
http://elizabethwong.wordpress.com,POLR,Political reform
http://en.rsf.org/article.php3?id_article=20789,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/Status_of_religious_freedom_in_Malaysia,REL,"Religious conversion, commentary and criticism"
http://feer.wsj.com,FEXP,Free expression and media freedom
http://forum.lowyat.net,P2P,Peer-to-peer computing
http://forum.lowyat.net/i,MMED,Multimedia sharing
http://freedomhouse.org/template.cfm?page=140&edition=7&ccrpage=31&ccrcountry=134,HUMR,Human rights
http://gayguide.net,GAYL,Gay-lesbian
http://hindraf.com,MINF,Minority faiths
http://hotzone.yahoo.com,FEXP,Free expression and media freedom
http://hrw.org/english/docs/2005/01/13/malays9822.htm,HUMR,Human rights
http://ilga.org/ilga/en/organisations/ILGA%20ASIA,GAYL,Gay-lesbian
http://indianfriendfinder.com,DATE,Dating
http://jelas.info,POLR,Political reform
http://jihadwatch.org,REL,"Religious conversion, commentary and criticism"
http://mail.malaysia.com,EMAIL,Free email
http://malaysia-chronicle.com,FEXP,Free expression and media freedom
http://malaysia-today.net,FEXP,Free expression and media freedom
http://malaysia.msn.com,EMAIL,Free email
http://medicine.com.my,XED,Sex education and family planning
http://members.tripod.com/~INDIA_RESOURCE/savoice.html,FEXP,Free expression and media freedom
http://mercumaya.net,HOST,Web hosting sites and portals
http://merdekareview.com,POLR,Political reform
http://mir.com.my,HAL,"History, arts and literature"
http://ms.wikipedia.org,FEXP,Free expression and media freedom
http://ms.wikipedia.org/wiki/Laman_Utama,FEXP,Free expression and media freedom
http://mt.m2day.org,POLR,Political reform
http://mt.m2day.org/2008/,POLR,Political reform
http://news.bbc.co.uk/2/hi/asia-pacific/,FEXP,Free expression and media freedom
http://onglinepodcast.com,GAYL,Gay-lesbian
http://othermalaysia.org,FEXP,Free expression and media freedom
http://politics101malaysia.blogsome.com,FEXP,Free expression and media freedom
http://prn.usm.my,PUBH,Public health
http://sarawak-national-party.blogspot.com,POLR,Political reform
http://seacem.com,FEXP,Free expression and media freedom
http://seapa.wordpress.com,FEXP,Free expression and media freedom
http://skandal.blogspot.com,POLR,Political reform
http://sloone.wordpress.com,POLR,Political reform
http://straitstimes.asiaone.com,FEXP,Free expression and media freedom
http://syedshahir.blogsome.com,FEXP,Free expression and media freedom
http://tabulas.com,BLGSERV,Blogging domains and blogging services
http://twitter.com/#!/bersih2,POLR,Political reform
http://twitter.com/#!/CIJ_Malaysia,FEXP,Free expression and media freedom
http://twitter.com/#!/insider_latest,FEXP,Free expression and media freedom
http://twitter.com/#!/komkini,FEXP,Free expression and media freedom
http://twitter.com/#!/LoyarBurok,FEXP,Free expression and media freedom
http://twitter.com/#!/msiakini,FEXP,Free expression and media freedom
http://twitter.com/#!/PusatRakyatLB,HUMR,Human rights
http://twitter.com/#!/seacem,FEXP,Free expression and media freedom
http://twitter.com/#!/sistersinislam,HUMR,Human rights
http://twitter.com/#!/SUARAMtweets,POLR,Political reform
http://twitter.com/#!/SUHAKAM,HUMR,Human rights
http://twitter.com/#!/tm_insider,FEXP,Free expression and media freedom
http://virtualfriends.net,GRP,Groups and social networking
http://www.3r.com.my,XED,Sex education and family planning
http://www.99pinkrose.com,PORN,Pornography
http://www.abc.net.au,FEXP,Free expression and media freedom
http://www.abu.org.my,POLR,Political reform
http://www.agendadaily.com,FEXP,Free expression and media freedom
http://www.aimalaysia.org,HUMR,Human rights
http://www.aliran.com,FEXP,Free expression and media freedom
http://www.aliran.com/elections/,POLR,Political reform
http://www.allmalaysia.info,HAL,"History, arts and literature"
http://www.amnesty.org/en/region/malaysia/report-2011,HUMR,Human rights
http://www.amrc.org.hk,MINR,Minority rights and ethnic content
http://www.angelfire.com/emo/doaanwar/,MILX,"Militants, extremists and separatists"
http://www.answering-islam.org,FEXP,Free expression and media freedom
http://www.appletree.com.my,VOIP,VOIP
http://www.apwld.org,WOMR,Women's rights
http://www.archway.org.my,MINF,Minority faiths
http://www.arrc-hre.com,HUMR,Human rights
http://www.arrow.org.my,WOMR,Women's rights
http://www.aseansec.org,FREL,Foreign relations and military
http://www.asia-daily.com,FEXP,Free expression and media freedom
http://www.asiabynight.com,DATE,Dating
http://www.asiabynight.com/malaysia/friends/default.asp,DATE,Dating
http://www.asiafinest.com,ALDR,Alcohol and drugs
http://www.asiafinest.com/forum/lofiversion/index.php/t10671.html,ALDR,Alcohol and drugs
http://www.asiafoundation.org,POLR,Political reform
http://www.asiamedia.ucla.edu,FEXP,Free expression and media freedom
http://www.asian-migrants.org,HUMR,Human rights
http://www.asianpacificpost.com,FEXP,Free expression and media freedom
http://www.asiansexgazette.com,PUBH,Public health
http://www.asiantribune.com,FEXP,Free expression and media freedom
http://www.asiaobserver.com,FEXP,Free expression and media freedom
http://www.asiapacificnews.com,FEXP,Free expression and media freedom
http://www.asiatour.com,XED,Sex education and family planning
http://www.atimes.com/se-asia/se-asia.html,FEXP,Free expression and media freedom
http://www.awam.org.my,WOMR,Women's rights
http://www.bangkokbangers.com,PORN,Pornography
http://www.bharian.com.my,FEXP,Free expression and media freedom
http://www.bic.org.my,PUBH,Public health
http://www.bismikaallahuma.org,REL,"Religious conversion, commentary and criticism"
http://www.bluehyppo.com,SRCH,Search engines
http://www.bn.org.my/alliance.html,POLR,Political reform
http://www.btimes.com.my,XED,Sex education and family planning
http://www.bumiputerasarawak.org.my,POLR,Political reform
http://www.candidate.freeservers.com,WOMR,Women's rights
http://www.caramasia.org,PUBH,Public health
http://www.cari.com.my,SRCH,Search engines
http://www.carikawan.com,DATE,Dating
http://www.casinocity.com,GMB,Gambling
http://www.casinocity.com/my/cities.html,GMB,Gambling
http://www.cawinfo.org,WOMR,Women's rights
http://www.cetdem.org.my,ENV,Environment
http://www.cfan.org,REL,"Religious conversion, commentary and criticism"
http://www.channelnewsasia.com,FEXP,Free expression and media freedom
http://www.chinapress.com.my,FEXP,Free expression and media freedom
http://www.cijmalaysia.org,FEXP,Free expression and media freedom
http://www.coac.org.my,MINR,Minority rights and ethnic content
http://www.cpps.org.my,POLR,Political reform
http://www.dailyexpress.com.my,FEXP,Free expression and media freedom
http://www.dapmalaysia.org,POLR,Political reform
http://www.dateinasia.com,DATE,Dating
http://www.dating.com.my,DATE,Dating
http://www.depdc.org,WOMR,Women's rights
http://www.dragonraja.com.my,GAME,Gaming
http://www.e-games.com.my,GAME,Gaming
http://www.ecologyasia.com,ENV,Environment
http://www.emedia.com.my,FEXP,Free expression and media freedom
http://www.ensearch.org,ENV,Environment
http://www.ewrf.org.my,MINR,Minority rights and ethnic content
http://www.exabytes.com,HOST,Web hosting sites and portals
http://www.facebook.com/CijMalaysia,FEXP,Free expression and media freedom
http://www.facebook.com/LoyarBurok,FEXP,Free expression and media freedom
http://www.facebook.com/pages/BERSIH-20-OFFICIAL/213938935311531,POLR,Political reform
http://www.facebook.com/pages/Sisters-In-Islam/93398319518,HUMR,Human rights
http://www.facebook.com/suararakyatmalaysia,HUMR,Human rights
http://www.femalehealth.com,XED,Sex education and family planning
http://www.fes.org.my,MINF,Minority faiths
http://www.ffpam.org.my,XED,Sex education and family planning
http://www.fomca.org.my,POLR,Political reform
http://www.foreverbanana.com,GRP,Groups and social networking
http://www.forplu.com,GAYL,Gay-lesbian
http://www.forum-asia.org,HUMR,Human rights
http://www.freeanwar.com,HUMR,Human rights
http://www.fridae.com,GAYL,Gay-lesbian
http://www.gayrice.com,GAYL,Gay-lesbian
http://www.gaywired.com/article.cfm?section=9&id=9244,GAYL,Gay-lesbian
http://www.genting.com.my,GAME,Gaming
http://www.gerakan.org.my,POLR,Political reform
http://www.globalgayz.com,GAYL,Gay-lesbian
http://www.globalgayz.com/country/Malaysia/MYS,GAYL,Gay-lesbian
http://www.guangming.com.my,FEXP,Free expression and media freedom
http://www.hackinthebox.org,HACK,Hacking
http://www.harakahdaily.net,FEXP,Free expression and media freedom
http://www.harapanmalaysia.com,POLR,Political reform
http://www.hati.org.my,MINR,Minority rights and ethnic content
http://www.healthtoday.net,PUBH,Public health
http://www.hindusangam.org.my,MINF,Minority faiths
http://www.historyofjihad.com,MINF,Minority faiths
http://www.hivpolicy.org,PUBH,Public health
http://www.hrw.org/en/asia/malaysia,HUMR,Human rights
http://www.humanrights.asia,HUMR,Human rights
http://www.icftu.org/displaydocument.asp?Index=991223279&Language=EN,POLR,Political reform
http://www.ifj-asia.org,FEXP,Free expression and media freedom
http://www.ilo.org/public/english/region/asro/bangkok/child/trafficking/index.htm,WOMR,Women's rights
http://www.irrawaddy.org,FEXP,Free expression and media freedom
http://www.iwraw-ap.org,WOMR,Women's rights
http://www.jaring.my,VOIP,VOIP
http://www.jeffooi.com,FEXP,Free expression and media freedom
http://www.jerit.org,POLR,Political reform
http://www.keadilanrakyat.org,POLR,Political reform
http://www.klservice2u.com,PROV,Provocative attire
http://www.komas.org,FEXP,Free expression and media freedom
http://www.komas.org/voter_education.html,FEXP,Free expression and media freedom
http://www.latexgift.com,PROV,Provocative attire
http://www.linguamatix.com,TRNS,Translation
http://www.mac.org.my,PUBH,Public health
http://www.malaysia-today.net,FEXP,Free expression and media freedom
http://www.malaysia.net,BLGSERV,Blogging domains and blogging services
http://www.malaysia.net/blog/,BLGSERV,Blogging domains and blogging services
http://www.malaysiabloggers.com,BLGSERV,Blogging domains and blogging services
http://www.malaysiadirectory.com,SRCH,Search engines
http://www.malaysiakini.com,FEXP,Free expression and media freedom
http://www.malaysiakini.tv,FEXP,Free expression and media freedom
http://www.malaysianbar.org.my,HUMR,Human rights
http://www.mca.org.my,POLR,Political reform
http://www.mengo.org,ENV,Environment
http://www.mesra.net,SRCH,Search engines
http://www.metrodate.com,DATE,Dating
http://www.mfasia.org,HUMR,Human rights
http://www.mgdc.com.my/forum/,GAME,Gaming
http://www.mic.org.my,POLR,Political reform
http://www.mmail.com.my,FEXP,Free expression and media freedom
http://www.mns.org.my,ENV,Environment
http://www.mobif.com.my,VOIP,VOIP
http://www.mol.com,DATE,Dating
http://www.msf.org/msfinternational/countries/asia/index.cfm,PUBH,Public health
http://www.mtuc.org.my,POLR,Political reform
http://www.mygoodasyou.com,GAYL,Gay-lesbian
http://www.mykamus.com,TRNS,Translation
http://www.nasioncom.com.my,VOIP,VOIP
http://www.ncwomalaysia.org.my,WOMR,Women's rights
http://www.necf.org.my,MINF,Minority faiths
http://www.news.faithfreedom.org,REL,"Religious conversion, commentary and criticism"
http://www.newsweekasia.com,FEXP,Free expression and media freedom
http://www.nst.com.my,FEXP,Free expression and media freedom
http://www.orientaldaily.com.my,FEXP,Free expression and media freedom
http://www.parti-pas.org,POLR,Political reform
http://www.parti-sosialis.org,POLT,Political transformation
http://www.pas.org.my,POLR,Political reform
http://www.pbs-sabah.org,POLR,Political reform
http://www.persecution.org,MINF,Minority faiths
http://www.persecution.org/category/countries/asia/malaysia/,MINF,Minority faiths
http://www.petalingstreet.org,BLGSERV,Blogging domains and blogging services
http://www.petitiononline.com,FEXP,Free expression and media freedom
http://www.petitiononline.com/foiMsia/petition.html,FEXP,Free expression and media freedom
http://www.pht.org.my,HAL,"History, arts and literature"
http://www.ptfmalaysia.org,PUBH,Public health
http://www.publiuspundit.com,HUMR,Human rights
http://www.putera.com,EMAIL,Free email
http://www.reach.org.my,ENV,Environment
http://www.rengah.c2o.org,ENV,Environment
http://www.sabah.net.my,MINR,Minority rights and ethnic content
http://www.sabah.net.my/PACOS/,MINR,Minority rights and ethnic content
http://www.sadatv.com,FEXP,Free expression and media freedom
http://www.sajasearch.com,SRCH,Search engines
http://www.sapp.org.my,POLR,Political reform
http://www.seapa.org,FEXP,Free expression and media freedom
http://www.seapabkk.org,FEXP,Free expression and media freedom
http://www.searo.who.int,PUBH,Public health
http://www.secularislam.org,REL,"Religious conversion, commentary and criticism"
http://www.seri.com.my,ENV,Environment
http://www.siddha.com.my,MINF,Minority faiths
http://www.sikhs.org.my,MINF,Minority faiths
http://www.sinchew-i.com,FEXP,Free expression and media freedom
http://www.singapore-window.org,FEXP,Free expression and media freedom
http://www.sistersinislam.org.my,WOMR,Women's rights
http://www.snsm.org.my,MINF,Minority faiths
http://www.state.gov/g/drl/rls/hrrpt/2005/61615.htm,HUMR,Human rights
http://www.state.gov/g/drl/rls/irf/2005/51518.htm,REL,"Religious conversion, commentary and criticism"
http://www.suarakeadilan.com,POLR,Political reform
http://www.suaram.net,HUMR,Human rights
http://www.suhakam.org.my,HUMR,Human rights
http://www.sun2surf.com,FEXP,Free expression and media freedom
http://www.supp.org.my,POLR,Political reform
http://www.surforever.com/sam/a2z/content1.html,ENV,Environment
http://www.tenaganita.net,FEXP,Free expression and media freedom
http://www.terrorismfiles.org/organisations/harakat_ul-mujahideen.html,MILX,"Militants, extremists and separatists"
http://www.theedgedaily.com,FEXP,Free expression and media freedom
http://www.themalaysianinsider.com,FEXP,Free expression and media freedom
http://www.thereligionofpeace.com,REL,"Religious conversion, commentary and criticism"
http://www.thestar.com.my,FEXP,Free expression and media freedom
http://www.theultimateinsult.blogspot.com,REL,"Religious conversion, commentary and criticism"
http://www.thinkcentre.org,HUMR,Human rights
http://www.time.com,FEXP,Free expression and media freedom
http://www.time.com/time/asia/,FEXP,Free expression and media freedom
http://www.tipinasia.info,WOMR,Women's rights
http://www.tjc.org.my,MINF,Minority faiths
http://www.transparency.org.my,POLR,Political reform
http://www.trees.org.my,ENV,Environment
http://www.trikone.org,GAYL,Gay-lesbian
http://www.turfonline.com,GAME,Gaming
http://www.umno-online.com,POLR,Political reform
http://www.unaids.org/en/regionscountries/countries/malaysia/,PUBH,Public health
http://www.undp.org.my,XED,Sex education and family planning
http://www.unescap.org,DEV,Development
http://www.unicef.org/infobycountry/malaysia_30873.html,XED,Sex education and family planning
http://www.unodc.org/eastasiaandpacific/,ALDR,Alcohol and drugs
http://www.ushaaqallah.com,REL,"Religious conversion, commentary and criticism"
http://www.usj.com.my,GRP,Groups and social networking
http://www.utopia-asia.com,GAYL,Gay-lesbian
http://www.utusan.com.my,FEXP,Free expression and media freedom
http://www.vanakkammalaysia.com,FEXP,Free expression and media freedom
http://www.wao.org.my,WOMR,Women's rights
http://www.wccpenang.org,WOMR,Women's rights
http://www.wci2.org,POLR,Political reform
http://www.webhosting.com.my,HOST,Web hosting sites and portals
http://www.webportal.com.my,GRP,Groups and social networking
http://www.webserver.com.my,HOST,Web hosting sites and portals
http://www.womenforpeaceandjustice.org,WOMR,Women's rights
http://www.wsws.org,FEXP,Free expression and media freedom
http://www.wwfmalaysia.org,ENV,Environment
http://www.xratedasianporn.com,PORN,Pornography
http://www.yawa.org,ENV,Environment
http://www.yss98.com,MINR,Minority rights and ethnic content
http://www.ytl.com.my,VOIP,VOIP
http://www.zdnetasia.com,FEXP,Free expression and media freedom
"http://www.zdnetasia.com/downloads/pc/swinfo/0,39043052,39222404s,00.htm",ANON,Anonymizers and circumvention
http://zathilfiger.i-p.com,EMAIL,Free email
