url,category_code,category_description
http://adl.org,HUMR,Human rights
http://aljabha.org,POLR,Political reform
http://angryarab.blogspot.com,FEXP,Free expression and media freedom
http://answering-islam.org,MINF,Minority faiths
http://arabs48.com,FEXP,Free expression and media freedom
http://bbcnews.com,FEXP,Free expression and media freedom
http://btselem.org,HUMR,Human rights
http://electronicintifada.net,POLR,Political reform
http://en.wikipedia.org/wiki/Hamas,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/Israel,FEXP,Free expression and media freedom
http://freearabs.com,FEXP,Free expression and media freedom
http://fromgaza.blogspot.com,FEXP,Free expression and media freedom
http://globalgayz.com,GAYL,Gay-lesbian
http://globalvoicesonline.org,FEXP,Free expression and media freedom
http://haaretz.com,FEXP,Free expression and media freedom
http://hidemyass.com,ANON,Anonymizers and circumvention
http://humum.net/?cat=15,HUMR,Human rights
http://infidels.org,REL,"Religious conversion, commentary and criticism"
http://islamonline.net,FEXP,Free expression and media freedom
http://israelpalestineblogs.com,FEXP,Free expression and media freedom
http://jstreet.org,POLR,Political reform
http://khilafah.com,POLT,Political transformation
http://muslimass.com,PORN,Pornography
http://naughty.com,PORN,Pornography
http://pamelageller.com,HATE,Hate speech
http://sabbah.biz/mt/,FEXP,Free expression and media freedom
http://sharmota.com,PORN,Pornography
http://spys.ru,ANON,Anonymizers and circumvention
http://www.8thstreetlatinas.com,PORN,Pornography
http://www.advocate.com,FEXP,Free expression and media freedom
http://www.ahewar.org/debat/nr.asp,FEXP,Free expression and media freedom
http://www.al-bab.com,FEXP,Free expression and media freedom
http://www.al-bushra.org,MINF,Minority faiths
http://www.alalam.ir,FEXP,Free expression and media freedom
http://www.alarabiya.net,FEXP,Free expression and media freedom
http://www.albawaba.com,FEXP,Free expression and media freedom
http://www.almajd.net,POLR,Political reform
http://www.alquds.co.uk,FEXP,Free expression and media freedom
http://www.amad.ps/arabic/,FEXP,Free expression and media freedom
http://www.anhri.net,HUMR,Human rights
http://www.anti-cair-net.org,FEXP,Free expression and media freedom
http://www.arabicbible.com,REL,"Religious conversion, commentary and criticism"
http://www.arabs4tolerance.org,HUMR,Human rights
http://www.aswatgroup.org,GAYL,Gay-lesbian
http://www.bahai-faith.org,MINR,Minority rights and ethnic content
http://www.bahai.com,MINR,Minority rights and ethnic content
http://www.barenakedislam.com,HATE,Hate speech
http://www.bnaibrith.org,POLR,Political reform
http://www.bnatnar.com,PORN,Pornography
http://www.cdl.com.lb,GMB,Gambling
http://www.elaph.com,FEXP,Free expression and media freedom
http://www.fateh-voice.ps/arabic/,FEXP,Free expression and media freedom
http://www.fpnp.net,FEXP,Free expression and media freedom
http://www.freearabvoice.org,POLR,Political reform
http://www.freegaypornhdtube.com,PORN,Pornography
http://www.freemuslim.org,MINR,Minority rights and ethnic content
http://www.glas.org,GAYL,Gay-lesbian
http://www.globalgayz.com,GAYL,Gay-lesbian
http://www.globes.co.il,FEXP,Free expression and media freedom
http://www.google.com/news,FEXP,Free expression and media freedom
http://www.haaretz.co.il,FEXP,Free expression and media freedom
http://www.hadash.org.il,POLT,Political transformation
http://www.haya.org,MINR,Minority rights and ethnic content
http://www.il7ad.com,REL,"Religious conversion, commentary and criticism"
http://www.imemc.org,FEXP,Free expression and media freedom
http://www.islammemo.cc,FEXP,Free expression and media freedom
http://www.jihadwatch.org,FEXP,Free expression and media freedom
http://www.jnewswire.com,FEXP,Free expression and media freedom
http://www.jpost.com,FEXP,Free expression and media freedom
http://www.kairospalestine.ps,HUMR,Human rights
http://www.katib.org,FEXP,Free expression and media freedom
http://www.likud.org.il,POLR,Political reform
http://www.middle-east-online.com,FEXP,Free expression and media freedom
http://www.moqawama.org,FEXP,Free expression and media freedom
http://www.nrg.co.il,FEXP,Free expression and media freedom
http://www.pal-home.net/arabic/,FEXP,Free expression and media freedom
http://www.pal-tahrir.info,FEXP,Free expression and media freedom
http://www.palestine-info.co.uk,HUMR,Human rights
http://www.palestinefacts.org,HAL,"History, arts and literature"
http://www.palestineremembered.com,HAL,"History, arts and literature"
http://www.pij.org/index.php,FEXP,Free expression and media freedom
http://www.radiosawa.com,FEXP,Free expression and media freedom
http://www.realdoll.com,PORN,Pornography
http://www.redtube.com,PORN,Pornography
http://www.shasnet.org.il,POLR,Political reform
http://www.shiaweb.org/v2/index.html,MINR,Minority rights and ethnic content
http://www.strongvpn.com,ANON,Anonymizers and circumvention
http://www.tabee3i.com/page/main.html,REL,"Religious conversion, commentary and criticism"
http://www.the-good-way.com,REL,"Religious conversion, commentary and criticism"
http://www.thegrace.com,REL,"Religious conversion, commentary and criticism"
http://www.thekoran.com,REL,"Religious conversion, commentary and criticism"
http://www.timesofisrael.com,FEXP,Free expression and media freedom
http://www.twitter.com,FEXP,Free expression and media freedom
http://www.worldsexguide.com,DATE,Dating
http://www.wsj.com,FEXP,Free expression and media freedom
http://www.xtube.com,PORN,Pornography
http://www.yahosein.com/index.php,MINR,Minority rights and ethnic content
http://www.ynet.co.il,FEXP,Free expression and media freedom
http://www.ynetnews.com,FEXP,Free expression and media freedom
http://www.zionism-israel.com,HAL,"History, arts and literature"
http://youtube.com,FEXP,Free expression and media freedom
https://twitter.com/tamarrod_gaza,FEXP,Free expression and media freedom
https://www.facebook.com/tamradgaza1,FEXP,Free expression and media freedom
