url,category_code,category_description
http://ahlulbait12.jeeran.com,MINR,Minority rights and ethnic content
http://albrhan.org,MINR,Minority rights and ethnic content
http://alhag.net,MINR,Minority rights and ethnic content
http://alsaha.com,FEXP,Free expression and media freedom
http://alsaha.fares.net,FEXP,Free expression and media freedom
http://angryarab.blogspot.com,FEXP,Free expression and media freedom
http://answering-islam.org,MINF,Minority faiths
http://answering-islam.org/Arabic/index.html,REL,"Religious conversion, commentary and criticism"
http://ar.wikipedia.org,FEXP,Free expression and media freedom
http://ar.wikipedia.org/wiki/%D8%AA%D9%85%D9%8A%D9%85_%D8%A8%D9%86_%D8%AD%D9%85%D8%AF_%D8%A8%D9%86_%D8%AE%D9%84%D9%8A%D9%81%D8%A9_%D8%A2%D9%84_%D8%AB%D8%A7%D9%86%D9%8A,HUMR,Human rights
http://ar.wikipedia.org/wiki/%D8%AD%D9%85%D8%AF_%D8%A8%D9%86_%D8%AE%D9%84%D9%8A%D9%81%D8%A9_%D8%A2%D9%84_%D8%AB%D8%A7%D9%86%D9%8A,HUMR,Human rights
http://ar.wikipedia.org/wiki/%D9%82%D8%B7%D8%B1,HUMR,Human rights
http://arabic.peopledaily.com.cn,FEXP,Free expression and media freedom
http://arabsex2.com,PORN,Pornography
http://armbeans.info/smiley.jpg,PORN,Pornography
http://ayaanhirsiali.web-log.nl,FEXP,Free expression and media freedom
http://bbcarabic.com,FEXP,Free expression and media freedom
http://blogs.albawaba.com,BLGSERV,Blogging domains and blogging services
http://bloodmirror.info/smiley.jpg,PORN,Pornography
http://bluegrape.info,ANON,Anonymizers and circumvention
http://brokenpie.com,ANON,Anonymizers and circumvention
http://callname.info,ANON,Anonymizers and circumvention
http://carpocket.info/smiley.jpg,PORN,Pornography
http://clubtanker.com,ANON,Anonymizers and circumvention
http://coppernose.pw,ANON,Anonymizers and circumvention
http://denypagetests.netsweeper.com,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/1,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/10,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/11,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/12,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/13,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/14,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/15,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/16,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/160,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/166,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/17,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/170,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/18,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/19,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/2,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/20,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/21,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/22,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/23,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/230,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/24,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/243,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/244,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/245,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/246,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/247,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/248,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/249,COMM,E-commerce
