url,category_code,category_description
http://albrhan.org,MINR,Minority rights and ethnic content
http://alhag.net,MINR,Minority rights and ethnic content
http://alsaha.com,FEXP,Free expression and media freedom
http://alshi3i.cjb.net,MINF,Minority faiths
http://altporn.org/wp-includes/images/rss.png,FEXP,Free expression and media freedom
http://ammartalk.com,FEXP,Free expression and media freedom
http://angryarab.blogspot.com,FEXP,Free expression and media freedom
http://answering-islam.org,MINF,Minority faiths
http://answering-islam.org/Arabic/index.html,REL,"Religious conversion, commentary and criticism"
http://ar.wikipedia.org,FEXP,Free expression and media freedom
http://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A5%D8%B3%D9%84%D8%A7%D9%85_%D9%81%D9%8A_%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9,FEXP,Free expression and media freedom
http://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9,FEXP,Free expression and media freedom
http://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B5%D8%AD%D8%A7%D9%81%D8%A9_%D9%81%D9%8A_%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9,FEXP,Free expression and media freedom
http://ar.wikipedia.org/wiki/%d8%aa%d8%b7%d9%88%d8%b1,HAL,"History, arts and literature"
http://ar.wikipedia.org/wiki/%D8%AC%D9%8A%D8%B4_%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9,FEXP,Free expression and media freedom
http://ar.wikipedia.org/wiki/%d8%af%d8%a7%d8%b1%d9%88%d9%8a%d9%86%d9%8a%d8%a9,HAL,"History, arts and literature"
http://ar.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87_%D8%A8%D9%86_%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2,FEXP,Free expression and media freedom
http://ar.wikipedia.org/wiki/%D9%82%D8%A7%D8%A6%D9%85%D8%A9_%D9%85%D9%84%D9%88%D9%83_%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9,FEXP,Free expression and media freedom
http://arabic.peopledaily.com.cn,FEXP,Free expression and media freedom
http://arabsex2.com,PORN,Pornography
http://bandar.raffah.com,FEXP,Free expression and media freedom
http://bbcarabic.com,FEXP,Free expression and media freedom
http://blogs.guardian.co.uk,FEXP,Free expression and media freedom
http://cupfight.info,ANON,Anonymizers and circumvention
http://cutefox.info,ANON,Anonymizers and circumvention
http://denypagetests.netsweeper.com,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/1,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/10,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/11,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/12,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/13,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/14,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/15,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/16,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/160,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/166,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/17,COMM,E-commerce
http://denypagetests.netsweeper.com/category/catno/170,FEXP,Free expression and media freedom
