url,category_code,category_description
http://4moslem.mail.everyone.net,EMAIL,Free email
http://66.102.9.104,CACH,Cache testing
http://66.102.9.104/search?q=cache:4p8WEdw0oU0J:www.playboy.com/+www.playboy.com&hl=en&ct=clnk&cd=1,CACH,Cache testing
http://66.102.9.104/search?q=cache:8utpDVLa1yYJ:www.arabtimes.com/+www.arabtimes.com&hl=en&ct=clnk&cd=1,CACH,Cache testing
http://66.102.9.104/search?q=cache:uiraCxyqdpoJ:cyber.law.harvard.edu/+cyber.law.harvard.edu&hl=en&ct=clnk&cd=1,CACH,Cache testing
http://abssyria.freewebpage.org,POLR,Political reform
http://abufares.blogspot.com,FEXP,Free expression and media freedom
http://ahlulbait12.jeeran.com,MINR,Minority rights and ethnic content
http://ahmadblogs.net,FEXP,Free expression and media freedom
http://ahyawatan.wordpress.com,FEXP,Free expression and media freedom
http://albrhan.org,MINR,Minority rights and ethnic content
http://aldomari.blogspot.com,FEXP,Free expression and media freedom
http://aleppost.blogspot.com,FEXP,Free expression and media freedom
http://aleppousmedica.blogspot.com,FEXP,Free expression and media freedom
http://alhag.net,MINR,Minority rights and ethnic content
http://alhiwaradimocraty.free.fr,POLR,Political reform
http://alisalemtamek.site.voila.fr,HUMR,Human rights
http://almudawen.net,FEXP,Free expression and media freedom
http://alsaha.com,FEXP,Free expression and media freedom
http://anasonline.net,FEXP,Free expression and media freedom
http://andsometimemakethetime.blogspot.com,FEXP,Free expression and media freedom
http://angryarab.blogspot.com,FEXP,Free expression and media freedom
http://answering-islam.org,MINF,Minority faiths
http://answering-islam.org/Arabic/index.html,REL,"Religious conversion, commentary and criticism"
http://ar.wikipedia.org,FEXP,Free expression and media freedom
http://ar.wikipedia.org/wiki/%D8%A8%D8%B4%D8%A7%D8%B1_%D8%A7%D9%84%D8%A3%D8%B3%D8%AF,FEXP,Free expression and media freedom
http://ar.wikipedia.org/wiki/%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE_%D8%B3%D9%88%D8%B1%D9%8A%D8%A7,FEXP,Free expression and media freedom
http://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7,FEXP,Free expression and media freedom
http://arabdl.com,SFTWR,Software downloads
http://arabic.peopledaily.com.cn,FEXP,Free expression and media freedom
http://arabicshortstory.blogspot.com,FEXP,Free expression and media freedom
http://arabsex2.com,PORN,Pornography
http://ayaanhirsiali.web-log.nl,FEXP,Free expression and media freedom
http://ayaanhirsiali.web-log.nl/ayaanhirsiali/english/index.html,FEXP,Free expression and media freedom
http://ayham2006.blogspot.com,FEXP,Free expression and media freedom
http://baath-congress.blogspot.com,FEXP,Free expression and media freedom
http://bbcarabic.com,FEXP,Free expression and media freedom
http://beesso.blogspot.com,FEXP,Free expression and media freedom
http://beurgay.free.fr,GAYL,Gay-lesbian
http://blog.syrie.be,FEXP,Free expression and media freedom
http://blogs.albawaba.com,BLGSERV,Blogging domains and blogging services
http://cocktail4.blogspot.com,FEXP,Free expression and media freedom
http://damascene.typepad.com,FEXP,Free expression and media freedom
http://damascus-spring.blogspot.com,FEXP,Free expression and media freedom
http://en.wikipedia.org,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/Foreign_relations_of_Syria,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/Hama_Massacre,HUMR,Human rights
http://en.wikipedia.org/wiki/History_of_Syria,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/Kurds_in_Syria,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/LGBT_rights_in_Syria,GAYL,Gay-lesbian
http://en.wikipedia.org/wiki/Military_of_Syria,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/Politics_of_Syria,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/Syria,FEXP,Free expression and media freedom
http://fatosha.ueuo.com,FEXP,Free expression and media freedom
http://fillededamas.nomadlife.org,FEXP,Free expression and media freedom
http://forsyriaorg.powweb.com,FEXP,Free expression and media freedom
http://forum.shrc.org,HUMR,Human rights
http://fr.youtube.com,FEXP,Free expression and media freedom
http://freesyria.wordpress.com,FEXP,Free expression and media freedom
http://games.do7a.com,GAME,Gaming
http://gayguide.net,GAYL,Gay-lesbian
http://gayguide.net/Middle_East/Syria/,GAYL,Gay-lesbian
http://gayinkuwait.blogspot.com,GAYL,Gay-lesbian
http://gayswithoutborders.wordpress.com,GAYL,Gay-lesbian
http://gbu-algerie.blogspot.com,REL,"Religious conversion, commentary and criticism"
http://goo.gl/s5jdw,FEXP,Free expression and media freedom
http://groups.yahoo.com/group/a7la_arab/,PORN,Pornography
http://groups.yahoo.com/group/al7aaalm/,PORN,Pornography
http://groups.yahoo.com/group/alsharamit/,PORN,Pornography
http://groups.yahoo.com/group/BNAT_MASR/,PORN,Pornography
http://groups.yahoo.com/group/cclub69/?yguid=101737945,PORN,Pornography
http://groups.yahoo.com/group/fahdalkldi/?yguid=101737945,PORN,Pornography
http://groups.yahoo.com/group/GaDoH_SOFT/,HACK,Hacking
http://groups.yahoo.com/group/games_programs_4arab/,GAME,Gaming
http://groups.yahoo.com/group/glasla/,GAYL,Gay-lesbian
http://groups.yahoo.com/group/glaslebanon/,GAYL,Gay-lesbian
http://groups.yahoo.com/group/glasnyc/,GAYL,Gay-lesbian
http://groups.yahoo.com/group/lesbianmuslims,GAYL,Gay-lesbian
http://groups.yahoo.com/group/lgbtmuslim,GAYL,Gay-lesbian
http://groups.yahoo.com/group/muslimgaymen,GAYL,Gay-lesbian
http://groups.yahoo.com/group/queerjihad,GAYL,Gay-lesbian
http://groups.yahoo.com/group/transmuslims,GAYL,Gay-lesbian
http://hannibaal2.blogspot.com,FEXP,Free expression and media freedom
http://hem.bredband.net,POLR,Political reform
http://hem.bredband.net/dccls/borhan.htm,POLR,Political reform
http://hiddengates.blogspot.com,FEXP,Free expression and media freedom
http://hosting.egcomp.com,HOST,Web hosting sites and portals
http://hras-syria.tripod.com,HUMR,Human rights
http://hrw.org,FEXP,Free expression and media freedom
http://ibloga.blogspot.com,FEXP,Free expression and media freedom
http://ihsaniat.blogspot.com,FEXP,Free expression and media freedom
http://ikhwanonline.org,POLT,Political transformation
http://jap.inf.tu-dresden.de,ANON,Anonymizers and circumvention
http://jeeran.com,BLGSERV,Blogging domains and blogging services
http://jeeran.com/blogs/,BLGSERV,Blogging domains and blogging services
http://kenlydell.typepad.com,FEXP,Free expression and media freedom
http://kenlydell.typepad.com/islamic_evil/,FEXP,Free expression and media freedom
http://keskesor.eu,MINR,Minority rights and ethnic content
http://kilmah.wordpress.com,FEXP,Free expression and media freedom
http://ku.wikipedia.org,MINR,Minority rights and ethnic content
http://lcweb2.loc.gov,FREL,Foreign relations and military
http://mail.ayna.com,EMAIL,Free email
http://mail.naseej.com,EMAIL,Free email
http://mail.wearab.net,EMAIL,Free email
http://mail.wearab.net/arabic/,EMAIL,Free email
http://malak-alkoon.com,HACK,Hacking
http://martyrium.wordpress.com,FEXP,Free expression and media freedom
http://members.aol.com,POLT,Political transformation
http://members.aol.com/alnour/,REL,"Religious conversion, commentary and criticism"
http://motic.blogspot.com,POLR,Political reform
http://mr-blond.net,FEXP,Free expression and media freedom
http://mslamh.jeeran.com,HACK,Hacking
http://muoffaq.qabbani.net,FEXP,Free expression and media freedom
http://myhumanityfirst.blogspot.com,FEXP,Free expression and media freedom
http://pages.ifrance.com,REL,"Religious conversion, commentary and criticism"
http://psychoanalysis-syria.blogspot.com,FEXP,Free expression and media freedom
http://shabablek.com,FEXP,Free expression and media freedom
http://sharks777.blogspot.com,FEXP,Free expression and media freedom
http://shuhood.org,HUMR,Human rights
http://shuhood.org/news/121/,HUMR,Human rights
http://site.voila.fr,GMB,Gambling
http://sjs429.jeeran.com,MINR,Minority rights and ethnic content
http://sketchblogbridge.blogspot.com,FEXP,Free expression and media freedom
http://soft.arabdl.com,SFTWR,Software downloads
http://syria.ajjan.com,FEXP,Free expression and media freedom
http://syria.ajjan.com/blog.htm,FEXP,Free expression and media freedom
http://syriaexposed.blogspot.com,FEXP,Free expression and media freedom
http://syriamonitor.typepad.com,FEXP,Free expression and media freedom
http://syrian-flickers.blogspot.com,FEXP,Free expression and media freedom
http://syrianita.blogspot.com,FEXP,Free expression and media freedom
http://syriatruth.org,POLR,Political reform
http://tasaly.ueuo.com,GAME,Gaming
http://test.blogspot.com,FEXP,Free expression and media freedom
http://tharwacommunity.typepad.com,FEXP,Free expression and media freedom
http://today.reuters.com,FEXP,Free expression and media freedom
http://today.reuters.com/news/crisesmap.aspx?region=middleeast,FEXP,Free expression and media freedom
http://urshalim.blogspot.com,FEXP,Free expression and media freedom
http://webwarper.net,ANON,Anonymizers and circumvention
http://ww2.fiacat.org,HUMR,Human rights
http://www.14masom.com,MINR,Minority rights and ethnic content
http://www.3rbe.com,SFTWR,Software downloads
http://www.3rbpro.com,SFTWR,Software downloads
http://www.4eco.com,ENV,Environment
http://www.5tt5.com,SFTWR,Software downloads
http://www.5tt5.com/Services/Crack/,SFTWR,Software downloads
http://www.6on6.com,XED,Sex education and family planning
http://www.6on6.com/viewArt.php?id=124,XED,Sex education and family planning
http://www.aafaq.org,FEXP,Free expression and media freedom
http://www.aaramnews.com,FEXP,Free expression and media freedom
http://www.abakdash.com,FEXP,Free expression and media freedom
http://www.abudhabiescort.com,DATE,Dating
http://www.abudhabiescort.com/gulf-sex/gulf-escorts.htm,DATE,Dating
http://www.acage.org,FEXP,Free expression and media freedom
http://www.achr.nu,POLR,Political reform
http://www.achr.nu/Haytham%20Manna.htm,POLR,Political reform
http://www.acsad.org,ENV,Environment
http://www.adabislami.org,HAL,"History, arts and literature"
http://www.afp.com/arabic/home/,FEXP,Free expression and media freedom
http://www.ahewar.org,FEXP,Free expression and media freedom
http://www.ahmad-world.com,FEXP,Free expression and media freedom
http://www.ahrarsyria.com,POLR,Political reform
http://www.ajjan.com,FEXP,Free expression and media freedom
http://www.akhawia.net,FEXP,Free expression and media freedom
http://www.al-bab.com,FEXP,Free expression and media freedom
http://www.al-bab.com/arab/background/gay.htm,GAYL,Gay-lesbian
http://www.al-farook.com,MINR,Minority rights and ethnic content
http://www.alahssa-alkateef.com,MILX,"Militants, extremists and separatists"
http://www.alajeeb.com,HOST,Web hosting sites and portals
http://www.alalam.ir,FEXP,Free expression and media freedom
http://www.alarabiya.net,FEXP,Free expression and media freedom
http://www.alayham.com,FEXP,Free expression and media freedom
http://www.albawaba.com,FEXP,Free expression and media freedom
http://www.albawaba.com/ar/countries/Syria,FEXP,Free expression and media freedom
http://www.aleppous.com,FEXP,Free expression and media freedom
http://www.aleppous.com/blog/,FEXP,Free expression and media freedom
http://www.alhesbah.org,POLT,Political transformation
http://www.aljadid.com,FEXP,Free expression and media freedom
http://www.aljesr.nl,FEXP,Free expression and media freedom
http://www.all4syria.org,POLR,Political reform
http://www.allahsassurance.com,REL,"Religious conversion, commentary and criticism"
http://www.almahatta.net,FEXP,Free expression and media freedom
http://www.almisbar.com,TRNS,Translation
http://www.almisbar.com/salam_trans_a.html,TRNS,Translation
http://www.almktaba.com,MILX,"Militants, extremists and separatists"
http://www.almustaqbal.com,FEXP,Free expression and media freedom
http://www.alnaddy.com,DATE,Dating
http://www.alnazaha.org,POLR,Political reform
http://www.alnour.com,REL,"Religious conversion, commentary and criticism"
http://www.alparty.org,MILX,"Militants, extremists and separatists"
http://www.alqabas.com.kw,FEXP,Free expression and media freedom
http://www.alqanat.com,FEXP,Free expression and media freedom
http://www.alquds.co.uk,FEXP,Free expression and media freedom
http://www.alquma.net,FEXP,Free expression and media freedom
http://www.alsafahat.net,FEXP,Free expression and media freedom
http://www.alsakher.com,HAL,"History, arts and literature"
http://www.alseyassah.com,FEXP,Free expression and media freedom
http://www.alwatan-alsouri.com,FEXP,Free expression and media freedom
http://www.alzawag.com,DATE,Dating
http://www.amanjordan.org,WOMR,Women's rights
http://www.amanjordan.org/a-news/wmview.php?ArtCat=26,WOMR,Women's rights
http://www.amin.org,FEXP,Free expression and media freedom
http://www.amnestyusa.org,HUMR,Human rights
http://www.amplusnet.com,ANON,Anonymizers and circumvention
