url,category_code,category_description
http:// fergana.ru,POLT,Political transformation
http://centrasia.ru,FEXP,Free expression and media freedom
http://ferghana.ru,POLT,Political transformation
http://http:/www.news.tj/,FEXP,Free expression and media freedom
http://ria.ru,FEXP,Free expression and media freedom
http://www.etimod.net,FEXP,Free expression and media freedom
http://www.internews.eu,FEXP,Free expression and media freedom
http://www.irshod.net,REL,"Religious conversion, commentary and criticism"
http://www.iwpr.net,MINR,Minority rights and ethnic content
http://www.lenta.ru,FEXP,Free expression and media freedom
http://www.mtjt.tj,FEXP,Free expression and media freedom
http://www.news.bcm.ru,POLT,Political transformation
http://www.rusembassy.tajnet.com,FREL,Foreign relations and military
http://www.turajon.com,REL,"Religious conversion, commentary and criticism"
http://www.voprosik.net,FEXP,Free expression and media freedom
http://www.zvezda.ru,FEXP,Free expression and media freedom
