url,category_code,category_description
http://9.best-ir.org,MMED,Multimedia sharing
http://akilli.tv/Default.aspx,MMED,Multimedia sharing
http://bbindir.net,MMED,Multimedia sharing
http://bet-at-home.com,GMB,Gambling
http://betting.betfair.com.au,GMB,Gambling
http://coolporntube.com,PORN,Pornography
http://dersimsite.org,FEXP,Free expression and media freedom
http://dir.groups.yahoo.com/dir/Regional/Countries/Turkey,GRP,Groups and social networking
http://disaci.blogspot.com,FREL,Foreign relations and military
http://elmaaltshift.com,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/Cyprus#Current_dispute,FREL,Foreign relations and military
http://en.wikipedia.org/wiki/Cyprus_dispute,FREL,Foreign relations and military
http://en.wikipedia.org/wiki/Greek_military_junta_of_1967%E2%80%931974,FREL,Foreign relations and military
http://en.wikipedia.org/wiki/Islam_in_Turkey,REL,"Religious conversion, commentary and criticism"
http://en.wikipedia.org/wiki/Turkish_invasion_of_Cyprus,FREL,Foreign relations and military
http://eng.akparti.org.tr,FREL,Foreign relations and military
http://engelliweb.com,FEXP,Free expression and media freedom
http://enterhosts.com,MINR,Minority rights and ethnic content
http://ergenekonisourreality.wordpress.com,MILX,"Militants, extremists and separatists"
http://evdedans.com,PORN,Pornography
http://fantazishow.com,PORN,Pornography
http://forumindir.net,MMED,Multimedia sharing
http://get-vids.com,MMED,Multimedia sharing
http://hawar.hk-mg.net,MINR,Minority rights and ethnic content
http://http://www.arneforumu.org/,GRP,Groups and social networking
http://infinitetube.com,PORN,Pornography
http://istanblues.splinder.com,FREL,Foreign relations and military
http://istanbulcalling.blogspot.com,FREL,Foreign relations and military
http://istanbulian.blogspot.com,FREL,Foreign relations and military
http://justusboys.com,PORN,Pornography
http://kafkas.org.tr,HAL,"History, arts and literature"
http://kasaum.ankara.edu.tr/index_eng.htm,WOMR,Women's rights
http://kurdishrights.org,MINR,Minority rights and ethnic content
http://kurdistancommentary.wordpress.com,HUMR,Human rights
http://kurdsbook.com,MINR,Minority rights and ethnic content
http://members.fortunecity.com/fstav1/1619.html,MINR,Minority rights and ethnic content
