url,category_code,category_description
http:///www.blackblocg.info,HATE,Hate speech
http://24tv.ua,FEXP,Free expression and media freedom
http://2ch.hk,PORN,Pornography
http://3a-pycb.livejournal.com,HAL,"History, arts and literature"
http://6ott-mit-uns.livejournal.com,HAL,"History, arts and literature"
http://72.14.203.104,SRCH,Search engines
http://72.14.203.104/search?hl=zh-CN&q=cache:http://www.sh.xcmc.com.cn/,SRCH,Search engines
http://a-burlaka.livejournal.com,FEXP,Free expression and media freedom
http://a-osipoff.livejournal.com,FREL,Foreign relations and military
http://a-sadov.livejournal.com,FREL,Foreign relations and military
http://abclider.com,PORN,Pornography
http://abcnews.go.com,FEXP,Free expression and media freedom
http://adengo.ru,FEXP,Free expression and media freedom
http://ags.demokratia.ru,POLR,Political reform
http://alexabarboss.blogspot.com,FEXP,Free expression and media freedom
http://alstrangers.livejournal.com,MILX,"Militants, extremists and separatists"
http://amnesty.org.ru,HUMR,Human rights
http://anaitiss.livejournal.com,FREL,Foreign relations and military
http://analitica.kiev.ua,FEXP,Free expression and media freedom
http://anekdot-blogger.blogspot.com,FEXP,Free expression and media freedom
http://anonymizer.report.ru,ANON,Anonymizers and circumvention
http://anonymizer.report.ru/_5FolderID_21226_.html,ANON,Anonymizers and circumvention
http://another-kashin.livejournal.com,FREL,Foreign relations and military
http://ansardin.wordpress.com,MILX,"Militants, extremists and separatists"
http://antijob.mahost.org,POLT,Political transformation
http://arestant.msk.ru,HUMR,Human rights
http://artem.gayclub.ru,GAYL,Gay-lesbian
http://arxiv.ruckp.org,ALDR,Alcohol and drugs
http://awvestnik.narod.ru,HUMR,Human rights
http://azart.net.ua,GMB,Gambling
http://azartplay.com,GMB,Gambling
http://azatlyk-vatan.blogspot.com,MINR,Minority rights and ethnic content
http://bagnet.org,FEXP,Free expression and media freedom
http://balashov.com.ua,FEXP,Free expression and media freedom
http://beon.ru,BLGSERV,Blogging domains and blogging services
http://bestmaza.biz,ALDR,Alcohol and drugs
http://betway.com,GMB,Gambling
http://bh42.blogspot.com,FEXP,Free expression and media freedom
http://BitchX.Ru,FEXP,Free expression and media freedom
http://blanki.net.ua,COMM,E-commerce
http://blog.i.ua,FEXP,Free expression and media freedom
http://blog.kp.ru,BLGSERV,Blogging domains and blogging services
http://blog.liga.net,FEXP,Free expression and media freedom
http://blog.megaforum.ru,BLGSERV,Blogging domains and blogging services
http://blog.meta.ua,FEXP,Free expression and media freedom
http://blog.polemika.com.ua,FEXP,Free expression and media freedom
http://blog.ru,BLGSERV,Blogging domains and blogging services
http://blogroll.ru,BLGSERV,Blogging domains and blogging services
http://blogs.gde.ru,BLGSERV,Blogging domains and blogging services
http://blogs.kafanews.com/blog,FEXP,Free expression and media freedom
http://blogs.korrespondent.net,FEXP,Free expression and media freedom
http://blogs.lb.ua,FEXP,Free expression and media freedom
http://blogs.mail.ru,BLGSERV,Blogging domains and blogging services
http://blogs.pravda.com.ua,FEXP,Free expression and media freedom
http://blogs.privet.ru,BLGSERV,Blogging domains and blogging services
http://blogs.voanews.com,FEXP,Free expression and media freedom
http://blogs.wsj.com,FEXP,Free expression and media freedom
http://blogs.yandex.ru,BLGSERV,Blogging domains and blogging services
http://blogseo.ru,BLGSERV,Blogging domains and blogging services
http://blogsochi.ru,FEXP,Free expression and media freedom
http://blogspot.com,FEXP,Free expression and media freedom
http://borgie.net,MISC,Miscellaneous
http://bride.ru,DATE,Dating
http://buddhism.org.ru,REL,"Religious conversion, commentary and criticism"
http://buddhist.ru,REL,"Religious conversion, commentary and criticism"
http://buro-perevodov14.jino-net.ru,TRNS,Translation
http://cannabisnature.com,ALDR,Alcohol and drugs
http://caseofpussyriot.livejournal.com,FEXP,Free expression and media freedom
http://censor.net.ua,FEXP,Free expression and media freedom
http://chadayev.livejournal.com,FREL,Foreign relations and military
http://chertog.livejournal.com,FREL,Foreign relations and military
http://childrenscinema.com,MISC,Miscellaneous
http://circassianculturalinstitute.org/circassians-protest-selection-sochi-2014-winter-olympics-venue-2/,HUMR,Human rights
http://comingoutspb.ru/en/en-home,GAYL,Gay-lesbian
http://commersant.ua,FEXP,Free expression and media freedom
http://community.livejournal.com,FEXP,Free expression and media freedom
http://community.livejournal.com/dpni_ru,POLR,Political reform
http://community.livejournal.com/openrussia/,POLR,Political reform
http://compromat.ru,FEXP,Free expression and media freedom
http://cones.tv,COMM,E-commerce
http://connect.ua,FEXP,Free expression and media freedom
http://contracept.newlist.ru,XED,Sex education and family planning
http://crimea24.info,FEXP,Free expression and media freedom
http://cripo.com.ua,FEXP,Free expression and media freedom
http://czeczenia-rus.blog.onet.pl,MILX,"Militants, extremists and separatists"
http://damochka.ru,GRP,Groups and social networking
http://dating.ru,DATE,Dating
http://datingyes.com,DATE,Dating
http://datmob.net,PROV,Provocative attire
http://deep21.sitecity.ru,GAYL,Gay-lesbian
http://deffki.com.ua,PROV,Provocative attire
http://deja-vu.kiev.ua,PORN,Pornography
http://demos-center.ru,POLT,Political transformation
http://depositfiles.com,FEXP,Free expression and media freedom
http://diaspora.iatp.org.ua,MINF,Minority faiths
http://diplomaticsecondpassport.com,COMM,E-commerce
http://directory.mblog.ru,BLGSERV,Blogging domains and blogging services
http://dmitriyev.hiblogger.net,FEXP,Free expression and media freedom
http://dni.ru,FEXP,Free expression and media freedom
http://donbass.ua,FEXP,Free expression and media freedom
http://donnerwort.livejournal.com,FREL,Foreign relations and military
http://drug-naroda.com,POLR,Political reform
http://drug-naroda.net,POLR,Political reform
http://drug-naroda.org,POLR,Political reform
http://drug-naroda.ru,POLR,Political reform
http://drugoi.livejournal.com,FREL,Foreign relations and military
http://drugspowerstore.com,ALDR,Alcohol and drugs
http://echo.msk.ru,FEXP,Free expression and media freedom
http://echo.msk.ru/blog/navalny/,POLR,Political reform
http://ej.punkchords.com,POLR,Political reform
http://ej.ru,FEXP,Free expression and media freedom
http://elhosting.ru,HOST,Web hosting sites and portals
http://elitvip.ru,PORN,Pornography
http://en.netlog.com,FEXP,Free expression and media freedom
http://en.rian.ru,FEXP,Free expression and media freedom
http://en.wikipedia.org,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/suicide_methods,PUBH,Public health
http://en.wikipedia.org/wiki/vaporizer_%28cannabis%29,ALDR,Alcohol and drugs
http://endryx.livejournal.com,FEXP,Free expression and media freedom
http://eng.cnews.ru,FEXP,Free expression and media freedom
http://eng.yabloko.ru,FEXP,Free expression and media freedom
http://english.ruvr.ru,FEXP,Free expression and media freedom
http://epravda.com.ua,FEXP,Free expression and media freedom
http://eroporno.ru,PORN,Pornography
http://eurasia.org.ru,FEXP,Free expression and media freedom
http://eve-kill.net,FEXP,Free expression and media freedom
http://ext.ru,FEXP,Free expression and media freedom
http://facebook.com,FEXP,Free expression and media freedom
http://facenews.ua,FEXP,Free expression and media freedom
http://facty.ua,FEXP,Free expression and media freedom
http://fast-die.kiev.ua,MISC,Miscellaneous
http://fast-torrent.ru,FEXP,Free expression and media freedom
http://fca.narod.ru,MINR,Minority rights and ethnic content
http://fei.ru,PORN,Pornography
http://fileshare.in.ua,FEXP,Free expression and media freedom
http://finance.yahoo.com,FEXP,Free expression and media freedom
http://fisadilillahi.com,HATE,Hate speech
http://flash.va-bank.com,GMB,Gambling
http://flibusta.net,MMED,Multimedia sharing
http://flirchi.ru dating,FEXP,Free expression and media freedom
http://forum.lingvo.ru,TRNS,Translation
http://fraza.com.ua,FEXP,Free expression and media freedom
http://free.newyork.ru,TRNS,Translation
http://freedomhouse.org/russia-eve-sochi,HUMR,Human rights
http://freepromote.ru,MMED,Multimedia sharing
http://freepussyriot.org,FEXP,Free expression and media freedom
http://freeware32.ru,MMED,Multimedia sharing
http://from-ua.com,FEXP,Free expression and media freedom
http://frontzmin.ua,FEXP,Free expression and media freedom
http://gaia.ru,GAYL,Gay-lesbian
http://gamsoft.ru,GMB,Gambling
http://gayzona.com,GAYL,Gay-lesbian
