url,category_code,category_description
http://aabtoursandtravel.com,SRCH,Search engines
http://activists4change.blogspot.com,POLR,Political reform
http://andrewmwendasblog.blogspot.com,POLR,Political reform
http://bigbrotherafrica.dstv.com,HAL,"History, arts and literature"
http://blogs.monitor.co.ug,MISC,Miscellaneous
http://cbsfmbuganda.co.ug/index.php/en/,MISC,Miscellaneous
http://chimpreports.com,MMED,Multimedia sharing
http://cpj.org/attacks06/africa06/uga06.html,FEXP,Free expression and media freedom
http://dembefm.ug,MISC,Miscellaneous
http://dennismatanda.blogspot.com,FEXP,Free expression and media freedom
http://dioceseofnorthernuganda.blogspot.com,HUMR,Human rights
http://dpuganda.blogspot.com,POLR,Political reform
http://dying-communist.blogspot.com,FEXP,Free expression and media freedom
http://en.wikipedia.org/wiki/daniel_kalinaki,MISC,Miscellaneous
http://fdcuganda.org,POLR,Political reform
http://fedsnet.blogspot.com,POLR,Political reform
http://gayuganda.blogspot.com,GAYL,Gay-lesbian
http://globalblogagainstaids.blogspot.com,PUBH,Public health
http://groups.yahoo.com/group/candies/,GAYL,Gay-lesbian
http://groups.yahoo.com/group/ugandagreen,POLR,Political reform
http://hackersuganda.wordpress.com,HACK,Hacking
http://humanistuganda.wordpress.com,MINR,Minority rights and ethnic content
http://imaginet.co.ug,HOST,Web hosting sites and portals
http://jssozi.wordpress.com,MISC,Miscellaneous
http://kalinaki.blogspot.com,MISC,Miscellaneous
http://katwe.blogspot.com,FEXP,Free expression and media freedom
http://kawowo.com,MMED,Multimedia sharing
http://kfm.co.ug,MISC,Miscellaneous
http://killthebilluganda.blogspot.com,HUMR,Human rights
http://koonadance.ug,MMED,Multimedia sharing
http://lg.wikipedia.org,MISC,Miscellaneous
http://lg.wikipedia.org/wiki/Omuko_Ogusooka,MISC,Miscellaneous
http://love.redpepper.ug,DATE,Dating
http://mak.ac.ug,MISC,Miscellaneous
http://maureenagena.wordpress.com,WOMR,Women's rights
http://mondaytimes.co.ug,MISC,Miscellaneous
http://mugumya.com,MISC,Miscellaneous
http://myduuka.co.ug,COMM,E-commerce
http://nakedchiefs.com,GRP,Groups and social networking
http://news.yahoo.com/uganda-frets-over-rebel-threat-congo-refugees-reach-164849460.html,FREL,Foreign relations and military
http://northernugandapost.blogspot.com,POLR,Political reform
http://ntv.co.ug,MISC,Miscellaneous
http://ntvuganda.co.ug,MISC,Miscellaneous
http://observer.ug,FEXP,Free expression and media freedom
http://owerahbits.blogspot.com,MISC,Miscellaneous
http://pctechmag.com,MMED,Multimedia sharing
http://proggie.ug,MMED,Multimedia sharing
http://redpeppe.ipower.com/ibriefing.php?item=1,POLR,Political reform
http://sba.co.ug,GAME,Gaming
http://thepearlguide.co.ug,SRCH,Search engines
http://thereport.amnesty.org/eng/Regions/Africa/Uganda,HUMR,Human rights
http://thinkafricapress.com/uganda/resurgent-adf-threatens-stability-great-lakes-region,FREL,Foreign relations and military
http://tortureinuganda.wordpress.com,HUMR,Human rights
http://udn.or.ug,DEV,Development
http://uganda.blogspirit.com,FEXP,Free expression and media freedom
