url,category_code,category_description
http://2012.votolimpio.info,POLR,Political reform
http://alasc.wordpress.com,HUMR,Human rights
http://alekboyd.blogspot.com,POLT,Political transformation
http://angelucho.wordpress.com/2009/06/19/%C2%A1muerte-a-chavez/,FEXP,Free expression and media freedom
http://anthropologica.tumblr.com/archive,MINR,Minority rights and ethnic content
http://atacada.wordpress.com,GAYL,Gay-lesbian
http://blog.descargasgay.com,PORN,Pornography
http://bloggeras.wordpress.com,WOMR,Women's rights
http://buscador.infoguia.net,SRCH,Search engines
http://caracaschronicles.com,POLT,Political transformation
http://caracasgringo.wordpress.com,FEXP,Free expression and media freedom
http://caracasundercover.blogspot.com,GAYL,Gay-lesbian
http://chavilarism.blogspot.com,POLT,Political transformation
http://citizenfeathers.wordpress.com,POLT,Political transformation
http://clandestino-venezuela.es.tl,FEXP,Free expression and media freedom
http://clubcritica.spaces.live.com,FEXP,Free expression and media freedom
http://constitutional-reform-venezuela.blogspot.com,POLT,Political transformation
http://cuentosintrascendentes.blogspot.com,POLT,Political transformation
http://daniel-venezuela.blogspot.com,POLT,Political transformation
http://depravario.blogspot.com,GAYL,Gay-lesbian
http://devilsexcrement.com,FEXP,Free expression and media freedom
http://dolarbb.com,FREL,Foreign relations and military
http://downfaller-plateado.blogspot.com,POLT,Political transformation
http://es.catholic.net,REL,"Religious conversion, commentary and criticism"
http://esdata.info,POLR,Political reform
http://etnoecomerida.wordpress.com,MINR,Minority rights and ethnic content
http://exdiablo.com,FEXP,Free expression and media freedom
http://filosofiasinsolucion.blogspot.com,POLT,Political transformation
http://freevenezuela.wordpress.com,POLT,Political transformation
http://fuerzasolidaria.org,POLR,Political reform
http://globovision.com,FEXP,Free expression and media freedom
http://hayuncamino.com,POLT,Political transformation
http://indigenista.org,MINR,Minority rights and ethnic content
http://laliebrelibre.com.ve/w/,HAL,"History, arts and literature"
http://lasarmasdecoronel.blogspot.co.uk,POLR,Political reform
http://movimientoecologicodevenezuela.blogspot.com,ENV,Environment
http://ogil.wordpress.com,POLT,Political transformation
http://oilwars.blogspot.com,DEV,Development
http://orvex.org,FREL,Foreign relations and military
http://pmbcomments.blogspot.com,POLT,Political transformation
http://porlaconciencia.com,POLR,Political reform
http://prensadesolidaridad.blogspot.com,FEXP,Free expression and media freedom
http://queacido.blogspot.com,POLT,Political transformation
http://reforma-constitucional-venezuela.blogspot.com,POLT,Political transformation
http://revistas.luz.edu.ve/index.php/rcs,FEXP,Free expression and media freedom
http://runrun.es,POLT,Political transformation
http://samurai-bolivariano.blogspot.com,MILX,"Militants, extremists and separatists"
http://sinmordaza.org/nuevo/,FEXP,Free expression and media freedom
http://socialdemencia.blogspot.com,POLT,Political transformation
http://sociedadcivilvenezuela.blogspot.com,HUMR,Human rights
http://soloenvenezuela.com,FEXP,Free expression and media freedom
http://superhuevoblog.blogspot.com,FEXP,Free expression and media freedom
http://tlc-no.blogspot.com,FREL,Foreign relations and military
http://tlc.ticoblogger.com,FREL,Foreign relations and military
http://todosenred.wordpress.com,FEXP,Free expression and media freedom
http://twitter-venezuela.com,FEXP,Free expression and media freedom
http://urru.org,POLR,Political reform
http://venepoetics.blogspot.com,MISC,Miscellaneous
http://venezuela-centro.axxs.org,FEXP,Free expression and media freedom
http://venezuela-centro.axxs.org/54,MINR,Minority rights and ethnic content
http://venezuela-usa.blogspot.com,FREL,Foreign relations and military
http://venezuela.elmilitante.org,POLT,Political transformation
http://venezuela.indymedia.org/es/index.shtml,FEXP,Free expression and media freedom
http://venezuelareal.zoomblog.com,FEXP,Free expression and media freedom
http://votojoven.com,POLR,Political reform
http://vzlanpolitics.blogspot.com,POLT,Political transformation
http://www.11abril.com/index.asp,POLT,Political transformation
http://www.11abril.com/index/especiales/chavezthefilm.asp,HAL,"History, arts and literature"
http://www.abn.info.ve,FEXP,Free expression and media freedom
http://www.accsi.org.ve,PUBH,Public health
http://www.acsol.org,PUBH,Public health
http://www.ainfos.ca,POLR,Political reform
http://www.alternativabolivariana.org,FREL,Foreign relations and military
http://www.analitica.com,FEXP,Free expression and media freedom
http://www.aporrea.org,FEXP,Free expression and media freedom
http://www.avhi.org,DEV,Development
http://www.bilaterals.org,FREL,Foreign relations and military
http://www.biodiversidadla.org,MINR,Minority rights and ethnic content
http://www.caiv.org,MINF,Minority faiths
http://www.caiv.org/index.php?seccion=Home,FEXP,Free expression and media freedom
http://www.camino-del-diamante.org/centros2.php?cod=1,MINF,Minority faiths
http://www.caracasktc.org,MINF,Minority faiths
http://www.caracasqueer.blogspot.com,GAYL,Gay-lesbian
http://www.cecodap.org.ve,HUMR,Human rights
http://www.cedema.org/index.php?ver=mostrar&pais=1&nombrepais=Venezuela,MILX,"Militants, extremists and separatists"
http://www.cedice.org.ve,POLT,Political transformation
http://www.ciudadaniaactiva.org,HUMR,Human rights
http://www.cne.gov.ve,FEXP,Free expression and media freedom
http://www.codigovenezuela.com,FEXP,Free expression and media freedom
http://www.complotmagazine.com,FEXP,Free expression and media freedom
http://www.conive.org,MINR,Minority rights and ethnic content
http://www.conocereisdeverdad.org,REL,"Religious conversion, commentary and criticism"
http://www.controlciudadano.org,POLR,Political reform
http://www.controlobrero.org,HUMR,Human rights
http://www.criptored.upm.es,HACK,Hacking
http://www.defiendetufe.org,REL,"Religious conversion, commentary and criticism"
http://www.derechos.org.ve,HUMR,Human rights
http://www.derechos.org/nizkor/venezuela/,HUMR,Human rights
http://www.descifrado.com/index.php?id=11,FEXP,Free expression and media freedom
http://www.dialogo-americas.com,FEXP,Free expression and media freedom
http://www.diegoarria.com,POLR,Political reform
http://www.diploos.com,FEXP,Free expression and media freedom
http://www.dolarcotizacionhoy.com.ar/dolar-permuta/,FEXP,Free expression and media freedom
http://www.dollar.nu,FEXP,Free expression and media freedom
http://www.dollar.nu/paralelo.php,FEXP,Free expression and media freedom
http://www.dollarparalelovenezuela.com,FEXP,Free expression and media freedom
http://www.ecoportal.net,ENV,Environment
http://www.el-nacional.com/www/site/,FEXP,Free expression and media freedom
http://www.elchiguirebipolar.com,POLR,Political reform
http://www.elhacker.org,HACK,Hacking
http://www.elluchador.net,FEXP,Free expression and media freedom
http://www.elsiglo.com.ve,FEXP,Free expression and media freedom
http://www.eltiempo.com.ve,FEXP,Free expression and media freedom
http://www.eluniversal.com/index.shtml,FEXP,Free expression and media freedom
http://www.embarazada.com/default.asp?EmbCountry=Venezuela,XED,Sex education and family planning
http://www.entrerayas.com,FEXP,Free expression and media freedom
http://www.eraecologica.org,ENV,Environment
http://www.escritores.org/index.php,FEXP,Free expression and media freedom
http://www.fedecamaras.org.ve,DEV,Development
http://www.feminicidio.cl,WOMR,Women's rights
http://www.fncancer.org.ve/site/p_contenido.php?id=,HUMR,Human rights
http://www.fondoindigena.org,MINR,Minority rights and ethnic content
http://www.foros.com.ve,GRP,Groups and social networking
http://www.freerctv.com,FEXP,Free expression and media freedom
http://www.freevenezuela.org,POLR,Political reform
http://www.frentepatriotico.com,POLR,Political reform
http://www.fukgamez.com,GAME,Gaming
http://www.fundacionculturaurbana.org,MISC,Miscellaneous
http://www.fundacionreflejosdevenezuela.com,GAYL,Gay-lesbian
http://www.fundamujer.org.ve,WOMR,Women's rights
http://www.fundepro.com.ve,HUMR,Human rights
http://www.futuropresente.com.ve,HUMR,Human rights
http://www.globovision.com/index.php,FEXP,Free expression and media freedom
http://www.gumilla.org,FEXP,Free expression and media freedom
http://www.hack-box.info,HACK,Hacking
http://www.hackemate.com.ar,HACK,Hacking
http://www.hispabyte.net/index.php,HACK,Hacking
http://www.humanrightsfoundation.org,HUMR,Human rights
http://www.iglesia.net,REL,"Religious conversion, commentary and criticism"
http://www.iglesiasobrelaroca.org,MINF,Minority faiths
http://www.indigenacampesino.org,MINR,Minority rights and ethnic content
http://www.infociudadano.com,FEXP,Free expression and media freedom
http://www.ipys.org.ve,FEXP,Free expression and media freedom
http://www.isis.cl,WOMR,Women's rights
http://www.jotaceve.org,POLT,Political transformation
http://www.juventudcatolica.org/jovenesguatemala.htm,REL,"Religious conversion, commentary and criticism"
http://www.lafuerzajoven.com,POLR,Political reform
http://www.lapatilla.com,FEXP,Free expression and media freedom
http://www.lapatriagrande.net,FEXP,Free expression and media freedom
http://www.latinamericanstudies.org/guatemala-rev.htm,MILX,"Militants, extremists and separatists"
http://www.latinascontracancer.org,PUBH,Public health
http://www.magazinedelpan.com,FEXP,Free expression and media freedom
http://www.manosfueradevenezuela.org,POLT,Political transformation
http://www.marthacolmenares.com,FEXP,Free expression and media freedom
http://www.mujereshoy.com,WOMR,Women's rights
http://www.nmidigital.com,FEXP,Free expression and media freedom
http://www.nodo50.org/tortuga/,MILX,"Militants, extremists and separatists"
http://www.noticiacristiana.com/news/portada.php,REL,"Religious conversion, commentary and criticism"
http://www.noticias24.com,FEXP,Free expression and media freedom
http://www.noticierodigital.com,FEXP,Free expression and media freedom
http://www.nuevaprensa.com.ve,FEXP,Free expression and media freedom
http://www.orinoco.org/apg/loindex.asp?lang=es,MINR,Minority rights and ethnic content
http://www.ovprisiones.org,HUMR,Human rights
