url,category_code,category_description
http://anonym.to,ANON,Anonymizers and circumvention
http://armbeans.info/smiley.jpg,PORN,Pornography
http://bloodmirror.info/smiley.jpg,PORN,Pornography
http://bluegrape.info,ANON,Anonymizers and circumvention
http://brokenpie.com,ANON,Anonymizers and circumvention
http://callname.info,ANON,Anonymizers and circumvention
http://carpocket.info/smiley.jpg,PORN,Pornography
http://clubtanker.com,ANON,Anonymizers and circumvention
http://coppernose.pw,ANON,Anonymizers and circumvention
http://denypagetests.netsweeper.com/category/catno/23,FEXP,Free expression and media freedom
http://denypagetests.netsweeper.com/category/catno/32,FEXP,Free expression and media freedom
http://dogfixer.info/smiley.jpg,PORN,Pornography
http://earthlight.pw,ANON,Anonymizers and circumvention
http://fernjuice.info/smiley.jpg,PORN,Pornography
http://firebunny.info,ANON,Anonymizers and circumvention
http://fourskies.com,ANON,Anonymizers and circumvention
http://friedmice.info/smiley.jpg,PORN,Pornography
http://frogblaze.com,ANON,Anonymizers and circumvention
http://goldface.pw,ANON,Anonymizers and circumvention
http://gravehead.info/smiley.jpg,PORN,Pornography
http://hidemyass.com,ANON,Anonymizers and circumvention
http://hustler.com,PORN,Pornography
http://moonguard.pw,ANON,Anonymizers and circumvention
http://moonwheel.info,ANON,Anonymizers and circumvention
http://pigfork.info,ANON,Anonymizers and circumvention
http://pizzasmasher.com,ANON,Anonymizers and circumvention
http://playboy.com,PORN,Pornography
http://rhr.org.il/eng/,HUMR,Human rights
http://rockbuzzer.com,ANON,Anonymizers and circumvention
http://silvereye.pw,ANON,Anonymizers and circumvention
http://snapcool.info/smiley.jpg,PORN,Pornography
http://spoonshow.info/smiley.jpg,PORN,Pornography
http://starmilk.info/smiley.jpg,PORN,Pornography
http://sunfrog.pw,ANON,Anonymizers and circumvention
http://treebrain.info,ANON,Anonymizers and circumvention
http://wallclock.pw,ANON,Anonymizers and circumvention
http://www.galilcol.ac.il,MISC,Miscellaneous
http://www.isa.gov.il,MISC,Miscellaneous
http://www.mod.gov.il,FREL,Foreign relations and military
http://www.mossad.gov.il/default.aspx,FREL,Foreign relations and military
http://www.mousematrix.com,ANON,Anonymizers and circumvention
http://www.nbn.org.il,HUMR,Human rights
http://www.tase.co.il/eng/pages/homepage.aspx,COMM,E-commerce
https://www.corkmass.com/bottle/,ANON,Anonymizers and circumvention
https://www.crabguard.com/sky/,ANON,Anonymizers and circumvention
https://www.gravepaper.com/pencil/,ANON,Anonymizers and circumvention
https://www.jellyclimb.com/fish/,ANON,Anonymizers and circumvention
https://www.jointglobe.com/rotate/,ANON,Anonymizers and circumvention
https://www.moonproof.com/crater/,ANON,Anonymizers and circumvention
https://www.mousematrix.com,ANON,Anonymizers and circumvention
https://www.tornface.com/nose/,ANON,Anonymizers and circumvention
https://www.treegrab.com/sap/,ANON,Anonymizers and circumvention
