url,category_code,category_description,date_added,source,notes
http://afghanistantimes.af/,NEWS,News Media,2017-08-18,OONI,
https://www.pajhwok.com/,NEWS,News Media,2017-08-18,OONI,
http://www.aopnews.com/,NEWS,News Media,2017-08-18,OONI,
http://www.khaama.com/,NEWS,News Media,2017-08-18,OONI,
http://afghana.com/Education/News.htm,NEWS,News Media,2017-08-18,OONI,
http://www.outlookafghanistan.net/,NEWS,News Media,2017-08-18,OONI,
http://www.benawa.com/,NEWS,News Media,2017-08-18,OONI,
http://www.kabulpress.org/,NEWS,News Media,2017-08-18,OONI,
http://www.dailyafghanistan.com/,NEWS,News Media,2017-08-18,OONI,
http://www.mandegardaily.com/,NEWS,News Media,2017-08-18,OONI,
http://www.afghanislamicpress.com/,NEWS,News Media,2017-08-18,OONI,
http://theafghanistanexpress.com/,NEWS,News Media,2017-08-18,OONI,
http://www.dailyweesa.com/,NEWS,News Media,2017-08-18,OONI,
http://www.eqmweekly.com.af/,NEWS,News Media,2017-08-18,OONI,
http://8am.af/,NEWS,News Media,2017-08-18,OONI,
http://larawbar.net/,NEWS,News Media,2017-08-18,OONI,
http://www.sabawoon.com/,NEWS,News Media,2017-08-18,OONI,
http://www.tatobaynews.com/,NEWS,News Media,2017-08-18,OONI,
http://www.taand.com/,NEWS,News Media,2017-08-18,OONI,
http://www.tolafghan.com/,NEWS,News Media,2017-08-18,OONI,
http://wadsam.com/,NEWS,News Media,2017-08-18,OONI,
http://www.ansardaily.com/,NEWS,News Media,2017-08-18,OONI,
http://www.etilaatroz.com/,NEWS,News Media,2017-08-18,OONI,
http://www.afghanews.ir/,NEWS,News Media,2017-08-18,OONI,
http://www.afghanpaper.com/,NEWS,News Media,2017-08-18,OONI,
http://www.ariananet.com/,NEWS,News Media,2017-08-18,OONI,
http://www.bakhtarnews.com.af/,NEWS,News Media,2017-08-18,OONI,
http://afghantv.af/,NEWS,News Media,2017-08-18,OONI,
http://www.armanemili.com/,NEWS,News Media,2017-08-18,OONI,
http://www.avapress.com/en/,NEWS,News Media,2017-08-18,OONI,
http://www.afghanistansun.com/,NEWS,News Media,2017-08-18,OONI,
http://www.salamwatandar.com/,NEWS,News Media,2017-08-18,OONI,
http://www.shamshadtv.tv/pashto/,NEWS,News Media,2017-08-18,OONI,
http://www.lemar.tv/,NEWS,News Media,2017-08-18,OONI,
http://www.bbc.com/pashto,NEWS,News Media,2017-08-18,OONI,
http://www.elonat.com/,NEWS,News Media,2017-08-18,OONI,
https://www.hrw.org/asia/afghanistan,HUMR,Human Rights Issues,2017-08-18,OONI,
https://www.amnesty.org/en/countries/asia-and-the-pacific/afghanistan/report-afghanistan/,HUMR,Human Rights Issues,2017-08-18,OONI,
https://unama.unmissions.org/human-rights,HUMR,Human Rights Issues,2017-08-18,OONI,
http://ahrdo.org/,HUMR,Human Rights Issues,2017-08-18,OONI,
http://www.afghanistanhumanrights.org/,HUMR,Human Rights Issues,2017-08-18,OONI,
http://www.cshrn.af/,HUMR,Human Rights Issues,2017-08-18,OONI,
http://www.afghana.com/,SRCH,Search Engines,2017-08-18,OONI,
http://www.afghanadvocacy.org.af/,HUMR,Human Rights Issues,2017-08-18,OONI,
http://www.aihrc.org.af/,HUMR,Human Rights Issues,2017-08-18,OONI,
http://afghanistan-un.org/2016/10/promotion-and-protection-of-human-rights/,HUMR,Human Rights Issues,2017-08-18,OONI,
http://www.afghanistans.com/Information/Environmental.htm,ENV,Environment,2017-08-18,OONI,
http://www.acbar.org/,HUMR,Human Rights Issues,2017-08-18,OONI,
http://www.aparat.com/,MMED,Media sharing,2017-08-18,OONI,
http://www.tolonews.com/,NEWS,News Media,2017-08-18,OONI,
http://afghanradio.com/,NEWS,News Media,2017-08-18,OONI,
http://azadbazar.com/,COMM,E-commerce,2017-08-18,OONI,
http://jobs.af/,COMM,E-commerce,2017-08-18,OONI,
http://amtaa.com/,COMM,E-commerce,2017-08-18,OONI,
http://afghan-web.com/,SRCH,Search Engines,2017-08-18,OONI,
https://kabuljan.af/,GRP,Social Networking,2017-08-18,OONI,
http://www.afghan123.com/,CULTR,Culture,2017-08-18,OONI,
https://www.clip.af/,MMED,Media sharing,2017-08-18,OONI,
http://virtualafghans.com/,CULTR,Culture,2017-08-18,OONI,
http://1tv.af/,NEWS,News Media,2017-08-18,OONI,
http://1tvnews.af/,NEWS,News Media,2017-08-18,OONI,
https://paywast.af/,GRP,Social Networking,2017-08-18,OONI,
