url,category_code,category_description,date_added,source,notes
http:// www.payqar.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://a1plus.wordpress.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://adl.hayway.org,POLR,Political reform,2014-04-15,citizenlab,
http://ap.rau.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ara-ashjian.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://aramazd.livejournal.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://azad-hye.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://beeline.am,COMM,E-commerce,2014-04-15,citizenlab,
http://civilnet.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ditord.wordpress.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://epress.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://foi.am/en/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://gayarmenia.aglany.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://gayarmenia.blogspot.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://genats-lehayim.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://hhk.am,POLR,Political reform,2014-04-15,citizenlab,
http://iararat.wordpress.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://kornelij.livejournal.com/tag/blog,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://lragir.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://markgrigorian.livejournal.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://panarmenian.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://pigh.livejournal.com,HATE,Hate speech,2014-04-15,citizenlab,
http://pinkarmenia.blogspot.com,HUMR,Human rights,2014-04-15,citizenlab,
http://qbhima.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://queeringyerevan.blogspot.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://reporter.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://stopxenophobia.org,HUMR,Human rights,2014-04-15,citizenlab,
http://times.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://torrents.gisher.ru,P2P,Peer-to-peer computing,2014-04-15,citizenlab,
http://trans-armenia.blogspot.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://unzipped.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://webtv.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.168.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.1in.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.7or.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.a1plus.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.aaainc.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.adc.am,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.aiprg.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.amiab.am,POLT,Political transformation,2014-04-15,citizenlab,
http://www.anc.am/en/,POLT,Political transformation,2014-04-15,citizenlab,
http://www.anca.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.aravot.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.arf.am,POLR,Political reform,2014-04-15,citizenlab,
http://www.arfd.am,POLR,Political reform,2014-04-15,citizenlab,
http://www.arfd.info,POLR,Political reform,2014-04-15,citizenlab,
http://www.arka.am/eng/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.armenialiberty.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.armenianow.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.armeniansingles.com,DATE,Dating,2014-04-15,citizenlab,
http://www.armeniapedia.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.arminco.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.arminfo.info,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.armtimes.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.armtoday.info,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.azadinform.az,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.azatutyun.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.azatutyun.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.azg.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.bhk.am,POLR,Political reform,2014-04-15,citizenlab,
http://www.bionet.am,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.chi.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.cilicia.com/armo_life-log.html,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.csi.am,HUMR,Human rights,2014-04-15,citizenlab,
http://www.day.az,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.fastnet.am,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.freenet.am,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.galasla.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.givemeinfo.am/en/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.gnc.am,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.hayary.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.hayastan.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.haytube.com,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://www.health.am,XED,Sex education and family planning,2014-04-15,citizenlab,
http://www.heritage.am,POLT,Political transformation,2014-04-15,citizenlab,
http://www.hetq.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.hra.am,HUMR,Human rights,2014-04-15,citizenlab,
http://www.hraparak.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.hunchak.org.au,POLR,Political reform,2014-04-15,citizenlab,
http://www.hyesingles.com,DATE,Dating,2014-04-15,citizenlab,
http://www.jewish.am,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.jnews.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.levonpresident.am,POLT,Political transformation,2014-04-15,citizenlab,
http://www.lragir.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.media.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.miacum.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.netsys.am,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.news.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.newsazerbaijan.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.nikolpashinyan.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.nt.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.oek.am/official/,POLR,Political reform,2014-04-15,citizenlab,
http://www.oneworld.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.panorama.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.payqar.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.persons.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.religions.am/eng/,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.rferl.org/featuresarchive/country/armenia.html,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.tert.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ucom.am,VOIP,VOIP,2014-04-15,citizenlab,
http://www.ulp.am,POLR,Political reform,2014-04-15,citizenlab,
http://www.usaanc.com,POLT,Political transformation,2014-04-15,citizenlab,
http://www.vost.net,SRCH,Search engines,2014-04-15,citizenlab,
http://www.web.am,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.womenofarmenia.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.yeresbook.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.yerkirmedia.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.zerkalo.az,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.zlm.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://xocali.net,HUMR,Human rights,2014-04-15,citizenlab,
http://youtube.com/a1plusnews,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
