url,category_code,category_description,date_added,source,notes
https://www.makaangola.org/,NEWS,News Media,2017-08-23,OONI partner,
https://www.correioangolense.com/,NEWS,News Media,2017-08-23,OONI partner,
http://club-k.net/index.php?lang=pt,NEWS,News Media,2017-08-23,OONI partner,
http://www.novojornal.co.ao/,NEWS,News Media,2017-08-23,OONI partner,
https://centralangola7311.net/,NEWS,News Media,2017-08-23,OONI partner,
http://expansao.co.ao/,NEWS,News Media,2017-08-23,OONI partner,
http://www.omunga.org/,NEWS,News Media,2017-08-23,OONI partner,
http://jornaldeangola.sapo.ao/,NEWS,News Media,2017-08-23,OONI partner,
http://opais.co.ao/,NEWS,News Media,2017-08-23,OONI partner,
http://peroladasacacias.net/,NEWS,News Media,2017-08-23,OONI partner,
http://jikuangola.org/,NEWS,News Media,2017-08-23,OONI partner,
https://friendsofangola.org/,NEWS,News Media,2017-08-23,OONI partner,
http://quintasdedebate.blogspot.com/,NEWS,News Media,2017-08-23,OONI partner,
http://www.makaangola.org/,POLR,Political Criticism,2018-05-15,Community member,
https://pt.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://pt.wikibooks.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://pt.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://pt.wikinews.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://pt.wikiversity.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
