url,category_code,category_description,date_added,source,notes
http://acij.org.ar/,HUMR,Human Rights Issues,2017-07-04,ADC,
http://adc.org.ar/,HUMR,Human Rights Issues,2017-07-04,ADC,
https://adc.org.ar/,HUMR,Human Rights Issues,2018-09-17,OONI,
https://adcdigital.org.ar/,HUMR,Human Rights Issues,2017-07-04,ADC,
http://andhes.org.ar/,HUMR,Human Rights Issues,2017-07-04,ADC,
https://argentinachronicles.blogspot.com/,CULTR,Culture,2018-09-17,OONI,
https://blog.smaldone.com.ar/,POLR,Political Criticism,2017-07-04,ADC,
https://cambiemos.com/,POLR,Political Criticism,2018-09-17,OONI,
http://canalaonline.com/,NEWS,News Media,2017-07-04,ADC,
http://catolicas.org.ar/,HUMR,Human Rights Issues,2018-09-17,OONI,
http://ccmatienzo.com.ar/,CULTR,Culture,2017-07-04,ADC,
http://clarin.com.ar/,NEWS,News Media,2017-07-04,ADC,
http://comunicacionsocial.org.ar/,NEWS,News Media,2018-02-28,,
http://cosecharoja.org/,NEWS,News Media,2018-02-28,,
http://diarioelsol.com.ar/,NEWS,News Media,2017-07-04,ADC,
http://diarioelzondasj.com.ar/index.php,NEWS,News Media,2017-07-04,ADC,
http://diarioepoca.com/,NEWS,News Media,2017-07-04,ADC,
http://diariohoy.net/,NEWS,News Media,2017-07-04,ADC,
http://diariolaopinion.com.ar/,NEWS,News Media,2017-07-04,ADC,
http://edicionlimite.com.ar/,NEWS,News Media,2017-07-04,ADC,
http://eleco.com.ar/,NEWS,News Media,2017-07-04,ADC,
http://elsigloweb.com/,NEWS,News Media,2017-07-04,ADC,
https://es.wikibooks.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://es.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
http://farn.org.ar/,ENV,Environment,2017-07-04,ADC,
http://feim.org.ar/,HUMR,Human Rights Issues,2017-07-04,ADC,
http://fmlatribu.com/,NEWS,News Media,2017-07-04,ADC,
https://freedomhouse.org/report/freedom-net/2017/argentina,HUMR,Human Rights Issues,2018-09-17,OONI,
https://geekgaucho.blogspot.com/,HACK,Hacking Tools,2018-09-17,OONI,
http://grupofusa.org/,XED,Sex Education,2018-09-17,OONI,
http://guerrasdeinternet.com/blog/,POLR,Political Criticism,2017-07-04,ADC,
https://history-of-argentina.blogspot.com/2010/06/diaguita.html,CULTR,Culture,2018-09-17,OONI,
https://identidadydiversidad.adc.org.ar/,LGBT,LGBT,2018-09-17,OONI,
http://lanacion.com.ar/,NEWS,News Media,2017-07-04,ADC,
http://larevuelta.com.ar/,XED,Sex Education,2017-07-04,ADC,
https://latam.googleblog.com/,HOST,Hosting and Blogging Platforms,2018-09-17,OONI,
http://launion.com.ar/,NEWS,News Media,2017-07-04,ADC,
http://lavozdetandil.com.ar/,NEWS,News Media,2017-07-04,ADC,
https://leyderecho.org/,CULTR,Culture,2018-09-17,OONI,Free encyclopedia of law for Latin American countries
http://libresdelsur.org.ar/,POLR,Political Criticism,2018-09-17,OONI,
http://lmdiario.com.ar/,NEWS,News Media,2017-07-04,ADC,
http://madres.org/,HUMR,Human Rights Issues,2017-07-04,ADC,
https://mapucheit.wordpress.com/,HUMR,Human Rights Issues,2018-09-17,OONI,
https://martinbecerra.wordpress.com/,POLR,Political Criticism,2017-07-04,ADC,
https://minorityrights.org/minorities/mapuche-2/,HUMR,Human Rights Issues,2018-09-17,OONI,
http://misionesonline.net/,NEWS,News Media,2017-07-04,ADC,
http://movimientopopularfueguino.com.ar/,POLR,Political Criticism,2018-09-17,OONI,
http://mundoalbiceleste.com/,NEWS,News Media,2018-09-17,OONI,
http://musicaypropuestas.com.ar/,NEWS,News Media,2017-07-04,ADC,
