url,category_code,category_description,date_added,source,notes
http://cpasbien.cm,FILE,File-sharing,2017-03-02,CIPIT,
http://bujumbura.be,NEWS,News Media,2017-03-02,CIPIT,
http://wordpress.com,HOST,Hosting and Blogging Platforms,2017-03-02,CIPIT,
http://ask.com,SRCH,Search Engines,2017-03-02,CIPIT,
http://savefrom.net,FILE,File-sharing,2017-03-02,CIPIT,
http://intercontactservices.com,HUMR,Human Rights Issues,2017-03-02,CIPIT,
http://myway.com,SRCH,Search Engines,2017-03-02,CIPIT,
http://iwacu-burundi.org,POLR,Political Criticism,2017-03-02,CIPIT,
http://eachamps.rw,CULTR,Culture,2017-03-02,CIPIT,
http://rfi.fr,NEWS,News Media,2017-03-02,CIPIT,
http://live.com,COMT,Communication Tools,2017-03-02,CIPIT,
http://igihe.bi,NEWS,News Media,2017-03-02,CIPIT,
http://mbtrx.com,COMM,E-commerce,2017-03-02,CIPIT,
http://onclickads.net,COMM,E-commerce,2017-03-02,CIPIT,
http://alibaba.com,COMM,E-commerce,2017-03-02,CIPIT,
http://beforward.jp,COMM,E-commerce,2017-03-02,CIPIT,
http://commentcamarche.net,NEWS,News Media,2017-03-02,CIPIT,
http://google.bf,SRCH,Search Engines,2017-03-02,CIPIT,
http://microsoft.com,COMM,E-commerce,2017-03-02,CIPIT,
http://media-fire.org,MMED,Media sharing,2017-03-02,CIPIT,
http://linkedin.com,COMT,Communication Tools,2017-03-02,CIPIT,
http://iwanttodeliver.com,COMM,E-commerce,2017-03-02,CIPIT,
http://bujumburanewsblog.wordpress.com,HOST,Hosting and Blogging Platforms,2017-03-02,CIPIT,
http://softonic.com,COMM,E-commerce,2017-03-02,CIPIT,
http://uptodown.com,FILE,File-sharing,2017-03-02,CIPIT,
http://01net.com,HOST,Hosting and Blogging Platforms,2017-03-02,CIPIT,
http://lemonde.fr,NEWS,News Media,2017-03-02,CIPIT,
http://adpop-1.com,COMM,E-commerce,2017-03-02,CIPIT,
http://unicef.org,IGO,Intergovernmental Organizations,2017-03-02,CIPIT,
http://bujanews.wordpress.com,HOST,Hosting and Blogging Platforms,2017-03-02,CIPIT,
http://deturl.com,MMED,Media sharing,2017-03-02,CIPIT,
http://jeuneafrique.com,NEWS,News Media,2017-03-02,CIPIT,
http://reimageplus.com,COMM,E-commerce,2017-03-02,CIPIT,
http://easypdfcombine.com,FILE,File-sharing,2017-03-02,CIPIT,
http://reliefweb.int,ECON,Economics,2017-03-02,CIPIT,
http://stackoverflow.com,COMT,Communication Tools,2017-03-02,CIPIT,
http://free.fr,COMM,E-commerce,2017-03-02,CIPIT,
http://bing.com,SRCH,Search Engines,2017-03-02,CIPIT,
http://undp.org,IGO,Intergovernmental Organizations,2017-03-02,CIPIT,
http://igihe.com,NEWS,News Media,2017-03-02,CIPIT,
http://videostripe.com,MMED,Media sharing,2017-03-02,CIPIT,
http://ikiriho.org,NEWS,News Media,2017-03-02,CIPIT,
http://freelotto.com,GMB,Gambling,2017-03-02,CIPIT,
http://yaga-burundi.com,NEWS,News Media,2017-03-02,CIPIT,
http://t.co,GRP,Social Networking,2017-03-02,CIPIT,
http://aliexpress.com,COMM,E-commerce,2017-03-02,CIPIT,
http://openclassrooms.com,COMM,E-commerce,2017-03-02,CIPIT,
http://afrikmag.com,NEWS,News Media,2017-03-02,CIPIT,
http://camdolls.com,PORN,Pornography,2017-03-02,CIPIT,
http://adobe.com,COMM,E-commerce,2017-03-02,CIPIT,
http://clubic.com,HOST,Hosting and Blogging Platforms,2017-03-02,CIPIT,
http://doubleclick.net,COMM,E-commerce,2017-03-02,CIPIT,
http://akeza.net,NEWS,News Media,2017-03-02,CIPIT,
http://france24.com,NEWS,News Media,2017-03-02,CIPIT,
http://larousse.fr,CULTR,Culture,2017-03-02,CIPIT,
http://zapmeta.ws,SRCH,Search Engines,2017-03-02,CIPIT,
http://nametests.com,GAME,Gaming,2017-03-02,CIPIT,
http://taboola.com,COMM,E-commerce,2017-03-02,CIPIT,
http://doublepimp.com,COMM,E-commerce,2017-03-02,CIPIT,
http://fvs-amade.org,ECON,Economics,2017-03-02,CIPIT,
http://freepik.com,MMED,Media sharing,2017-03-02,CIPIT,
http://adf.ly,COMM,E-commerce,2017-03-02,CIPIT,
http://obr.bi,GOVT,Government,2017-03-02,CIPIT,
http://outbrain.com,COMM,E-commerce,2017-03-02,CIPIT,
http://unjobs.org,IGO,Intergovernmental Organizations,2017-03-02,CIPIT,
http://microsoftonline.com,COMT,Communication Tools,2017-03-02,CIPIT,
http://instagram.com,GRP,Social Networking,2017-03-02,CIPIT,
http://tukif.com,PORN,Pornography,2017-03-02,CIPIT,
http://cnn.com,NEWS,News Media,2017-03-02,CIPIT,
http://over-blog.com,HOST,Hosting and Blogging Platforms,2017-03-02,CIPIT,
http://webcrawler.com,SRCH,Search Engines,2017-03-02,CIPIT,
http://websearchne.ws,SRCH,Search Engines,2017-03-02,CIPIT,
http://reverso.net,CULTR,Culture,2017-03-02,CIPIT,
http://booking.com,COMM,E-commerce,2017-03-02,CIPIT,
http://telechargerunevideo.com,MMED,Media sharing,2017-03-02,CIPIT,
http://office.com,COMM,E-commerce,2017-03-02,CIPIT,
http://justporno.tv,PORN,Pornography,2017-03-02,CIPIT,
http://herokuapp.com,COMM,E-commerce,2017-03-02,CIPIT,
http://tradecarview.com,COMM,E-commerce,2017-03-02,CIPIT,
http://google.cd,SRCH,Search Engines,2017-03-02,CIPIT,
http://co.bi,NEWS,News Media,2017-03-02,CIPIT,
http://twoo.com,GRP,Social Networking,2017-03-02,CIPIT,
http://arib.info,NEWS,News Media,2017-03-02,CIPIT,
http://blkget.com,COMM,E-commerce,2017-03-02,CIPIT,
http://dw.com,NEWS,News Media,2017-03-02,CIPIT,
http://redtube.com,PORN,Pornography,2017-03-02,CIPIT,
http://pornodingue.com,PORN,Pornography,2017-03-02,CIPIT,
http://state.gov,GOVT,Government,2017-03-02,CIPIT,
http://tumblr.com,GRP,Social Networking,2017-03-02,CIPIT,
http://ifcmarkets.fr,COMM,E-commerce,2017-03-02,CIPIT,
http://offerreality.com,COMM,E-commerce,2017-03-02,CIPIT,
http://doctissimo.fr,CULTR,Culture,2017-03-02,CIPIT,
http://amazon.fr,COMM,E-commerce,2017-03-02,CIPIT,
http://realmotor.jp,COMM,E-commerce,2017-03-02,CIPIT,
http://who.int,PUBH,Public Health,2017-03-02,CIPIT,
http://livejasmin.com,PORN,Pornography,2017-03-02,CIPIT,
http://cnet.com,COMM,E-commerce,2017-03-02,CIPIT,
http://thebanque-pdf.com,CULTR,Culture,2017-03-02,CIPIT,
http://japanesevehicles.com,COMM,E-commerce,2017-03-02,CIPIT,
http://journaldesfemmes.com,CULTR,Culture,2017-03-02,CIPIT,
http://infomaniak.com,HOST,Hosting and Blogging Platforms,2017-03-02,CIPIT,
http://terraclicks.com,COMM,E-commerce,2017-03-02,CIPIT,
http://burundi24.wordpress.com,HOST,Hosting and Blogging Platforms,2017-03-02,CIPIT,
http://bongacams.com,PORN,Pornography,2017-03-02,CIPIT,
http://carused.jp,COMM,E-commerce,2017-03-02,CIPIT,
http://aljazeera.com,NEWS,News Media,2017-03-02,CIPIT,
http://jpnauction.com,COMM,E-commerce,2017-03-02,CIPIT,
http://jobinburundi.com,COMM,E-commerce,2017-03-02,CIPIT,
http://123rf.com,COMM,E-commerce,2017-03-02,CIPIT,
http://bitbucket.org,COMM,E-commerce,2017-03-02,CIPIT,
http://linternaute.com,NEWS,News Media,2017-03-02,CIPIT,
http://google.co.in,SRCH,Search Engines,2017-03-02,CIPIT,
http://un.org,IGO,Intergovernmental Organizations,2017-03-02,CIPIT,
http://sourceforge.net,SRCH,Search Engines,2017-03-02,CIPIT,
http://googleusercontent.com,SRCH,Search Engines,2017-03-02,CIPIT,
http://medianewpagesearch.com,SRCH,Search Engines,2017-03-02,CIPIT,
http://mediafire.com,FILE,File-sharing,2017-03-02,CIPIT,
http://santeplusmag.com,CULTR,Culture,2017-03-02,CIPIT,
http://bfmtv.com,NEWS,News Media,2017-03-02,CIPIT,
http://about.com,CULTR,Culture,2017-03-02,CIPIT,
http://agencebujanews.blogspot.be,HOST,Hosting and Blogging Platforms,2017-03-02,CIPIT,
http://sbtjapan.com,COMM,E-commerce,2017-03-02,CIPIT,
http://alison.com,FILE,File-sharing,2017-03-02,CIPIT,
http://lefigaro.fr,NEWS,News Media,2017-03-02,CIPIT,
http://searchalgo.com,SRCH,Search Engines,2017-03-02,CIPIT,
http://indundi.com,CULTR,Culture,2017-03-02,CIPIT,
http://spzan.com,COMM,E-commerce,2017-03-02,CIPIT,
http://ooreka.fr,FILE,File-sharing,2017-03-02,CIPIT,
