url,category_code,category_description,date_added,source,notes
http://allpasswords.com/,PORN,Pornography,2014-04-15,citizenlab,
http://cyber.law.harvard.edu/,NEWS,News Media,2014-04-15,citizenlab,
http://groups.msn.com/,GRP,Social Networking,2014-04-15,citizenlab,
https://en.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://pt.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
http://goldtv.biz/,FILE,File-sharing,2019-11-26,citizenlab,Court ordered blocking of this site
http://billing.goldtv.biz/,FILE,File-sharing,2019-11-26,citizenlab,Court ordered blocking of this site
http://www.edge.tm/,FILE,File-sharing,2019-11-26,citizenlab,Court ordered blocking of this site
http://www.goldtv.ca/,FILE,File-sharing,2019-11-26,citizenlab,Court ordered blocking of this site
http://beex.me/,FILE,File-sharing,2020-01-13,citizenlab,Court ordered blocking of this site
http://portal.beex.me/,FILE,File-sharing,2020-01-13,citizenlab,Court ordered blocking of this site
http://panel.beex.me/,FILE,File-sharing,2020-01-13,citizenlab,Court ordered blocking of this site
http://live4k.online/,FILE,File-sharing,2020-01-13,citizenlab,Court ordered blocking of this site
http://pctvhd.net/,FILE,File-sharing,2020-01-13,citizenlab,Court ordered blocking of this site
http://tulip.pctvhd.net/,FILE,File-sharing,2020-01-13,citizenlab,Court ordered blocking of this site
http://hitron.pctvhd.net/,FILE,File-sharing,2020-01-13,citizenlab,Court ordered blocking of this site
http://tv-hitron.pctvhd.net/,FILE,File-sharing,2020-01-13,citizenlab,Court ordered blocking of this site
