url,category_code,category_description,date_added,source,notes
https://desc-wondo.org/fr/author/wondo/,POLR,Political Criticism,2018-01-29,Rudi International,
https://vacradio.com,POLR,Political Criticism,2018-01-29,Rudi International,
https://www.radiookapi.net,NEWS,News Media,2018-01-29,Rudi International,
https://actualite.cd/,NEWS,News Media,2018-01-29,Rudi International,
http://www.politico.cd,POLR,Political Criticism,2018-01-29,Rudi International,
https://www.kongoconnect.com,GRP,Social Networking,2018-01-29,Rudi International,
https://www.hrw.org,HUMR,Human Rights Issues,2018-01-29,Rudi International,
http://cas-info.ca/rd-congo,NEWS,News Media,2018-01-29,Rudi International,
http://times.cd,NEWS,News Media,2018-01-29,Rudi International,
http://electionsrdcongo.com/,POLR,Political Criticism,2018-09-03,OONI,
https://fsddc243.wordpress.com/,HUMR,Human Rights Issues,2018-09-03,OONI,
http://www.aeta-network.org/,POLR,Political Criticism,2018-09-03,OONI,
https://ppi-ong.org/target-groups/environmental-right-defenders/,ENV,Environment,2018-09-03,OONI,
http://www.luchacongo.org/,POLR,Political Criticism,2018-08-15,OONI,
