url,category_code,category_description,date_added,source,notes
http://c9c.net/,ANON,Anonymization and circumvention tools,2017-03-05,Markus Ritzmann,
http://appel-au-peuple.org/,POLR,Political Criticism,2017-09-17,Markus Ritzmann,
http://freejustice.de/,POLR,Political Criticism,2017-09-17,Markus Ritzmann,
http://swiss-corruption.com/,POLR,Political Criticism,2017-09-17,Markus Ritzmann,
http://corruption2.com/,POLR,Political Criticism,2017-09-17,Markus Ritzmann,
https://fr.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://en.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://de.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://fr.wikisource.org/,CULTR,Culture,2019-06-07,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://fr.m.wikisource.org/,CULTR,Culture,2019-06-07,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
http://1bet.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://1xbet.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://22bet.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://bahigo.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://bet-at-home.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://bet365.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betclic.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betworld.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betworld1.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betworld2.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betworld3.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betworld4.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betworld5.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betworld6.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betworld7.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betworld8.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betworld9.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betworld10.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betworld11.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betworld12.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betworld13.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betworld14.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betworld15.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betworld16.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betworld17.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betworld18.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://betworld19.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://bsupporter.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://cashpoint.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://expekt.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://forzza.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://intertops.eu/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://interwetten.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://interwetten1.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://interwetten2.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://interwetten3.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://interwetten4.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://interwetten5.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://interwetten6.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://lsbet.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://mybet.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://pinnacle.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://siskobet.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://solobet.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://solobet1.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://solobet2.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://solobet3.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://sunmaker.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://thelotter.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://tipbet.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://tipwin.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://tipwin.de/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://tipxbet.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://topsport.lt/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://unibet.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://unikrn.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://uwin4u.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://wir-wetten.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://wirwetten.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://xbet-1.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
http://xbet-2.com/,GMB,Gambling,2019-09-13,Markus Ritzmann,Access has been blocked in accord-ance with Art. 86 et seq. of the Federal Act on Gambling and Art. 88 et seq. of the Gambling Ordinance
