url,category_code,category_description,date_added,source,notes
http://BitchX.Ru,NEWS,News Media,2014-04-15,citizenlab,
http://a-osipoff.livejournal.com,GOVT,Government,2014-04-15,citizenlab,
http://a-privalov.livejournal.com,GOVT,Government,2014-04-15,citizenlab,
http://a-sadov.livejournal.com,GOVT,Government,2014-04-15,citizenlab,
http://ags.demokratia.ru,POLR,Political Criticism,2014-04-15,citizenlab,
http://amnesty.org.ru,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://anaitiss.livejournal.com,GOVT,Government,2014-04-15,citizenlab,
http://anonymizer.report.ru,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://anonymizer.report.ru/_5FolderID_21226_.html,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://another-kashin.livejournal.com,GOVT,Government,2014-04-15,citizenlab,
http://antijob.mahost.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://arestant.msk.ru,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://artem.gayclub.ru,LGBT,LGBT,2014-04-15,citizenlab,
http://awvestnik.narod.ru,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://beon.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://blog.kp.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://blog.megaforum.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://blog.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://blogroll.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://blogs.gde.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://blogs.mail.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://blogs.privet.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://blogs.yandex.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://blogseo.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://bride.ru,DATE,Online Dating,2014-04-15,citizenlab,
http://buddhism.org.ru,REL,Religion,2014-04-15,citizenlab,
http://buddhist.ru,REL,Religion,2014-04-15,citizenlab,
http://buro-perevodov14.jino-net.ru,COMT,Communication Tools,2014-04-15,citizenlab,
