url,category_code,category_description,date_added,source,notes
http://www.emol.com/,NEWS,News Media,2016-08-05,OONI,Mainstream media
http://www.latercera.com/,NEWS,News Media,2016-08-05,OONI,Mainstream media
http://www.lasegunda.cl/,NEWS,News Media,2016-08-05,OONI,Mainstream media
http://www.lun.com/,NEWS,News Media,2016-08-05,OONI,Mainstream media
http://www.lacuarta.cl/,NEWS,News Media,2016-08-05,OONI,Mainstream media
http://www.lahora.cl/,NEWS,News Media,2016-08-05,OONI,
http://www.df.cl/,NEWS,News Media,2016-08-05,OONI,
http://www.estrategia.cl/,NEWS,News Media,2016-08-05,OONI,
https://www.hrw.org/americas/chile,HUMR,Human Rights Issues,2016-08-05,OONI,
https://derechosdigitales.org/,HUMR,Human Rights Issues,2016-08-05,OONI,
http://www.24horas.cl/,NEWS,News Media,2016-08-05,OONI,Mainstream media
https://www.terra.cl/,NEWS,News Media,2016-08-05,OONI,Mainstream media
http://soychile.cl/,NEWS,News Media,2016-08-05,OONI,
http://biobiochile.cl/,NEWS,News Media,2016-08-05,OONI,Mainstream media
http://www.cooperativa.cl/,NEWS,News Media,2016-08-05,OONI,
http://www.elmostrador.cl/,NEWS,News Media,2016-08-05,OONI,
http://www.t13.cl/,NEWS,News Media,2016-08-05,OONI,Mainstream media
http://www.adnradio.cl/,NEWS,News Media,2016-08-05,OONI,
http://elciudadano.cl/,NEWS,News Media,2016-08-05,OONI,
http://cnnchile.com/,NEWS,News Media,2016-08-05,OONI,Mainstream media
http://www.estrellaiquique.cl/,NEWS,News Media,2016-08-05,OONI,Regional media
http://www.estrellavalpo.cl/,NEWS,News Media,2016-08-05,OONI,Regional media
http://www.mapuche-nation.org/espanol/indice.htm/,NEWS,News Media,2016-08-05,OONI,
http://www.mapuche-nation.org/,NEWS,News Media,2016-08-05,OONI,
http://www.iwgia.org/,HUMR,Human Rights Issues,2016-08-05,OONI,
http://www.youtube.com/watch?v=RoHXUAah9tI,HUMR,Human Rights Issues,2016-08-05,OONI,
http://www.mapuexpress.net/,HUMR,Human Rights Issues,2016-08-05,OONI,
https://globalvoices.org/2010/03/10/chile-earthquake-reveals-social-inequalities/,HUMR,Human Rights Issues,2016-08-05,OONI,
http://creas.uahurtado.cl/html/index.html/,HUMR,Human Rights Issues,2016-08-05,OONI,
https://coyunturapolitica.wordpress.com/,POLR,Political Criticism,2016-08-05,OONI,
http://www.observatorio.cl/,HUMR,Human Rights Issues,2016-08-05,OONI,
http://blog.latercera.com/blog/pnavia/entry/da%C3%B1os_colaterales,POLR,Political Criticism,2016-08-05,OONI,Presents 403 Forbidden error
