url,category_code,category_description,date_added,source,notes
http://www.camer.be/,NEWS,News Media,2018-09-18,Community member,
http://www.cameroon-info.net/,NEWS,News Media,2018-09-18,Community member,
https://www.cameroononline.org/,NEWS,News Media,2018-09-18,OONI,
https://www.cameroonweb.com/,NEWS,News Media,2018-09-18,OONI,
https://www.journalducameroun.com/,NEWS,News Media,2018-09-18,OONI,
https://allafrica.com/cameroon/,NEWS,News Media,2018-09-18,OONI,
http://cameroon-concord.com/,NEWS,News Media,2018-09-18,OONI,
https://www.cameroon-tribune.cm/,NEWS,News Media,2018-09-18,OONI,
https://www.prc.cm/,GOVT,Government,2018-09-18,OONI,
https://www.afrik.com/,NEWS,News Media,2018-09-18,OONI,
https://www.237online.com/,NEWS,News Media,2018-09-18,OONI,
http://www.africapresse.com/,NEWS,News Media,2018-09-18,OONI,Connectivity issues
https://www.cameroun-online.com/,NEWS,News Media,2018-09-18,OONI,
http://www.lanouvelleexpression.info/,NEWS,News Media,2018-09-18,OONI,
http://news.cameroon-today.com/,NEWS,News Media,2018-09-18,OONI,
https://www.businessincameroon.com/,NEWS,News Media,2018-09-18,OONI,
http://bamendaonline.net/,NEWS,News Media,2018-09-18,OONI,
https://scbctv.com/,NEWS,News Media,2018-09-18,OONI,News from the Anglophone region
https://www.theguardian.com/world/cameroon,NEWS,News Media,2018-09-18,OONI,
https://www.aljazeera.com/topics/country/cameroon.html,NEWS,News Media,2018-09-18,OONI,
https://www.bbc.co.uk/news/world-africa-13146029,NEWS,News Media,2018-09-18,OONI,
http://www.cameroun24.net/,NEWS,News Media,2018-09-18,OONI,
https://actucameroun.com/,NEWS,News Media,2018-09-18,OONI,
https://www.lemonde.fr/cameroun/,NEWS,News Media,2018-09-18,OONI,
http://www.camerounlink.com/,SRCH,Search Engines,2018-09-18,OONI,
https://internetwithoutborders.org/,HUMR,Human Rights Issues,2018-09-18,OONI,
https://237actu.com/,NEWS,News Media,2018-09-18,OONI,
http://www.cameroonweekly.com/,NEWS,News Media,2018-09-18,OONI,
https://www.camfoot.com/,NEWS,News Media,2018-09-18,OONI,
http://www.humanisright.org/,HUMR,Human Rights Issues,2018-09-18,OONI,
https://www.hrw.org/africa/cameroon,HUMR,Human Rights Issues,2018-09-18,OONI,
https://cameroon.mivasocial.com/,GRP,Social Networking,2018-09-18,OONI,
http://www.bonaberi.com/,NEWS,News Media,2018-09-18,OONI,
http://www.crtv.cm/,NEWS,News Media,2018-09-18,OONI,
http://www.newsducamer.com/,NEWS,News Media,2018-09-18,OONI,
http://www.postwatchmagazine.com/,POLR,Political Criticism,2018-09-18,OONI,
http://germinalnewspaper.com/,NEWS,News Media,2018-09-18,OONI,
http://journal.rdpcpdm.cm/,NEWS,News Media,2018-09-18,OONI,
http://journaldikalo.info/,NEWS,News Media,2018-09-18,OONI,
http://www.leffortcamerounais.com/,NEWS,News Media,2018-09-18,OONI,
https://freedomhouse.org/report/freedom-press/2017/cameroon,HUMR,Human Rights Issues,2018-09-18,OONI,
https://www.bareta.news/,POLR,Political Criticism,2018-09-18,OONI,Pro-separatist site
http://www.cameroonintelligencereport.com/,NEWS,News Media,2018-09-18,OONI,
http://www.elecam.cm/,POLR,Political Criticism,2018-09-18,OONI,Election site
http://cdescameroon.org/,POLR,Political Criticism,2018-09-18,OONI,Election-related
https://cameroon-report.com/,NEWS,News Media,2018-09-18,OONI,
