url,category_code,category_description,date_added,source,notes
https://s3.amazonaws.com/0ubz-2q11-gi9y/en.html/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
https://s3.amazonaws.com/0ubz-2q11-gi9y/zh.html/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
https://trac.torproject.org/projects/tor/wiki/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://blog.sina.com.cn/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
https://www.hrichina.org/chs/zhong-guo-ren-quan-shuang-zhou-kan/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://tibetaction.net/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://twitter.com/chrdnet/,HUMR,Human Rights Issues,2014-04-15,citizenlab,for control purposes
https://twitter.com/weiquanwang/,HUMR,Human Rights Issues,2014-04-15,citizenlab,for control purposes
http://www.dalailamaworld.com/,REL,Religion,2014-04-15,citizenlab,
http://www.gyalwarinpoche.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.huaxiabao.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.renyurenquan.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,The website says it has been merged with https://www.hrichina.org/chs/zhong-guo-ren-quan-shuang-zhou-kan but the original website remains accessible
http://www.smhric.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://blogs.wsj.com/chinarealtime/,NEWS,News Media,2014-04-15,citizenlab,
http://cnpolitics.org/,NEWS,News Media,2014-04-15,citizenlab,
http://www.caixin.com/,NEWS,News Media,2014-04-15,citizenlab,
http://www.epochtimes.com/,NEWS,News Media,2014-04-15,citizenlab,
http://www.fccchina.org/,NEWS,News Media,2014-04-15,citizenlab,
http://www.infzm.com/,NEWS,News Media,2014-04-15,citizenlab,Liberal-leaning newspaper
http://www.minghui.org/,NEWS,News Media,2014-04-15,citizenlab,
http://www.phayul.com/,NEWS,News Media,2014-04-15,citizenlab,
http://www.tiananmenmother.org/,NEWS,News Media,2014-04-15,citizenlab,
http://renren.com/,GRP,Social Networking,2014-04-15,citizenlab,
http://www.kaixin001.com/,GRP,Social Networking,2014-04-15,citizenlab,
http://www.qq.com/,GRP,Social Networking,2014-04-15,citizenlab,
http://www.tianya.cn/,GRP,Social Networking,2014-04-15,citizenlab,
https://thediplomat.com/,NEWS,News Media,2014-04-15,citizenlab,
https://www.fordfoundation.org/our-work-around-the-world/china/,IGO,Intergovernmental Organizations,2014-04-15,citizenlab,
https://chinadigitaltimes.net/chinese/,NEWS,News Media,2014-04-15,citizenlab,
https://globalnetworkinitiative.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,promoting freedom of expression
https://www.upi.com/Top_News/World-News/2012/11/04/Japan-PM-seeks-calm-talks-over-islands/94291352050130/,NEWS,News Media,2014-04-15,citizenlab,
https://chinalawandpolicy.com/,POLR,Political Criticism,2014-04-15,citizenlab,
https://project2049.net/,POLR,Political Criticism,2014-04-15,citizenlab,
https://www.americanprogress.org/,POLR,Political Criticism,2014-04-15,citizenlab,
https://www.americanprogress.org/issues/security/view/,POLR,Political Criticism,2014-04-15,citizenlab,
https://www.americanprogress.org/tag/china-leadership-transition/view/,POLR,Political Criticism,2014-04-15,citizenlab,
https://www.brookings.edu/center/john-l-thornton-china-center/,POLR,Political Criticism,2014-04-15,citizenlab,
https://www.foreignaffairs.com/regions/asia/,POLR,Political Criticism,2014-04-15,citizenlab,
https://www.falundafa.org/,REL,Religion,2014-04-15,citizenlab,
https://gb.falundafa.org/,REL,Religion,2014-04-15,citizenlab,
https://twitter.com/aiww/,HUMR,Human Rights Issues,2014-04-15,citizenlab,for control purposes
