url,category_code,category_description,date_added,source,notes
https://cs.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://sk.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://cs.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://en.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
http://betworld9.com/,GMB,Gambling,2018-09-04,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://betworld10.com/,GMB,Gambling,2018-09-04,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://betworld2.com/,GMB,Gambling,2018-09-04,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://betworld3.com/,GMB,Gambling,2018-09-04,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://betworld4.com/,GMB,Gambling,2018-09-04,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://betworld1.com/,GMB,Gambling,2018-09-04,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://betworld5.com/,GMB,Gambling,2018-09-04,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://betworld6.com/,GMB,Gambling,2018-09-04,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://betworld7.com/,GMB,Gambling,2018-09-04,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://betworld8.com/,GMB,Gambling,2018-09-04,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://xbet-1.com/,GMB,Gambling,2018-08-09,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet8.com/,GMB,Gambling,2018-08-09,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbetbk13.com/,GMB,Gambling,2018-08-09,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1x-02.com/,GMB,Gambling,2018-08-09,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbetbk6.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet7.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet107.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet108.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet109.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet110.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1-x-bet.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1x-bet.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet4.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet6.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet9.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet3.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet13.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet12.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet26.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet27.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet49.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet32.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet34.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet35.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet36.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet37.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet38.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet50.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet39.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet40.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet41.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet42.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet43.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet45.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet46.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet47.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet48.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
http://1xbet51.com/,GMB,Gambling,2018-02-15,@ja-pa,Blocked by Ministry of Finance of the Czech Republic
