url,category_code,category_description,date_added,source,notes
https://kinox.to/,MMED,Media sharing,2018-02-26,Anonymous,EuGH
https://tr.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://de.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://de.m.wikipedia.org/,CULTR,Culture,2019-02-19,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://s.to/,MMED,Media sharing,2019-04-25,Anonymous,Blocked URL
https://bs.to/,MMED,Media sharing,2019-04-25,Anonymous,Blocked URL
https://boerse.to/,MMED,Media sharing,2019-04-25,Anonymous,Blocked URL
https://gen.lib.rus.ec/,CULTR,Culture,2019-04-25,Anonymous,Blocked URL
https://pr0gramm.com/,GRP,Social Networking,2019-05-08,Community member,Controversial german imageboard
https://verbot-aufheben.de/,POLR,Political Criticism,2021-11-17,,Website of a campaign to end the prosecution of the PKK through the german state
https://civaka-azad.org/,HUMR,Human Rights Issues,2021-11-17,,Providing news and background information about the suppression of kurdish people
https://anfdeutsch.com/,NEWS,News Media,2021-11-17,,kurdish news agency publishing in german language
https://systemli.org/,HOST,Hosting and Blogging Platforms,2021-11-18,,Non-commercial provider of privacy friendly communication
https://nadir.org/,HOST,Hosting and Blogging Platforms,2021-11-18,,"A publications platform, a communication network and an information system"
https://blackblogs.org/,HOST,Hosting and Blogging Platforms,2021-11-18,,"Non-commercial, antifascist, antisexist, antiracist, privacy-oriented blog platform for radical activists"
https://de.indymedia.org/,POLR,Political Criticism,2021-11-18,,"Independent, non-commercial media network"
https://netzpolitik.org/,NEWS,News Media,2021-11-20,,media for digital freedoms and rights
http://luetzerathlebt.info/,ENV,Environment,2021-11-20,,a village in the Rhineland region fighting against being destroyed for brown coal mining
https://www.nd-aktuell.de/,NEWS,News Media,2021-11-20,,socialist german newspaper
https://www.jungewelt.de/,NEWS,News Media,2021-11-20,,left and marxist german newspaper
https://www.der-postillon.com/,CULTR,Culture,2021-11-20,,parody news organization
https://www.free.de/,HOST,Hosting and Blogging Platforms,2021-11-20,,association providing free and uncensored communication services
https://so36.net/,HOST,Hosting and Blogging Platforms,2021-11-20,,providing volunteer-run self-hosted digital infrastructure
https://linksunten.indymedia.org/,POLR,Political Criticism,2021-11-20,,archive of the banned leftist media website linksunten indymedia
https://blog.fefe.de/,POLR,Political Criticism,2021-11-20,,watchblog focused on IT security and nerd subjects
http://www.mate1.com/,DATE,Online Dating,2022-02-16,citizenlab,
https://de.xhamster.com/,PORN,Pornography,2022-04-19,Kommission für Jugendmedienschutz,
https://francais.rt.com/,NEWS,News Media,2023-04-20,OONI,blocked russian media
https://de.rt.com/,NEWS,News Media,2023-04-20,OONI,blocked russian media
https://actualidad.rt.com/,NEWS,News Media,2023-04-20,OONI,blocked russian media
https://a-russia.ru/,NEWS,News Media,2023-04-20,OONI,
https://www.coolstreaming.us/,MMED,Media sharing,2023-04-20,OONI,
https://rtde.site/,NEWS,News Media,2023-04-20,OONI,mirror of de.rt.com
https://esrt.online/,NEWS,News Media,2023-04-20,OONI,mirror of actualidad.rt.com
https://snanews.de/,NEWS,News Media,2023-04-24,test-lists.ooni.org contribution,
https://smjg.org/,XED,Sex Education,2023-05-05,test-lists.ooni.org contribution,"Sex Education with focus on BDSM, Consent, and Safety"
