url,category_code,category_description,date_added,source,notes
http://gateway.ipfs.io/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://www.referendum.party/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://www.referendum.soy/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://alerta.cat/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://referendum.pau.fm/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://nigeon.github.io/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://www.ref1oct.eu/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://www.ref1oct.cat/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://referendum.zalo.nyc/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://aniol.github.io/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://referendum.cat/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://ref1oct.cat/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://www.marianorajoy.cat/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://garantiespelreferendum.com/,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
https://eu.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://gl.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://tsunamidemocratic.cat/,POLR,Political Criticism,2019-10-21,user contribution,Protests in Catalonia against jail sentence for governing politicians during referendum
https://app.tsunamidemocratic.cat/,POLR,Political Criticism,2019-10-21,user contribution,Protests in Catalonia against jail sentence for governing politicians during referendum
https://tsunamidemocratic.net/,POLR,Political Criticism,2019-10-21,user contribution,Protests in Catalonia against jail sentence for governing politicians during referendum
https://tsunamidemocratic.com/,POLR,Political Criticism,2019-10-21,user contribution,Protests in Catalonia against jail sentence for governing politicians during referendum
https://tsunamidemocratic.github.io/,POLR,Political Criticism,2019-10-21,user contribution,Protests in Catalonia against jail sentence for governing politicians during referendum
https://democratictsunami.eu/,POLR,Political Criticism,2019-10-21,user contribution,Protests in Catalonia against jail sentence for governing politicians during referendum
https://lesbicanarias.es/,LGBT,LGBT,2019-11-18,OutRight International,
http://www.elitegoles.com/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
http://elitegoltv.me/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
http://veopartidos.online/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
http://www.elitegol.tv/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
http://www.elitegoltv.org/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
http://www.elitegol.global/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
http://redstreamsport.online/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
https://www.pirlotvhd.online/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
http://www.pirlotvhd.net/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
http://www.pirlotv.es/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
http://www.pirlotvonline.net/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
http://futbolpirlotv.net/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
http://www.intergoles.me/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
http://www.intergoles.net/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
http://www.mamahd.org/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
http://www.rojadirectaenvivo.es/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
http://iptvesp.eu/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
http://www.sansat.net:25461/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
http://iptvtool.es:9977/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
http://landiptv.live:8080/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
http://movspain.com:25461/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
http://c14.xtra7.gq:26659/,FILE,File-sharing,2020-02-23,User contribution,Sport streaming sites block. Initiative of TELEFONICA AUDIOVISUAL DIGITAL SL.
https://www.todocvcd.com/,FILE,File-sharing,2020-04-03,User contribution,Just found one unlisted blocked site.
https://www.todocvcd.co/,FILE,File-sharing,2020-04-03,User contribution,Just found one unlisted blocked site.
https://comoabortar.org/,XED,Sex Education,2020-05-20,OONI,Reportedly blocked
