url,category_code,category_description,date_added,source,notes
mujahida89.wordpress.com,HATE,Hate speech,2016-10-13,Citizen Lab, radical islamism website
thepiratebay.org,P2P,Peer-to-peer file sharing,2016-10-13,Citizen Lab,
wearechange.org,POLT,Political transformation,2016-10-13,Citizen Lab,
is0lamanation.blogspot.fr,HATE,Hate speech,2016-10-13,Citizen Lab, radical islamism website
alhayatmedia.wordpress.com,HATE,Hate speech,2016-10-13,Citizen Lab, radical islamism website
t411.me,P2P,Peer-to-peer file sharing,2016-10-13,Citizen Lab,
t411.to,P2P,Peer-to-peer file sharing,2016-10-13,Citizen Lab,
copwatch.fr.over-blog.com,MILX,Militants,2016-10-13,Citizen Lab,
www.copwatch.org,MILX,Militants,2016-10-13,Citizen Lab,
copwatchnord-idf.org,MILX,Militants,2016-10-13,Citizen Lab,
www.bet365.com,GMB,Gambling,2016-10-13,Citizen Lab,


