url,category_code,category_description,date_added,source,notes
http://blogs.lexpress.fr/nomades-express/2009/08/gabon-lettre-a-madame-le-minis.php,POLR,Political Criticism,2016-09-30,OONI,
https://fngabon.blogspot.com/2014/07/le-verbe-de-ngomo-sauvagement-poignarde.html,POLR,Political Criticism,2016-09-30,OONI,
https://fr-fr.facebook.com/LeVdeNGOMO,POLR,Political Criticism,2016-09-30,OONI,
https://freedomhouse.org/report/freedom-press/2015/gabon,HUMR,Human Rights Issues,2016-09-30,OONI,
https://freedomhouse.org/report/freedom-world/2014/gabon,HUMR,Human Rights Issues,2016-09-30,OONI,
http://gaboneco.com/,NEWS,News Media,2016-09-30,OONI,
http://gabonews.com/,NEWS,News Media,2016-09-30,OONI,
http://gabonreview.com/,NEWS,News Media,2016-09-30,OONI,
http://ilga.org/,LGBT,LGBT,2016-09-30,OONI,
http://ipi9.com/main/index.php,COMM,E-commerce,2016-09-30,OONI,
http://journallaloupe.canalblog.com/,POLR,Political Criticism,2016-09-30,OONI,
http://mediashift.org/2016/09/netizen-report-gabons-internet-shutdown-activists-confront-challenges-circumventing-censorship/,HUMR,Human Rights Issues,2016-09-30,OONI,
http://mgafrica.com/article/2016-09-19-gabon-polls-and-violent-aftermath-reveal-a-flawed-electoral-system,POLR,Political Criticism,2016-09-30,OONI,
http://mingle2.com/online-dating/west-coast/african/gay-personals,LGBT,LGBT,2016-09-30,OONI,
http://qz.com/781752/gabon-has-been-imposing-a-12-hour-a-day-internet-curfew-as-its-political-crisis-grows/,HUMR,Human Rights Issues,2016-09-30,OONI,
https://rsf.org/en/news/rsf-responds-gabonese-government-spokesmans-criticism,POLR,Political Criticism,2016-09-30,OONI,
http://seeg-gabon.com/,COMM,E-commerce,2016-09-30,OONI,
http://timesgabon.com/,NEWS,News Media,2016-09-30,OONI,
https://wrmbulletin.wordpress.com/2008/08/25/the-problems-faced-by-gabons-forests-and-the-communities-that-depend-on-them-a-menu-of-logging-dams-oil-mining-parks-railways-roads-ports/,ENV,Environment,2016-09-30,OONI,
http://www.africa24tv.com,NEWS,News Media,2016-09-30,OONI,
http://www.africanews.com/2016/09/29/gabon-bongo-invites-icc-to-probe-post-election-violence/,POLR,Political Criticism,2016-09-30,OONI,
http://www.alturi.org/gabon,LGBT,LGBT,2016-09-30,OONI,
https://www.amnestyusa.org/our-work/countries/africa/gabon,HUMR,Human Rights Issues,2016-09-30,OONI,
http://www.bbc.com/news/world-africa-37252778,POLR,Political Criticism,2016-09-30,OONI,
