url,category_code,category_description,date_added,source,notes
http://abhazia-sochi.blogspot.com,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://cluborlov.com/apsny/,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://cominf.org,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://community-dpr.org,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://cyxymu.livejournal.com/280294.html,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://data.electionportal.ge,POLR,Political Criticism,2014-04-15,citizenlab,
http://eng.kavkaz-uzel.ru,GOVT,Government,2014-04-15,citizenlab,
http://forum.ge,POLR,Political Criticism,2014-04-15,citizenlab,
http://forum.ge/?showforum=29,POLR,Political Criticism,2014-04-15,citizenlab,
http://gaytbilisi.com,LGBT,LGBT,2014-04-15,citizenlab,
http://gazeta.ru,NEWS,News Media,2014-04-15,citizenlab,
http://ick.ge,NEWS,News Media,2014-04-15,citizenlab,
http://identoba.ge,LGBT,LGBT,2014-04-15,citizenlab,
http://info9.ge,NEWS,News Media,2014-04-15,citizenlab,
http://lenta.ru,NEWS,News Media,2014-04-15,citizenlab,
http://lgbt.ge,LGBT,LGBT,2014-04-15,citizenlab,
http://loveplanet.ru,DATE,Online Dating,2014-04-15,citizenlab,
http://maestro.ge,NEWS,News Media,2014-04-15,citizenlab,
http://mamuli.net/portal/ge/forum/forum_topics.asp?FID=70,POLR,Political Criticism,2014-04-15,citizenlab,
http://netgazeti.ge,NEWS,News Media,2014-04-15,citizenlab,
http://odnoklassniki.ru,NEWS,News Media,2014-04-15,citizenlab,
http://osgenocide.ru,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://osinform.ru,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://palitratv.ge,NEWS,News Media,2014-04-15,citizenlab,
http://pirweli.com.ge,NEWS,News Media,2014-04-15,citizenlab,
http://presa.ge,NEWS,News Media,2014-04-15,citizenlab,
http://rustavi2.ge,NEWS,News Media,2014-04-15,citizenlab,
http://saakant-bichi.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
http://solomonternaleli.wordpress.com,NEWS,News Media,2014-04-15,citizenlab,
http://southosetia.euro.ru,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://thewayofgeorgia.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://tribuna.ge,NEWS,News Media,2014-04-15,citizenlab,
http://tv9.ge,NEWS,News Media,2014-04-15,citizenlab,
http://twitter.com/b_ivanishvili,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.abkhazeti.ru,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://www.abkhazia.dot.ge,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://www.abkhazia.org,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://www.abkhaziagov.org,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://www.abkhaziya.org,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://www.apsny.ge,NEWS,News Media,2014-04-15,citizenlab,
http://www.apsnypress.info,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://www.avoe.ge,FILE,File-sharing,2014-04-15,citizenlab,
http://www.azrebi.ge,NEWS,News Media,2014-04-15,citizenlab,
http://www.bestcracks.net,HACK,Hacking Tools,2014-04-15,citizenlab,
http://www.binmahfouz.info/en_index.html,CULTR,Culture,2014-04-15,citizenlab,
http://www.civil.ge,NEWS,News Media,2014-04-15,citizenlab,
http://www.conservators.ge,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.crack.ms,HACK,Hacking Tools,2014-04-15,citizenlab,
http://www.cracks.vg,HACK,Hacking Tools,2014-04-15,citizenlab,
http://www.dailymotion.com/tag/jihad,CULTR,Culture,2014-04-15,citizenlab,
http://www.damochka.ru,DATE,Online Dating,2014-04-15,citizenlab,
