url,category_code,category_description,date_added,source,notes
www.freedomnewspaper.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.fatunetwork.net,POLR,Political Criticism,2016-11-07,OONI partner,
www.kibaaro.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.thegambiaecho.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.suntoumana.blogspot.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.selluka.wordpress.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.thenorthbankeveningstandard.blogspot.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.frontpageinternational.wordpress.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.gambianewsonline.blogspot.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.yjaggambia.blogspot.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.maafanta.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.askanisenegambia.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.jollofnews.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.americanstreetnews.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.gainako.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.mansabanko.blogspot.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.torchongambia.wordpress.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.sidisanneh.blogspot.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.gambia.smbcgo.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.standard.gm,NEWS,News Media,2016-11-07,OONI partner,
www.dailynews.gm,NEWS,News Media,2016-11-07,OONI partner,
www.thepoint.gm,NEWS,News Media,2016-11-07,OONI partner,
www.observer.gm,NEWS,News Media,2016-11-07,OONI partner,
www.thevoicegambia.com,NEWS,News Media,2016-11-07,OONI partner,
www.foroyaa.gm,NEWS,News Media,2016-11-07,OONI partner,
www.ibtimes.co.uk,NEWS,News Media,2016-11-07,OONI partner,
www.globalvoices.org,NEWS,News Media,2016-11-07,OONI partner,
www.bbc.com,NEWS,News Media,2016-11-07,OONI partner,
www.en.rfi.fr,NEWS,News Media,2016-11-07,OONI partner,
www.hrw.org,HUMR,Human Rights Issues,2016-11-07,OONI partner,
www.freedomhouse.org,HUMR,Human Rights Issues,2016-11-07,OONI partner,
www.mfwa.org,HUMR,Human Rights Issues,2016-11-07,OONI partner,
www.amnesty.org,HUMR,Human Rights Issues,2016-11-07,OONI partner,
www.article19.org,HUMR,Human Rights Issues,2016-11-07,OONI partner,
www.gambiapressunion.org,HUMR,Human Rights Issues,2016-11-07,OONI partner,
www.ohchr.org,HUMR,Human Rights Issues,2016-11-07,OONI partner,
www.whatson-gambia.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.lotteryinsider.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.gambiademocraticcongress.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.pdois.com,POLR,Political Criticism,2016-11-07,OONI partner,
www.iec.gm,POLR,Political Criticism,2016-11-07,OONI partner,
www.statehouse.gm,POLR,Political Criticism,2016-11-07,OONI partner,
www.gambiandating.com,DATE,Online Dating,2016-11-07,OONI partner,
www.okcupid.com,DATE,Online Dating,2016-11-07,OONI partner,
www.friendfinder.com,DATE,Online Dating,2016-11-07,OONI partner,
www.afroromance.com,DATE,Online Dating,2016-11-07,OONI partner,
