url,category_code,category_description,date_added,source,notes
http://adn.com.gt/v1/,POLR,Political Criticism,2014-04-15,citizenlab,
http://angel-ateo.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://annguatemala.net,POLR,Political Criticism,2014-04-15,citizenlab,
http://asometgua.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://azulinca.blogspot.com,REL,Religion,2014-04-15,citizenlab,
http://blog.descargasgay.com,PORN,Pornography,2014-04-15,citizenlab,
http://bloggeras.wordpress.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://cabalasisoy.blogspot.com,LGBT,LGBT,2014-04-15,citizenlab,
http://chapineseneuropa.com,NEWS,News Media,2014-04-15,citizenlab,
http://chiapas.indymedia.org,NEWS,News Media,2014-04-15,citizenlab,
http://claudianavas.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
http://colguate.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
http://collectif-guatemala.chez-alice.fr,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://consumidos.net,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://creo.org.gt,POLR,Political Criticism,2014-04-15,citizenlab,
http://deliriodelunallena.blogspot.com,LGBT,LGBT,2014-04-15,citizenlab,
http://democraciamulticultural.blogspot.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://es.catholic.net,REL,Religion,2014-04-15,citizenlab,
http://fundacionsolar.org.gt,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://gerardojosesandoval.blogspot.com,PROV,Provocative Attire,2014-04-15,citizenlab,
http://guatemala.acambiode.com,ECON,Economics,2014-04-15,citizenlab,
http://guatemala.unfpa.org,XED,Sex Education,2014-04-15,citizenlab,
http://guatemalaisrael.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://guatequepaso.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
http://hunapu-e-ixbalanque.blogspot.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://indigenista.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://jovenescontralaviolencia.org,NEWS,News Media,2014-04-15,citizenlab,
http://jovenesporguatemala.org,NEWS,News Media,2014-04-15,citizenlab,
http://kasaquea.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
http://lasdelrollo.blogspot.com,LGBT,LGBT,2014-04-15,citizenlab,
http://manra.blogspot.com,LGBT,LGBT,2014-04-15,citizenlab,
http://mimundo-jamesrodriguez-esp.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
http://nosgustaelchiclet.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
http://paraguate.wordpress.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://perspectivamilitar.blogspot.com,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://pi2.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://pi2.com/isotonic/gentejoven/GENTE%20JOVEN.htm,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://plazapublica.com.gt,NEWS,News Media,2014-04-15,citizenlab,
http://pluriculturalidadjuridica.blogspot.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://proyecto-de-salud-guatemala.org,PUBH,Public Health,2014-04-15,citizenlab,
http://radiochapincita.com,NEWS,News Media,2014-04-15,citizenlab,
http://ravensbar.blogspot.com,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://renunciepresidentecolom.wordpress.com,NEWS,News Media,2014-04-15,citizenlab,
http://sexmodel.wordpress.com,PORN,Pornography,2014-04-15,citizenlab,
http://tlc-no.blogspot.com,GOVT,Government,2014-04-15,citizenlab,
http://tlc.ticoblogger.com,GOVT,Government,2014-04-15,citizenlab,
http://unionistas.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://usuarios.lycos.es,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://usuarios.lycos.es/ateismoguatemala/principal.html,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.abg.org.gt,ECON,Economics,2014-04-15,citizenlab,
http://www.acofop.org,ENV,Environment,2014-04-15,citizenlab,
http://www.adesca.org.gt,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.adpverapaz.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.albedrio.org,NEWS,News Media,2014-04-15,citizenlab,
http://www.aldawa.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.amatitlanesasi.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.anini.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.asociacion-casaguatemala.es,HUMR,Human Rights Issues,2014-04-15,citizenlab,
