url,category_code,category_description,date_added,source,notes
http://119.82.71.95/guyanatimes/,NEWS,News Media,2014-04-15,citizenlab,
http://afcnew.afcguyana.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://blog.socialingua.com,NEWS,News Media,2014-04-15,citizenlab,
http://c-gid.net/index.php?option=com_content&view=frontpage&Itemid=1,POLR,Political Criticism,2014-04-15,citizenlab,
http://capitolnewsgy.com,NEWS,News Media,2014-04-15,citizenlab,
http://cariblogger.com,NEWS,News Media,2014-04-15,citizenlab,
http://davidgrangercampaign.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://gp.gy,NEWS,News Media,2014-04-15,citizenlab,
http://gtcybercafe.tripod.com,NEWS,News Media,2014-04-15,citizenlab,
http://guyanafaces.com,GRP,Social Networking,2014-04-15,citizenlab,
http://guyanagroove.blogspot.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://gyconnectionz.com,NEWS,News Media,2014-04-15,citizenlab,
http://jonoguyana.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
http://kingstonpo.com,NEWS,News Media,2014-04-15,citizenlab,
http://kykoveral.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
http://pro.caribbeanaxis.com,GRP,Social Networking,2014-04-15,citizenlab,
http://propagandapress.wordpress.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://saxakali.com/wpa/,POLR,Political Criticism,2014-04-15,citizenlab,
http://theoverstream-guyana.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
http://visionguyana.blogspot.com,REL,Religion,2014-04-15,citizenlab,
http://www.blackmagic-lounge.com,GRP,Social Networking,2014-04-15,citizenlab,
http://www.blackplanet.com,DATE,Online Dating,2014-04-15,citizenlab,
http://www.caribbeanmassive.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.caribbeantrakker.com/category/guyana/,NEWS,News Media,2014-04-15,citizenlab,
http://www.caribsingles.com,DATE,Online Dating,2014-04-15,citizenlab,
http://www.caribvoice.org,NEWS,News Media,2014-04-15,citizenlab,
http://www.cariweb.com/chat/politics.htm,GRP,Social Networking,2014-04-15,citizenlab,
http://www.cariweb.com/main/authorization/doSignUp?target=http%3A%2F%2Fwww.cariweb.com%2F&quizattempt=1,GRP,Social Networking,2014-04-15,citizenlab,
http://www.cariweb.com/main/authorization/signIn?target=http%3A%2F%2Fwww.cariweb.com%2F,GRP,Social Networking,2014-04-15,citizenlab,
http://www.cublogz.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.demerarawaves.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.dharmshala.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.facebook.com/home.php#!/profile.php?id=1031107697,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.facebook.com/profile.php?id=1031107697#!/profile.php?id=591991321,NEWS,News Media,2014-04-15,citizenlab,
http://www.guyana.cc/forums/,GRP,Social Networking,2014-04-15,citizenlab,
http://www.guyana.org,NEWS,News Media,2014-04-15,citizenlab,
http://www.guyanacaribbeanpolitics.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.guyanachronicle.com/site/,NEWS,News Media,2014-04-15,citizenlab,
http://www.guyanaobservernews.org,NEWS,News Media,2014-04-15,citizenlab,
http://www.guyanaoutpost.com/guyana.shtml,NEWS,News Media,2014-04-15,citizenlab,
http://www.guyanapnc.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.guyanareunion.com,GRP,Social Networking,2014-04-15,citizenlab,
http://www.higuyana.com/index.php?do=/blog/,GRP,Social Networking,2014-04-15,citizenlab,
http://www.idletribes.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.kaieteurnewsonline.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.likeachampion360.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.mittelholzer.org/forum/,NEWS,News Media,2014-04-15,citizenlab,
http://www.new-nation.net,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.ourkulture.com/index.php,GRP,Social Networking,2014-04-15,citizenlab,
http://www.rainbowvibes.com,DATE,Online Dating,2014-04-15,citizenlab,
http://www.sdnp.org.gy,GRP,Social Networking,2014-04-15,citizenlab,
http://www.sdnp.org.gy/cbr/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.sdnp.org.gy/ngo/,NEWS,News Media,2014-04-15,citizenlab,
http://www.stabroeknews.com/news/,NEWS,News Media,2014-04-15,citizenlab,
http://www.teencaribbean.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.vibesconnect.com,GRP,Social Networking,2014-04-15,citizenlab,
http://www.votepup.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.vycguyana.net/index.php,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.weekendmirror.com/news/,NEWS,News Media,2014-04-15,citizenlab,
http://www.westindiantube.com,NEWS,News Media,2014-04-15,citizenlab,
http://ycgi.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
