status,url,category_code,category_description,date_added,source,notes
ARV,http://cloudy.hk/,ALDR,Alcohol & Drugs,2020-07-13,Netalitica,
ARV,http://renelimited.business.site/,ALDR,Alcohol & Drugs,2020-07-13,Netalitica,
Err,http://tobaccodynasty.com/,ALDR,Alcohol & Drugs,2020-07-13,Netalitica,
ARV,https://daily420.shoplineapp.com/,ALDR,Alcohol & Drugs,2020-07-13,Netalitica,
Err,https://www.falltozero.com/,ALDR,Alcohol & Drugs,2020-07-13,Netalitica,
ARV,http://www.cognaccollection.com/,ALDR,Alcohol & Drugs,2020-07-14,Netalitica,
ARV,http://www.concordwines.com.hk/dev/,ALDR,Alcohol & Drugs,2020-07-14,Netalitica,
ARV,http://www.eccevino.com.hk/,ALDR,Alcohol & Drugs,2020-07-14,Netalitica,
ARV,http://www.mycellarhk.com/,ALDR,Alcohol & Drugs,2020-07-14,Netalitica,
ARV,http://www.redwine.com.hk/,ALDR,Alcohol & Drugs,2020-07-14,Netalitica,
Err,http://www.winemaster.com.hk/,ALDR,Alcohol & Drugs,2020-07-14,Netalitica,
ARV,http://www.winetown.com.hk/,ALDR,Alcohol & Drugs,2020-07-14,Netalitica,
ARV,https://cellarmasterwines.com/,ALDR,Alcohol & Drugs,2020-07-14,Netalitica,
ARV,https://hkwineclub.boutir.com/,ALDR,Alcohol & Drugs,2020-07-14,Netalitica,
ARV,https://www.datswine.com/hk/,ALDR,Alcohol & Drugs,2020-07-14,Netalitica,
ARV,https://www.leungyick.com/lyc/,ALDR,Alcohol & Drugs,2020-07-14,Netalitica,
Err,https://www.majorcellar.com/,ALDR,Alcohol & Drugs,2020-07-14,Netalitica,
ARV,https://www.winemart.hk/,ALDR,Alcohol & Drugs,2020-07-14,Netalitica,
ARV,https://www.wineselection-hk.com/,ALDR,Alcohol & Drugs,2020-07-14,Netalitica,
ARV,https://openbottle.com.hk/,ALDR,Alcohol & Drugs,2022-07-18,Netalitica,
ARV,https://vapehongkong.com/,ALDR,Alcohol & Drugs,2022-07-18,Netalitica,
ARV,https://hk.norton.com/,ANON,Anonymization and circumvention tools,2020-07-10,Netalitica,
Err,https://hk.vpntaiwan.com/,ANON,Anonymization and circumvention tools,2020-07-18,Netalitica,
ARV,https://www.hongkongvpn.net/,ANON,Anonymization and circumvention tools,2020-07-18,Netalitica,
Err,https://surfychinaz.com/zh/,ANON,Anonymization and circumvention tools,2020-07-19,Netalitica,
ARV,https://www.purevpn.com/hk/,ANON,Anonymization and circumvention tools,2020-07-19,Netalitica,
ARV,https://cht.privateinternetaccess.com/,ANON,Anonymization and circumvention tools,2020-07-20,Netalitica,
ARV,https://surfshark.com/zh-hk/,ANON,Anonymization and circumvention tools,2020-07-20,Netalitica,
ARV,https://www.fortinet.com/,ANON,Anonymization and circumvention tools,2020-07-20,Netalitica,
ARV,https://www.vpnunlimitedapp.com/,ANON,Anonymization and circumvention tools,2020-07-20,Netalitica,
ARV,https://www.vyprvpn.com/,ANON,Anonymization and circumvention tools,2020-07-20,Netalitica,
ARV,https://zenmate.com/,ANON,Anonymization and circumvention tools,2020-07-20,Netalitica,
ARV,https://top-vpn.hk/,ANON,Anonymization and circumvention tools,2020-07-18,Netalitica,dead site which seems to be blocked on a number of ASNs. Monitor
Err,https://gearvpn.com/hong-kong-vpn/,ANON,Anonymization and circumvention tools,2022-07-18,Netalitica,
ARV,https://www.expressvpn.com/,ANON,Anonymization and circumvention tools,2022-07-18,Netalitica,
Err,http://www.yohohongkong.com/,COMM,E-commerce,2020-07-08,Netalitica,
ARV,https://eshop.giftu.com.hk/hk/,COMM,E-commerce,2020-07-08,Netalitica,
ARV,https://hk.carousell.com/,COMM,E-commerce,2020-07-08,Netalitica,
Err,https://www.fortress.com.hk/,COMM,E-commerce,2020-07-08,Netalitica,
Err,https://www.goxip.com/hk/zh/,COMM,E-commerce,2020-07-08,Netalitica,
ARV,https://www.hktvmall.com/,COMM,E-commerce,2020-07-08,Netalitica,
ARV,https://www.jselect.com/,COMM,E-commerce,2020-07-08,Netalitica,
ARV,https://www.mydress.com/,COMM,E-commerce,2020-07-08,Netalitica,
Err,https://www.parknshop.com/zh-hk/,COMM,E-commerce,2020-07-08,Netalitica,
ARV,https://www.price.com.hk/,COMM,E-commerce,2020-07-08,Netalitica,
Err,https://www.watsons.com.hk/,COMM,E-commerce,2020-07-08,Netalitica,
ARV,https://www.wellcome.com.hk/,COMM,E-commerce,2020-07-08,Netalitica,
ARV,https://shop.three.com.hk/home/,COMM,E-commerce,2020-07-09,Netalitica,
ARV,https://shopee.com.hk/,COMM,E-commerce,2020-07-09,Netalitica,
ARV,https://shopline.hk/en/,COMM,E-commerce,2020-07-09,Netalitica,
Err,https://www.bigbigshop.com/,COMM,E-commerce,2020-07-09,Netalitica,
ARV,https://www.chicle.com.hk/en/home.php/,COMM,E-commerce,2020-07-09,Netalitica,
ARV,https://www.hksuning.com/,COMM,E-commerce,2020-07-09,Netalitica,
ARV,https://www.lingsik.com/,COMM,E-commerce,2020-07-09,Netalitica,
ARV,https://www.sagroup.com.hk/,COMM,E-commerce,2020-07-09,Netalitica,
ARV,https://www.shopify.hk/,COMM,E-commerce,2020-07-09,Netalitica,
ARV,https://www.ashop.com.hk/,COMM,E-commerce,2022-07-10,Netalitica,
ARV,https://www.jetsoclub.com/,COMM,E-commerce,2022-07-18,Netalitica,
ARV,https://world.taobao.com/,COMM,E-commerce,2020-07-09,Netalitica,
ARV,https://hk.mail.yahoo.com/,COMT,Communication Tools,2020-07-18,Netalitica,
Err,https://www.net2phone.com.hk/,COMT,Communication Tools,2020-07-18,Netalitica,
ARV,https://im.qq.com/pcqq/,COMT,Communication Tools,2020-07-20,Netalitica,
ARV,https://mail.qq.com/,COMT,Communication Tools,2020-07-20,Netalitica,
ARV,https://www.microsoft.com/zh-hk/microsoft-365/microsoft-teams/group-chat-software/,COMT,Communication Tools,2020-07-20,Netalitica,
ARV,https://www.poptox.com/,COMT,Communication Tools,2020-07-20,Netalitica,
ARV,https://tutanota.com/zh_hans/,COMT,Communication Tools,2020-07-20,Netalitica,
ARV,https://zh-yue.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,
ARV,https://hall1c.com/,CULTR,Culture,2019-07-10,OONI partner,
ARV,https://unwire.hk/,CULTR,Culture,2019-07-10,OONI partner,
ARV,https://www.hkmemory.hk/,CULTR,Culture,2020-07-07,Netalitica,
ARV,https://www.she.com/,CULTR,Culture,2020-07-07,Netalitica,
ARV,https://www.shikoto.com/,CULTR,Culture,2020-07-07,Netalitica,
ARV,https://www.timeout.com.hk/hong-kong/hk/,CULTR,Culture,2020-07-07,Netalitica,
ARV,https://www.weekendhk.com/,CULTR,Culture,2020-07-07,Netalitica,
ARV,https://hk.asiatatler.com/,CULTR,Culture,2020-07-08,Netalitica,
Err,https://www.sassyhongkong.com/,CULTR,Culture,2020-07-08,Netalitica,
ARV,http://hifireview.com.hk/,CULTR,Culture,2020-07-09,Netalitica,
ARV,http://hkclraorg.blogspot.com/,CULTR,Culture,2020-07-09,Netalitica,
Err,http://hklitpub.lib.cuhk.edu.hk/lovf/,CULTR,Culture,2020-07-09,Netalitica,
ARV,http://hklrc.hk/,CULTR,Culture,2020-07-09,Netalitica,
ARV,http://streetsoccer.hk/,CULTR,Culture,2020-07-09,Netalitica,
ARV,http://www.101arts.net/,CULTR,Culture,2020-07-09,Netalitica,
ARV,https://aandmdiary.com/,CULTR,Culture,2020-07-09,Netalitica,
ARV,https://hkbandmusic.com/forum/portal.php/,CULTR,Culture,2020-07-09,Netalitica,
ARV,https://mensluxe.hk01.com/,CULTR,Culture,2020-07-09,Netalitica,
ARV,https://photogstory.com/,CULTR,Culture,2020-07-09,Netalitica,
ARV,https://www.chillmeh.com/,CULTR,Culture,2020-07-09,Netalitica,
ARV,https://www.esahk.org/,CULTR,Culture,2020-07-09,Netalitica,
ARV,https://www.filmcritics.org.hk/,CULTR,Culture,2020-07-09,Netalitica,
ARV,https://www.gameover.com.hk/,CULTR,Culture,2020-07-09,Netalitica,
ARV,https://www.literaturehk.com/,CULTR,Culture,2020-07-09,Netalitica,
ARV,https://www.neonsigns.hk/,CULTR,Culture,2020-07-09,Netalitica,
ARV,https://www.nmplus.hk/,CULTR,Culture,2020-07-09,Netalitica,
ARV,https://www.spill.hk/,CULTR,Culture,2020-07-09,Netalitica,
ARV,https://www.thesulisclub.com/,CULTR,Culture,2020-07-09,Netalitica,
ARV,http://www.hiendy.com/,CULTR,Culture,2020-07-14,Netalitica,
Err,http://hkhiso.itsc.cuhk.edu.hk/history/,CULTR,Culture,2020-07-18,Netalitica,
ARV,https://hkmovie6.com/,CULTR,Culture,2020-07-18,Netalitica,
ARV,https://hongkonglit.com/,CULTR,Culture,2020-07-18,Netalitica,
ARV,https://moov.hk/,CULTR,Culture,2020-07-18,Netalitica,
ARV,http://tvboxnow.com/,CULTR,Culture,2020-07-19,Netalitica,
ARV,https://www.hkepc.com/,CULTR,Culture,2020-07-19,Netalitica,
ARV,http://timable.com/,CULTR,Culture,2020-07-20,Netalitica,
ARV,https://hypebeast.com/zh/,CULTR,Culture,2020-07-20,Netalitica,
Err,https://post76.hk/portal.php/,CULTR,Culture,2020-07-20,Netalitica,
Err,https://gardemagazine.com/,CULTR,Culture,2020-07-09,Netalitica,site appears dead and blocked on several ASNs - monitor
Err,https://www.discoverhongkong.com/uk/index.html/,CULTR,Culture,2022-07-18,Netalitica,
Err,https://www.mpweekly.com/,CULTR,Culture,2022-08-12,Netalitica,
ARV,http://www.modernchineseliterature.net/,CULTR,Culture,2020-07-09,Netalitica,
ARV,https://www.dcfever.com/,CULTR,Culture,2020-07-14,Netalitica,
ARV,https://www.be2.hk/,DATE,Online Dating,2020-07-09,Netalitica,
ARV,https://www.hongkongcupid.com/,DATE,Online Dating,2020-07-09,Netalitica,
ARV,https://zh.c-date.hk/,DATE,Online Dating,2020-07-09,Netalitica,
ARV,https://hk.match.com/,DATE,Online Dating,2020-07-19,Netalitica,
ARV,https://www.214dating.com/,DATE,Online Dating,2020-07-19,Netalitica,
ARV,https://www.academicsingles.hk/,DATE,Online Dating,2020-07-19,Netalitica,
ARV,https://bumble.com/,DATE,Online Dating,2020-07-20,Netalitica,
ARV,https://butterfly.dating/,DATE,Online Dating,2020-07-20,Netalitica,
ARV,https://flip.dating/,DATE,Online Dating,2020-07-20,Netalitica,
ARV,https://www.mycupofteahk.com/,DATE,Online Dating,2020-07-20,Netalitica,
ARV,https://www.sweetring.com/zh_tw/,DATE,Online Dating,2020-07-20,Netalitica,
Err,https://www.wetouch.me/,DATE,Online Dating,2020-07-20,Netalitica,
ARV,https://datingapp.com.hk/,DATE,Online Dating,2022-07-10,Netalitica,
ARV,http://www.etnet.com.hk/www/tc/home/index.php/,ECON,Economics,2020-07-09,Netalitica,
ARV,http://www.poverty.org.hk/,ECON,Economics,2020-07-09,Netalitica,
Err,https://www.retaas.hkpc.org/tc/index.aspx/,ECON,Economics,2020-07-09,Netalitica,
ARV,https://www.umadx.com/,ECON,Economics,2020-07-09,Netalitica,
ARV,https://www.ourhkfoundation.org.hk/,ECON,Economics,2022-07-10,Netalitica,
ARV,https://research.hktdc.com/en/,ECON,Economics,2022-07-10,Netalitica,
ARV,https://www.shhk.org/,ECON,Economics,2022-07-10,Netalitica,
ARV,http://cleartheair.org.hk/,ENV,Environment,2020-07-07,Netalitica,
ARV,http://greensense.org.hk/,ENV,Environment,2020-07-07,Netalitica,
ARV,http://www.designinghongkong.com/v4/,ENV,Environment,2020-07-07,Netalitica,
Err,http://www.earth.org.hk/,ENV,Environment,2020-07-07,Netalitica,
ARV,http://www.greeners-action.org/,ENV,Environment,2020-07-07,Netalitica,
ARV,http://www.greenpengchau.org.hk/,ENV,Environment,2020-07-07,Netalitica,
Err,http://www.taipoea.org.hk/index.php/,ENV,Environment,2020-07-07,Netalitica,
ARV,https://civic-exchange.org/,ENV,Environment,2020-07-07,Netalitica,
ARV,https://greenearth.org.hk/,ENV,Environment,2020-07-07,Netalitica,
ARV,https://thewgo.org/,ENV,Environment,2020-07-07,Netalitica,
ARV,https://www.cahk.org.hk/,ENV,Environment,2020-07-07,Netalitica,
ARV,https://www.greencouncil.org/,ENV,Environment,2020-07-07,Netalitica,
ARV,https://www.greenpeace.org/hongkong/,ENV,Environment,2020-07-07,Netalitica,
ARV,https://www.greenpower.org.hk/,ENV,Environment,2020-07-07,Netalitica,
ARV,https://www.wwf.org.hk/,ENV,Environment,2020-07-07,Netalitica,
ARV,https://bec.org.hk/tc,ENV,Environment,2022-07-15,Netalitica,
ARV,https://www.ricoh.com.hk/,FILE,File-sharing,2020-07-09,Netalitica,
ARV,https://www.udomain.hk/tc/,FILE,File-sharing,2020-07-09,Netalitica,
ARV,http://xzc.cn/,FILE,File-sharing,2020-07-20,Netalitica,
ARV,https://airportal.cn/,FILE,File-sharing,2020-07-20,Netalitica,
ARV,https://hk.alibabacloud.com/,FILE,File-sharing,2020-07-20,Netalitica,
ARV,https://jumpshare.com/,FILE,File-sharing,2020-07-20,Netalitica,
ARV,https://www.microsoft.com/zh-hk/microsoft-365/onedrive/online-cloud-storage/,FILE,File-sharing,2020-07-20,Netalitica,
ARV,https://yun.baidu.com/,FILE,File-sharing,2020-07-20,Netalitica,
ARV,http://www.2000fun.com/,GAME,Gaming,2020-07-09,Netalitica,
Err,http://www.asiadog.com/game/index.shtm/,GAME,Gaming,2020-07-09,Netalitica,
Err,http://www.flashgame.com.hk/,GAME,Gaming,2020-07-09,Netalitica,
Err,http://www.talesrunner.com.hk/tr_index.html/,GAME,Gaming,2020-07-09,Netalitica,
ARV,https://gameapps.hk/,GAME,Gaming,2020-07-09,Netalitica,
ARV,https://www.gameone.com/,GAME,Gaming,2020-07-09,Netalitica,
ARV,https://www.hkgnews.com/,GAME,Gaming,2020-07-09,Netalitica,
ARV,https://www.nintendo.com.hk/,GAME,Gaming,2020-07-09,Netalitica,
ARV,https://bfweb.hk.beanfun.com/,GAME,Gaming,2022-07-10,Netalitica,
ARV,http://roulette77hongkong.com/,GMB,Gambling,2020-07-09,Netalitica,
ARV,https://www.hkjc.com/,GMB,Gambling,2020-07-09,Netalitica,
ARV,https://hkcasino.org/,GMB,Gambling,2020-07-19,Netalitica,
