url,category_code,category_description,date_added,source,notes
http://1-search-engine-marketing.net/socks-proxies-search.html,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://123url.org,COMM,E-commerce,2014-04-15,citizenlab,
http://88bola.com,GMB,Gambling,2014-04-15,citizenlab,
http://9nagatangkas.com,GAME,Gaming,2014-04-15,citizenlab,
http://allgeeks.info,GRP,Groups and social networking,2014-04-15,citizenlab,
http://anonymat.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://anonymip.net,SRCH,Search engines,2014-04-15,citizenlab,
http://anonymise.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://anonymizer.egroups.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://anonymousmyspace.info,MISC,Miscellaneous,2014-04-15,citizenlab,
http://anonymousproxylist.net,COMM,E-commerce,2014-04-15,citizenlab,
http://anonysurf.info,COMM,E-commerce,2014-04-15,citizenlab,
http://answering-islam.org,MINF,Minority faiths,2014-04-15,citizenlab,
http://aplusproxy.blogspot.com/2007/11/view-blocked-sites-with-random-ip-proxy.html,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://arrahmah.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://beritamuslim.wordpress.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://beritapanasselebritis.blogspot.com,PROV,Provocative attire,2014-04-15,citizenlab,
http://blahbleh.com/science/,MISC,Miscellaneous,2014-04-15,citizenlab,
http://blogfars.com/blog.html?member=bia2&newscat=7938,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://blogg.loopia.se,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://bolanaga.com,GMB,Gambling,2014-04-15,citizenlab,
http://bolauntung.com,GMB,Gambling,2014-04-15,citizenlab,
http://bolazoom.com,GMB,Gambling,2014-04-15,citizenlab,
http://bravo-pass.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://ceritacerita.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://ceriwis.us,GRP,Groups and social networking,2014-04-15,citizenlab,
http://ceriwis.us/forumdisplay.php?f=127,GRP,Groups and social networking,2014-04-15,citizenlab,
http://charter.com,COMM,E-commerce,2014-04-15,citizenlab,
http://crito.jw.lt,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://danteam.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/160,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/170,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/21,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/23,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/26,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/27,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/32,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/7,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://dewajudi.net,MISC,Miscellaneous,2014-04-15,citizenlab,
http://digg.com/news/entertainment/lalat_x_artis_bugil_indonesia_com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://dostscholars.com/proxy/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://dowranline.blogfa.com/post-75.aspx,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://e-coms.ru/101/,DATE,Dating,2014-04-15,citizenlab,
http://e-hack.eu/bramka_proxy/,HACK,Hacking,2014-04-15,citizenlab,
http://en.wordpress.com/tag/youtube-proxy/,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://exmuslim.wordpress.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://facebooking101.com/facebook-proxy.php,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://fifabola.com,GMB,Gambling,2014-04-15,citizenlab,
http://finance.groups.yahoo.com/group/hidden-men/,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://forums.sawomatang.net,GRP,Groups and social networking,2014-04-15,citizenlab,
http://gayindonesiaforum.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://groups.google.com/group/free-proxy-list-update-daily?pli=1,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://ilga.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://indolucky7.com,GMB,Gambling,2014-04-15,citizenlab,
http://indonbodoh.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://indonesia.faithfreedom.org/doc/,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://indonesia.faithfreedom.org/forum/muhammad-bukan-nabi-t1901/,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://internet-positif.org,MISC,Miscellaneous,2014-04-15,citizenlab,
http://islamexpose.blogspot.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://islammurtad.blogspot.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://komiknabimuhammad.blogspot.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://kostenlose-toplisten.de,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://maps.google.com,POLT,Political transformation,2014-04-15,citizenlab,
http://muhammadture.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://mupeng.com/forums/198-18-Tahun-Aza,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://myspacefilez.net/glype/,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://novel4u.com,PROV,Provocative attire,2014-04-15,citizenlab,
http://pasarbola.net,GMB,Gambling,2014-04-15,citizenlab,
http://pasarbola2.com,GMB,Gambling,2014-04-15,citizenlab,
http://pass-fan.com/faq.php,GRP,Groups and social networking,2014-04-15,citizenlab,
