url,category_code,category_description,date_added,source,notes
https://he.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://he.wikisource.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://he.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://he.wikibooks.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://systematics.maps.arcgis.com/apps/opsdashboard/index.html#/e1a670aa9493446889760fb22c882066,PUBH,Public Health,2020-04-01,citizenlab,coronavirus
https://www.alalamtv.net/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://www.albawaba.com/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://www.alquds.co.uk/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://www.amad.ps/ar/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://www.fateh-voice.ps/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://imemc.org/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://www.jpost.com/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://middle-east-online.com/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://www.radiosawa.com/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://paltimeps.ps/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://paltoday.ps/ar/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
http://pnn.ps/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://www.al-akhbar.com/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://www.al-ayyam.ps/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://www.alhaya.ps/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://alquds.com/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://qudsn.net/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://www.silwanic.net/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://raseef22.net/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://www.972mag.com/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://alray.ps/ar/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://mondoweiss.net/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://www.almayadeen.net/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://www.jadaliyya.com/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://www.maannews.net/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://www.palestinechronicle.com/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://palestinemonitor.org/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://www.raya.ps/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://www.sonara.net/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://www.wafa.ps/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://al-awda.org/,POLR,Political Criticism,2021-05-16,OONI,Relevant to Palestine
https://assabeel.net/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
http://aqsatv.ps/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://felesteen.ps/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://shehabnews.com/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
http://palestine.paldf.net/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://www.palinfo.com/,NEWS,News Media,2021-05-16,OONI,Relevant to Palestine
https://palbas.org/,HUMR,Human Rights Issues,2021-05-16,OONI,Relevant to Palestine
https://www.pjs.ps/,HUMR,Human Rights Issues,2021-05-16,OONI,Relevant to Palestine
http://www.palhumanrights.org/,HUMR,Human Rights Issues,2021-05-16,OONI,Relevant to Palestine
http://www.palhumanrights.com/,HUMR,Human Rights Issues,2021-05-16,OONI,Relevant to Palestine
http://palestineintifada.net/,HUMR,Human Rights Issues,2021-05-16,OONI,Relevant to Palestine
https://palsolidarity.org/,HUMR,Human Rights Issues,2021-05-16,OONI,Relevant to Palestine
https://pwwsd.org/,HUMR,Human Rights Issues,2021-05-16,OONI,Relevant to Palestine
https://www.palestinercs.org/,HUMR,Human Rights Issues,2021-05-16,OONI,Relevant to Palestine
https://www.timesofisrael.com/,NEWS,News Media,2021-05-16,OONI,
https://www.israelhayom.com/,NEWS,News Media,2021-05-16,OONI,
https://nocamels.com/,NEWS,News Media,2021-05-16,OONI,
https://www.ynet.co.il/,NEWS,News Media,2021-05-16,OONI,
https://www.walla.co.il/,NEWS,News Media,2021-05-16,OONI,
https://www.mako.co.il/,NEWS,News Media,2021-05-16,OONI,
http://panet.co.il/,NEWS,News Media,2021-05-16,OONI,
https://besheva.co.il/,NEWS,News Media,2021-05-16,OONI,
https://www.calcalist.co.il/,NEWS,News Media,2021-05-16,OONI,
https://www.yediot.co.il/,NEWS,News Media,2021-05-16,OONI,
https://www.7amleh.org/,HUMR,Human Rights Issues,2021-05-17,rayasharbain,Palestinian digital rights organisation
https://stopsilencingpalestine.com/,POLR,Political Criticism,2021-06-10,Community member,Relevant to Palestine
