url,category_code,category_description,date_added,source,notes
http://ethiomuslimsmedia.com/index.php/news-paper/132-burma/,COMM,E-commerce,2014-04-15,citizenlab,content changed but domain still blocked - monitor
http://apniisp.com/,FILE,File-sharing,2014-04-15,citizenlab,"Music sharing website. Updated recently, seems active. No redirect to HTTPS either."
http://bollyextreme.com/,FILE,File-sharing,2014-04-15,citizenlab,"Possibly old file sharing website, does not seem to be active in the last 2-3 years. Blocked on some ISPs - monitor"
http://cckerala.com/,FILE,File-sharing,2014-04-15,citizenlab,"Old Kerala news website, not updated since 2012. Still blocked - monitor"
http://downloadming.com/,FILE,File-sharing,2014-04-15,citizenlab,"Bollywood music sharing, appears blocked - monitor"
http://filmimusic.com/,FILE,File-sharing,2014-04-15,citizenlab,Possibly old file sharing website
http://freefundoo.com/,FILE,File-sharing,2014-04-15,citizenlab,old file sharing website but still blocked - monitor
http://mobidreamz.com/,FILE,File-sharing,2014-04-15,citizenlab,blocked (OONI explorer)
http://muskurahat.com/,FILE,File-sharing,2014-04-15,citizenlab,
http://mymaza.com/,FILE,File-sharing,2014-04-15,citizenlab,403 error. The resource is blocked - monitor
http://songs.pk/,FILE,File-sharing,2014-04-15,citizenlab,Music sharing website. Domain blocked - monitor
http://songsinn.com/,FILE,File-sharing,2014-04-15,citizenlab,Music sharing website. Blocked  - monitor
http://songslover.com/,FILE,File-sharing,2014-04-15,citizenlab,Music sharing website. Blocked  - monitor
http://sunomusic.com/,FILE,File-sharing,2014-04-15,citizenlab,blocked sharing website - monitor
http://wapindia.net/,FILE,File-sharing,2014-04-15,citizenlab,blocked resource
http://waprocks.in/,FILE,File-sharing,2014-04-15,citizenlab,blocked resource
http://givemetheheadlines.wordpress.com/2012/07/29/hindus-kill-muslims-in-india-44-dead-170000-made-homeless/,MILX,Terrorism and Militants,2014-04-15,citizenlab,"News aggregation, blocked - monitor"
http://pctvbill.blogspot.in/2012/08/hindu-women-in-india-found-raped-and.html/,MILX,Terrorism and Militants,2014-04-15,citizenlab,About communal violence
http://apunkabollywood.com/,MMED,Media sharing,2014-04-15,citizenlab,"Music sharing website. Almost FTP-like interface, could not determine when it was last updated. No redirect to HTTPS either."
http://karachimag.com/,MMED,Media sharing,2014-04-15,citizenlab,
http://mazafm.com/,MMED,Media sharing,2014-04-15,citizenlab,blocked (OONI explorer)
http://paktimes.com/,MMED,Media sharing,2014-04-15,citizenlab,outdated but still blocked - monitor
http://topupmp3.com/,MMED,Media sharing,2014-04-15,citizenlab,"Now serves as Youtube to mp3 converter, can still keep"
http://bdcburma.wordpress.com/2012/07/27/photos-about-burmese-buddhists-killed-the-muslims-in-burma-2/,NEWS,News Media,2014-04-15,citizenlab,"A photo gallery, related to incidents in Burma. Outdated but still blocked - monitor"
http://drashukumar.files.wordpress.com/2011/10/ashokarorashivaniarticle.doc/,NEWS,News Media,2014-04-15,citizenlab,Accusation of corruption in the judiciary
http://drashukumar.files.wordpress.com/2011/10/who_got_shivani_killed.doc/,NEWS,News Media,2014-04-15,citizenlab,Accusation of corruption in the judiciary
http://farazahmed.com/wp-content/uploads/2012/07/602535_335682046513473_517563933_n.jpg/,NEWS,News Media,2014-04-15,citizenlab,Image related to Muslim genocide in Myanmar
http://hinduhumanrights.org/,NEWS,News Media,2014-04-15,citizenlab,"Seems to be a generic news website, name implies human rights for the Hindu majority"
http://nndh.com/,NEWS,News Media,2014-04-15,citizenlab,Site blocked by the Indian government - monitor
http://www.allvoices.com/contributed-news/12584536-world-silent-over-the-tragic-and-planted-genocide-of-muslims-in-burma/,NEWS,News Media,2014-04-15,citizenlab,Myanmar muslim genocide. Now 404 but still blocked - monitor
http://www.atjehcyber.net/,NEWS,News Media,2014-04-15,citizenlab,dead website but still blocked - monitor
http://www.imamali8.com/,NEWS,News Media,2014-04-15,citizenlab,dead wesbite but still blocked - monitor
http://www.nndh.com/,NEWS,News Media,2014-04-15,citizenlab,"Domain is for sale, but still keeps information that the Indian government blocked it. Recommend still keeping in the list for this reason."
http://www.rahulyadav.com/,NEWS,News Media,2014-04-15,citizenlab,"was blocked because of an order, blog probably has hindu nationalist content"
http://www.unipay2u.com/,NEWS,News Media,2014-04-15,citizenlab,Redirecting to parked page. But domain blocked soo keep in list for monitoring.
http://www.visarev.com/,NEWS,News Media,2014-04-15,citizenlab,blocked domain - monitor
https://www.firstpost.com/,NEWS,News Media,2014-04-15,citizenlab,
https://www.hindujagruti.org/,NEWS,News Media,2014-04-15,citizenlab,
http://ganduhotspot.blogspot.com/2012/07/intl-union-of-unified-ummah-condemns.html/,REL,Religion,2014-04-15,citizenlab,Advovacy around Muslim genocide in Myanmar
http://takbeeremusalsal.blogspot.com/2012/07/myanmar-muslims-massacre.html/,REL,Religion,2014-04-15,citizenlab,Myanmar muslim genocide
http://twocircles.net/2012jun01/petty_dispute_leads_death_one_mathura.html/,REL,Religion,2014-04-15,citizenlab,Article about death in 2012
https://depositfiles.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,cloud service
