url,category_code,category_description,date_added,source,notes
http://albrhan.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://alhag.net,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://alsaha.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://angryarab.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://answering-islam.org,MINF,Minority faiths,2014-04-15,citizenlab,
http://answering-islam.org/Arabic/index.html,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://arabsex2.com,PORN,Pornography,2014-04-15,citizenlab,
http://ayaanhirsiali.web-log.nl,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ayaanhirsiali.web-log.nl/ayaanhirsiali/english/index.html,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://baghdadalrashid.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://bbcarabic.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://blogcritics.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://costofwar.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/gay_rights_in_iraq,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/post-invasion_iraq,HUMR,Human rights,2014-04-15,citizenlab,
http://gayguide.net,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://gayinkuwait.blogspot.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://gayswithoutborders.wordpress.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://ikhwanonline.org,POLT,Political transformation,2014-04-15,citizenlab,
http://iraqaction.org,HUMR,Human rights,2014-04-15,citizenlab,
http://iraqilgbtuk.blogspot.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.acage.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.addaawa.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.ahewar.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.al-farook.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.al-khoei.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.alalam.ir,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alarabiya.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.albasrah.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alboraq.info,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.alfikr-almasihi.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.alhesbah.org,POLT,Political transformation,2014-04-15,citizenlab,
http://www.allahsassurance.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.almokhtsar.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alnaddy.com,DATE,Dating,2014-04-15,citizenlab,
http://www.alnour.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.alnusrra.net,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.alquds.co.uk,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alquma.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alumaaliraqia.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.alzawag.com,DATE,Dating,2014-04-15,citizenlab,
http://www.amanjordan.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.amplusnet.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.amplusnet.com/products/invisiblebrowsing/overview.htm,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.ansarweb.net,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.anti-cair-net.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.antiwar.com,HUMR,Human rights,2014-04-15,citizenlab,
http://www.arabatheist.humanists.net,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.arabfaces.com,DATE,Dating,2014-04-15,citizenlab,
http://www.arabgirls.us,PORN,Pornography,2014-04-15,citizenlab,
http://www.arabicbible.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.arabmail.de,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.aswataliraq.info,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.avoda.org.il,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.azzaman.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.baath-party.org,POLT,Political transformation,2014-04-15,citizenlab,
http://www.backtojerusalem.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.baghdadsniper.net,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.bahai-faith.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.bahai.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.banatal3arab.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.banatfun.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.bayynat.org,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.behidden.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.christiansofiraq.com,HUMR,Human rights,2014-04-15,citizenlab,
http://www.christiansofiraq.com/humanrightsmar136.html,HUMR,Human rights,2014-04-15,citizenlab,
http://www.commondreams.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.coptic.net,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.cpa-iraq.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.danielpipes.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.duke.org,HATE,Hate speech,2014-04-15,citizenlab,
http://www.ebaa.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.elaph.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ezawaj.com,DATE,Dating,2014-04-15,citizenlab,
http://www.faithfreedom.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.freearabvoice.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.freemuslim.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
