url,category_code,category_description,date_added,source,notes
http://213.4.130.210,NEWS,News Media,2014-04-15,citizenlab,
http://4shared.com,FILE,File-sharing,2015-03-20,OONI,
http://aadaamaak.blogfa.com,LGBT,LGBT,2014-04-15,citizenlab,
http://aawsat.com/,NEWS,News Media,2016-04-20,citizenlab,
http://ablogformen2.blogspot.com,LGBT,LGBT,2014-04-15,citizenlab,
http://abujahl.blogspot.com,REL,Religion,2014-04-15,citizenlab,
http://acetaminophen.persianblog.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://alarabiya.net,NEWS,News Media,2016-04-20,citizenlab,
http://alfie-atkins.blogspot.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://alhiad.net/,NEWS,News Media,2016-04-20,citizenlab,
http://alone-persian-man.blogspot.com,LGBT,LGBT,2014-04-15,citizenlab,
http://alraynews.net/,NEWS,News Media,2016-04-20,citizenlab,
http://alwakad.net/dimofinf/,NEWS,News Media,2016-04-20,citizenlab,
http://amindownload.persianblog.com,HACK,Hacking Tools,2014-04-15,citizenlab,
http://anidalton.blogfa.com,NEWS,News Media,2014-04-15,citizenlab,
http://anonvmouse.ws,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://aparat.com,MISC,Miscelaneous content,2015-03-20,OONI,this should be under the sports or entertainment category
http://aqueeerdiaries.blogspot.com,LGBT,LGBT,2014-04-15,citizenlab,
http://arar-news.com/,NEWS,News Media,2016-04-20,citizenlab,
https://asl19.org,NEWS,News Media,2016-07-16,ICLab,ASL 19
http://ayatesheytani.blogdrive.com,REL,Religion,2014-04-15,citizenlab,
http://azarmehr.blogspot.com/2011/08/lake-orumiyeh-environmental-catastrophe.html,ENV,Environment,2014-04-15,citizenlab,
http://back.to,PORN,Pornography,2014-04-15,citizenlab,
http://back.to/cekaf/,PORN,Pornography,2014-04-15,citizenlab,
http://bahai-education.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://bahai-library.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://bahaindex.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://bahairadio.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://bahare-iran-ma.blogsky.com,CULTR,Culture,2014-04-15,citizenlab,
http://balatarin.com,NEWS,News Media,2014-04-15,citizenlab,
http://baoba.org,CULTR,Culture,2014-04-15,citizenlab,
http://bbcpersian.com/,NEWS,News Media,2015-03-20,OONI,
http://behnoudonline.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://behnoudonline.com/2004/09/040917_003170.shtml,POLR,Political Criticism,2014-04-15,citizenlab,
http://bestupdateserver2.com,HACK,Hacking Tools,2016-06-29,OONI,This is actually a service used as CnC by a botnet
http://biladi-sa.com/,NEWS,News Media,2016-04-20,citizenlab,
http://bit.ly/v4u7vk,ENV,Environment,2014-04-15,citizenlab,
