url,category_code,category_description,date_added,source,notes
http://www.bbc.com/japanese,NEWS,News Media,2017-07-19,BBC,
http://www.bbcjapanese.com/,NEWS,News Media,2017-07-19,BBC,
https://ja.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://ja.wikibooks.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://en.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://ko.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://ja.m.wikipedia.org/,CULTR,Culture,2019-02-19,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/newpage_00032.html,PUBH,Public Health,2020-04-01,citizenlab,coronavirus
https://sputniknews.jp/,NEWS,News Media,2023-04-24,test-lists.ooni.org contribution,
https://isfweb.org/,NEWS,News Media,2023-11-27,test-lists.ooni.org contribution,
https://note.com/,GRP,Social Networking,2023-11-27,test-lists.ooni.org contribution,
https://g-mens.net/,PORN,Pornography,2023-11-27,test-lists.ooni.org contribution,
https://www.asahi.com/,NEWS,News Media,2023-11-27,test-lists.ooni.org contribution,
https://news.yahoo.co.jp/,NEWS,News Media,2023-11-27,test-lists.ooni.org contribution,
https://24zzz-lgbt.com/,LGBT,LGBT,2023-11-27,test-lists.ooni.org contribution,
https://www.aozora.gr.jp/,CULTR,Culture,2023-11-27,test-lists.ooni.org contribution,
https://slib.net/,CULTR,Culture,2023-11-27,test-lists.ooni.org contribution,
https://akizukidenshi.com/,COMM,E-commerce,2023-11-27,test-lists.ooni.org contribution,
https://ffwpu.jp/,REL,Religion,2023-11-27,test-lists.ooni.org contribution,
https://uccj.org/,REL,Religion,2023-11-27,test-lists.ooni.org contribution,
https://www.nichiren.or.jp/,REL,Religion,2023-11-27,test-lists.ooni.org contribution,
https://www.aleph.to/,REL,Religion,2023-11-27,test-lists.ooni.org contribution,
https://jodo.or.jp/,REL,Religion,2023-11-27,test-lists.ooni.org contribution,
https://www.jti.co.jp/,ALDR,Alcohol & Drugs,2023-12-10,test-lists.ooni.org contribution,
https://www.asahibeer.co.jp/,ALDR,Alcohol & Drugs,2023-12-10,test-lists.ooni.org contribution,
https://life.letibee.com/,LGBT,LGBT,2023-12-10,test-lists.ooni.org contribution,
https://www.jca.apc.org/,HUMR,Human Rights Issues,2023-12-10,test-lists.ooni.org contribution,
https://no-sheep.org/,POLR,Political Criticism,2023-12-10,test-lists.ooni.org contribution,
https://www.jarl.org/,CULTR,Culture,2023-12-10,test-lists.ooni.org contribution,
https://wch-japan.org/,POLR,Political Criticism,2023-12-10,test-lists.ooni.org contribution,
https://www.jimin.jp/,POLR,Political Criticism,2023-12-10,test-lists.ooni.org contribution,
https://www.jcp.or.jp/,POLR,Political Criticism,2023-12-10,test-lists.ooni.org contribution,
https://www.akahata-digital.press/,NEWS,News Media,2023-12-10,test-lists.ooni.org contribution,
https://dokdo.mofa.go.kr/,POLR,Political Criticism,2023-12-10,test-lists.ooni.org contribution,
https://tokyorainbowpride.com/,LGBT,LGBT,2023-12-10,test-lists.ooni.org contribution,
http://www.bll.gr.jp/,HUMR,Human Rights Issues,2023-12-10,test-lists.ooni.org contribution,
https://www.jrc.or.jp/,PUBH,Public Health,2023-12-10,test-lists.ooni.org contribution,
https://www.salvationarmy.or.jp/,REL,Religion,2023-12-10,test-lists.ooni.org contribution,
https://web-mu.jp/,CULTR,Culture,2023-12-10,test-lists.ooni.org contribution,
https://jigensha.info/,NEWS,News Media,2023-12-08,test-lists.ooni.org contribution,
https://gigazine.net/,NEWS,News Media,2023-12-08,test-lists.ooni.org contribution,
https://rokusaisha.com/,POLR,Political Criticism,2023-12-08,test-lists.ooni.org contribution,
https://the-criterion.jp/,NEWS,News Media,2023-12-08,test-lists.ooni.org contribution,
https://www.dmm.co.jp/,PORN,Pornography,2023-11-28,test-lists.ooni.org contribution,
https://www.nukistream.com/,PORN,Pornography,2023-11-28,test-lists.ooni.org contribution,
https://club-shumibun.com/,COMM,E-commerce,2024-01-21,test-lists.ooni.org contribution,
https://www.gosen-dojo.com/,POLR,Political Criticism,2024-01-21,test-lists.ooni.org contribution,
http://www.ko-mens.tv/,DATE,Online Dating,2024-01-21,test-lists.ooni.org contribution,
