url,category_code,category_description,date_added,source,notes
http://aimak.kg,NEWS,News Media,2017-09-18,citizenlab,
http://alakan.hostenko.com,NEWS,News Media,2017-09-18,citizenlab,
http://ar-namys.org,POLR,Political Criticism,2017-09-18,citizenlab,
http://avtoritet.kg,NEWS,News Media,2017-09-18,citizenlab,
http://bagyt.kg,NEWS,News Media,2017-09-18,citizenlab,
http://barakelde.turmush.kg,NEWS,News Media,2017-09-18,citizenlab,
http://barometr.kg,NEWS,News Media,2017-09-18,citizenlab,
http://birduino.kg/ru,,CSO,2017-09-18,citizenlab,
http://blog.ru,HOST,Hosting and Blogging Platforms,2017-09-18,citizenlab,
http://bulbul.kg,MMED,Media sharing,2017-09-18,citizenlab,
http://ca-news.org,NEWS,News Media,2017-09-18,citizenlab,
http://dem.kg,NEWS,News Media,2017-09-18,citizenlab,
http://diesel.elcat.kg,POLR,Political Criticism,2017-09-18,citizenlab,
http://egemen.kg,NEWS,News Media,2017-09-18,citizenlab,
http://eurasia.org.ru,NEWS,News Media,2017-09-18,citizenlab,
http://eurasianet.org,NEWS,News Media,2017-09-18,citizenlab,
http://fakt.kg,NEWS,News Media,2017-09-18,citizenlab,
http://freedomhouse.kg/en,,INGO,2017-09-18,citizenlab,
http://gazeta.kg,NEWS,News Media,2017-09-18,citizenlab,
http://golos.kg,,CSO,2017-09-18,citizenlab,
http://hoster.kg,HOST,Hosting and Blogging Platforms,2017-09-18,citizenlab,
http://inter.kg,NEWS,News Media,2017-09-18,citizenlab,
http://interbilim.org.kg,,INGO,2017-09-18,citizenlab,
http://internews.kg,NEWS,News Media,2017-09-18,citizenlab,
http://ipp.kg,NEWS,News Media,2017-09-18,citizenlab,
http://kabar.kg,NEWS,News Media,2017-09-18,citizenlab,
http://kabarlar.org,NEWS,News Media,2017-09-18,citizenlab,
http://kaganat.kg,NEWS,News Media,2017-09-18,citizenlab,
http://kchr.org,,CSO,2017-09-18,citizenlab,
http://kginform.com,NEWS,News Media,2017-09-18,citizenlab,
http://kloop.kg,NEWS,News Media,2017-09-18,citizenlab,
http://knews.kg,NEWS,News Media,2017-09-18,citizenlab,
http://kyrgyzmedia.com,NEWS,News Media,2017-09-18,citizenlab,
http://kyrgyztoday.org,NEWS,News Media,2017-09-18,citizenlab,
http://kyrgyztuusu.kg,NEWS,News Media,2017-09-18,citizenlab,
http://kyrtag.kg,NEWS,News Media,2017-09-18,citizenlab,
http://limon.kg,NEWS,News Media,2017-09-18,citizenlab,
http://madein.kg,NEWS,News Media,2017-09-18,citizenlab,
http://maralfm.kg,NEWS,News Media,2017-09-18,citizenlab,
http://medialaw.kg,NEWS,News Media,2017-09-18,citizenlab,
http://million.kg,NEWS,News Media,2017-09-18,citizenlab,
http://mk.kg,NEWS,News Media,2017-09-18,citizenlab,
http://monitoring.kg,NEWS,News Media,2017-09-18,citizenlab,
http://msc.kg,,CSO,2017-09-18,citizenlab,
http://msn.kg,NEWS,News Media,2017-09-18,citizenlab,
