url,category_code,category_description,date_added,source,notes
http://asiapacific.unwomen.org/en/countries/cambodia,HUMR,Human Rights Issues,2016-10-06,OONI,
https://badoo.com/en/dating/cambodia/cambodia/,DATE,Online Dating,2016-10-06,OONI,
http://blog.conservation.org/2013/11/in-cambodia-environmental-challenges-mirror-the-past/,ENV,Environment,2016-10-06,OONI,
https://cambodian.dating/,DATE,Online Dating,2016-10-06,OONI,
http://camnews.com.kh/,NEWS,News Media,2016-10-06,OONI,
https://cchrcambodia.org/,HUMR,Human Rights Issues,2016-09-17,cchr,Human Rights Organization
http://www.cnrp7.org/,POLR,Political Criticism,2018-08-01,sinarproject,Political Party
http://cipocambodia.org/,HUMR,Human Rights Issues,2018-08-01,sinarproject,
https://comfrel.org/,POLR,Political Criticism,2018-08-01,sinarproject,
https://humanrightsinasean.info/,HUMR,Human Rights Issues,2018-08-01,sinarproject,
http://kampucheathmey.com/,NEWS,News Media,2016-10-06,OONI,
http://kh.kddi.com/products_services/detail2/syncnel.html,FILE,File-sharing,2016-10-06,OONI,
https://khmer.voanews.com/,NEWS,News Media,2016-09-17,cchr,Independent online news website
https://khmer.cambodiadaily.com/,NEWS,News Media,2018-08-01,sinarproject,Independent online news website
http://km.rfi.fr/,NEWS,News Media,2018-08-01,sinarproject,Independent online news website
https://kohsantepheapdaily.com.kh/,NEWS,News Media,2016-10-06,OONI,
http://mlup-baitong.org/,POLR,Political Criticism,2018-08-01,sinarproject,
https://news.e-khmer.com/,NEWS,News Media,2016-10-06,OONI,
http://nokorwatnews.com/,NEWS,News Media,2016-10-06,OONI,
https://www.pinterest.de/pin/408490628686118654/,GRP,Social Networking,2018-08-01,sinarproject,
http://phnompenhpride.blogspot.com/,LGBT,LGBT,2016-10-06,OONI,
http://rainforests.mongabay.com/20cambodia.htm,ENV,Environment,2016-10-06,OONI,
https://rsf.org/en/news/environmental-journalism-increasingly-hostile-climate,ENV,Environment,2016-10-06,OONI,
https://rsf.org/sites/default/IMG/pdf/rapport_environnement_en.pdf,ENV,Environment,2016-10-06,OONI,
http://stubes.info/onlain/italbGdoRW1hS2JrOGc,NEWS,News Media,2018-08-01,sinarproject,
http://www.adhoc-cambodia.org/,HUMR,Human Rights Issues,2016-10-06,OONI,
http://www.akppure.com/,NEWS,News Media,2018-08-01,sinarproject,Parked domain which was on 2018 official list of blocked sites for Cambodian elections
http://www.akp.gov.kh/,NEWS,News Media,2016-10-06,OONI,
https://www.altsean.org/,HUMR,Human Rights Issues,2018-08-01,sinarproject,
http://www.asiandatenet.com/dating/cambodia/1/,DATE,Online Dating,2016-10-06,OONI,
http://www.asiandating.com/,DATE,Online Dating,2016-10-06,OONI,
http://www.camboda.com/love.php,DATE,Online Dating,2016-10-06,OONI,
https://www.cambodiadaily.com/,NEWS,News Media,2016-09-17,cchr,Indepdenent online news website
http://www.cambodiantimes.com/,NEWS,News Media,2016-10-06,OONI,
http://www.camnews.org/,NEWS,News Media,2018-08-01,sinarproject,
http://www.ccfccambodia.org/,HUMR,Human Rights Issues,2018-08-01,sinarproject,
http://www.ccc-cambodia.org/,POLR,Political Criticism,2018-08-01,sinarproject,
http://www.ccc-cambodia.org/en/ngodb/ngo-information/666,POLR,Political Criticism,2018-08-01,sinarproject,
https://www.ccimcambodia.org/,POLR,Political Criticism,2018-08-01,sinarproject,
http://www.cen.com.kh/home,NEWS,News Media,2016-10-06,OONI,
https://www.central-cambodia.org/,HUMR,Human Rights Issues,2018-08-01,sinarproject,
http://www.cpp.org.kh/,GOVT,Government,2016-09-17,cchr,Current ruling political party
http://www.dap-news.com/,NEWS,News Media,2016-10-06,OONI,
http://www.dtn7.com/,NEWS,News Media,2018-08-01,sinarproject,   
https://www.facebook.com/cambodiapride/,LGBT,LGBT,2016-10-06,OONI,
http://www.facebook.com/cambodiapride/,LGBT,LGBT,2016-10-06,OONI,
http://www.freshnewsasia.com/,NEWS,News Media,2018-08-01,sinarproject,
https://www.forumsyd.org/sv,HUMR,Human Rights Issues,2018-08-01,sinarproject,
http://www.gadc.org.kh/,HUMR,Human Rights Issues,2018-08-01,sinarproject,
http://www.gaycambodianews.com/lgbt-pride-cambodia/,LGBT,LGBT,2016-10-06,OONI,
http://www.healthcambodia.org/,PUBH,Public Health,2016-10-06,OONI,
https://www.hrw.org/asia/cambodia,HUMR,Human Rights Issues,2016-10-06,OONI,
http://www.khmershare.news/,NEWS,News Media,2018-08-01,sinarproject,
http://www.kirivong.com/,NEWS,News Media,2016-10-06,OONI,
http://www.ksn-news.com/,NEWS,News Media,2016-10-06,OONI,
https://www.licadho-cambodia.org/,HUMR,Human Rights Issues,2016-10-06,OONI,
http://www.maristsolidaritycambodia.org/,POLR,Political Criticism,2018-08-01,sinarproject,
http://www.moneaksekar.com/,NEWS,News Media,2016-10-06,OONI,
http://www.movetocambodia.com/living-in-cambodia/love-and-family/gay-culture/,LGBT,LGBT,2016-10-06,OONI,
https://monoroom.info/,NEWS,News Media,2018-08-01,sinarproject,
http://www.ngoforum.org.kh/,POLR,Political Criticism,2018-08-01,sinarproject,
https://www.phnompenhpost.com/,NEWS,News Media,2016-10-06,OONI,
http://www.ponlokkhmer.org/,HUMR,Human Rights Issues,2018-08-01,sinarproject,
https://www.postkhmer.com/,NEWS,News Media,2018-08-01,sinarproject,
http://www.rfa.org/english/news/cambodia,NEWS,News Media,2016-10-06,OONI,
https://www.rsvp.com.au/browse/CAMBODIA.jsp,DATE,Online Dating,2016-10-06,OONI,
http://www.sabay.com.kh/,NEWS,News Media,2018-08-01,sinarproject,
http://www.thmeythmey.com/,NEWS,News Media,2018-08-01,sinarproject,
http://www.tv9.com.kh/,NEWS,News Media,2016-10-06,OONI,
http://www.wmc.org.kh/,NEWS,News Media,2018-08-01,sinarproject,
https://vayofm.com/,NEWS,News Media,2018-08-01,sinarproject,Reportedly blocked in 2018
https://www.voacambodia.com/,NEWS,News Media,2016-10-06,OONI,
http://www.voanews.com/a/report-calls-cambodia-deadliest-country-environmental-reporting/3095928.html,ENV,Environment,2016-10-06,OONI,
https://vodhotnews.com/,NEWS,News Media,2018-08-01,sinarproject,
http://www.watphnom-news.com/,NEWS,News Media,2016-10-06,OONI,
https://mekongict.org/,ECON,Economics,2017-09-07,MKICT,
https://www.camboja.net/,NEWS,News Media,2021-06-02,OONI,
https://cambojanews.com/,NEWS,News Media,2021-06-02,OONI,
https://khmer.cambojanews.com/,NEWS,News Media,2021-06-02,OONI,
https://vodenglish.news/,NEWS,News Media,2021-06-02,OONI,
https://vodkhmer.news/,NEWS,News Media,2021-06-02,OONI,
https://www.rfa.org/khmer/,NEWS,News Media,2021-06-02,OONI,Reportedly blocked in 2018
https://www.monorom.info/,NEWS,News Media,2021-06-02,OONI,Reportedly blocked in 2018
https://opendevelopmentcambodia.net/tag/independent-network-for-social-justice/,NEWS,News Media,2021-06-02,OONI,Reportedly blocked in 2018
http://vithyu.com/,NEWS,News Media,2021-06-02,OONI,Reportedly blocked in 2018
