url,category_code,category_description,date_added,source,notes
http://1004wing.com/,PORN,Pornography,2016-08-09,OONI partner,
http://2015peoplepower.tistory.com,POLR,Political Criticism,2016-08-09,OONI partner,
http://416family.org,POLR,Political Criticism,2016-08-09,OONI partner,
http://4shared.com,FILE,File-sharing,2016-08-09,OONI partner,
http://aadiabetes.com/,PORN,Pornography,2016-08-09,OONI partner,
http://act.jinbo.net/,NEWS,News Media,2016-08-09,OONI partner,
http://adb.org,ECON,Economics,2014-04-15,citizenlab,
http://addm77.com/,GMB,Gambling,2016-08-09,OONI partner,
http://agora.media.daum.net,NEWS,News Media,2014-04-15,citizenlab,
http://agora.media.daum.net/petition/view?id=40221,NEWS,News Media,2014-04-15,citizenlab,
http://aindf.dyndns.org,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://aindf.dyndns.org/kuguk8/Title1.htm,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://anjali.uncovered.com,PORN,Pornography,2014-04-15,citizenlab,
http://applefile.com,FILE,File-sharing,2016-08-09,OONI partner,
http://asiafriendfinder.com,DATE,Online Dating,2014-04-15,citizenlab,
http://asiansmaster.com,PORN,Pornography,2014-04-15,citizenlab,
http://banyalba.com/,PROV,Provocative Attire,2016-08-09,OONI partner,
http://base21.jinbo.net,NEWS,News Media,2014-04-15,citizenlab,
http://baykoreans.net,MMED,Media sharing,2016-08-09,OONI partner,
http://bestiz.net/,HOST,Hosting and Blogging Platforms,2016-08-09,OONI partner,
http://betasia.com,GMB,Gambling,2014-04-15,citizenlab,
http://bitsnoop.com,FILE,File-sharing,2016-08-09,OONI partner,
http://bizLGU.com,COMT,Communication Tools,2016-08-09,OONI partner,
http://bizmessage.kakao.com,COMT,Communication Tools,2016-08-09,OONI partner,
http://blog.daum.net,NEWS,News Media,2014-04-15,citizenlab,
http://blog.daum.net/pice265/7707627,NEWS,News Media,2014-04-15,citizenlab,
http://blog.jinbo.net/,POLR,Political Criticism,2016-08-09,OONI partner,
http://blog.naver.com,HOST,Hosting and Blogging Platforms,2016-08-09,OONI partner,
http://boja69.com/,PORN,Pornography,2016-08-09,OONI partner,
http://bommin.net/,GOVT,Government,2016-08-09,OONI partner,
http://bric.postech.ac.kr,PUBH,Public Health,2014-04-15,citizenlab,
http://cafe.daum.net,NEWS,News Media,2014-04-15,citizenlab,
http://cafe.daum.net/Kgreens,ENV,Environment,2016-08-09,OONI partner,
http://cafe.daum.net/ahyoomee,PUBH,Public Health,2016-08-09,OONI partner,
http://cafe.daum.net/amc21,HATE,Hate Speech,2016-08-09,OONI partner,
http://cafe.daum.net/antimb,NEWS,News Media,2014-04-15,citizenlab,
http://cafe.daum.net/chiwoo/,REL,Religion,2016-08-09,OONI partner,
http://cafe.daum.net/dacultureNO,HATE,Hate Speech,2016-08-09,OONI partner,
http://cafe.daum.net/libertyofthepress,NEWS,News Media,2016-08-09,OONI partner,
http://cafe.daum.net/ok1221,HOST,Hosting and Blogging Platforms,2016-08-09,OONI partner,
http://cafe.daum.net/pridecare,LGBT,LGBT,2014-04-15,citizenlab,
http://cafe.daum.net/seoulminart,CULTR,Culture,2016-08-09,OONI partner,
http://cafe.daum.net/ssaumjil,HOST,Hosting and Blogging Platforms,2016-08-09,OONI partner,
http://cafe.daum.net/stopcjd,NEWS,News Media,2016-08-09,OONI partner,
http://cafe.daum.net/subdued20club/,HOST,Hosting and Blogging Platforms,2016-08-09,OONI partner,
