url,category_code,category_description,date_added,source,notes
http://2ip.ru,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://4proxy.de,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://afftor.kz,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://ajur.kz,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://amen-khaidar.narod.ru,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://as-ansar.com,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://biggdi.com,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://blogos.kz,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://cars.com,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://caucase.wordpress.com,CULTR,Culture,2014-04-15,citizenlab,
http://cekcy.com/erotica.php,PORN,Pornography,2014-04-15,citizenlab,
http://citizentube.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://club.kz,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://comment-respublika.info,POLR,Political Criticism,2014-04-15,citizenlab,
http://comport.region.kz/forum/index.php,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://ct.kz,GRP,Social Networking,2014-04-15,citizenlab,
http://din-islam.ru,REL,Religion,2014-04-15,citizenlab,
http://djamal.wordpress.com,NEWS,News Media,2014-04-15,citizenlab,
http://djamalat.com,NEWS,News Media,2014-04-15,citizenlab,
http://dknews.kz,ECON,Economics,2014-04-15,citizenlab,
http://ferghana.ru,NEWS,News Media,2014-04-15,citizenlab,
http://forum.ntu.kz/showthread.php?t=79,GRP,Social Networking,2014-04-15,citizenlab,
http://forum.voinenet.ru,GOVT,Government,2014-04-15,citizenlab,
http://freeproxy.ru,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://freeuz.org,NEWS,News Media,2014-04-15,citizenlab,
http://gay.kz,LGBT,LGBT,2014-04-15,citizenlab,
http://gcup.ru,GAME,Gaming,2014-04-15,citizenlab,
http://guljan.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://hideme.ru,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://hidemyass.com,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://ik-media.info,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://inkar.info,NEWS,News Media,2014-04-15,citizenlab,
http://inosmikz.org,NEWS,News Media,2014-04-15,citizenlab,
http://islam.ru,REL,Religion,2014-04-15,citizenlab,
http://islamunveiled.livejournal.com,REL,Religion,2014-04-15,citizenlab,
http://janaozen.net,POLR,Political Criticism,2014-04-15,citizenlab,
http://kaztube.kz,MMED,Media sharing,2014-04-15,citizenlab,
http://kiss.kz,DATE,Online Dating,2014-04-15,citizenlab,
http://kiwi.kz,MMED,Media sharing,2014-04-15,citizenlab,
http://knpk.kz,POLR,Political Criticism,2014-04-15,citizenlab,
http://kplus-tv.net,POLR,Political Criticism,2014-04-15,citizenlab,
http://kt.kz,NEWS,News Media,2014-04-15,citizenlab,
http://kub.info,POLR,Political Criticism,2014-04-15,citizenlab,
http://kzinform.com,NEWS,News Media,2014-04-15,citizenlab,
http://kzmz.region.kz,MMED,Media sharing,2014-04-15,citizenlab,
http://lovebank.forever.kz,DATE,Online Dating,2014-04-15,citizenlab,
http://maps.google.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://megaupload.com,MMED,Media sharing,2014-04-15,citizenlab,
http://minber.kz,NEWS,News Media,2014-04-15,citizenlab,
http://mp3fun.forever.kz,MMED,Media sharing,2014-04-15,citizenlab,
http://namba.kz,GRP,Social Networking,2014-04-15,citizenlab,
http://navi.kz,NEWS,News Media,2014-04-15,citizenlab,
http://neweurasia.net,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://newsland.ru,NEWS,News Media,2014-04-15,citizenlab,
http://nuruddin-info.blogspot.com,REL,Religion,2014-04-15,citizenlab,
http://pavlodar.ru,GRP,Social Networking,2014-04-15,citizenlab,
http://photo.eo.kz,MMED,Media sharing,2014-04-15,citizenlab,
http://puls.kz,DATE,Online Dating,2014-04-15,citizenlab,
http://qazaq.kz,POLR,Political Criticism,2014-04-15,citizenlab,
http://rakhat.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://respublika-d2.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://respublika-kaz.info,POLR,Political Criticism,2014-04-15,citizenlab,
http://respublika-kaz.net,POLR,Political Criticism,2014-04-15,citizenlab,
http://respublika-kz.biz,POLR,Political Criticism,2014-04-15,citizenlab,
http://respublika-kz.blogspot.ru,POLR,Political Criticism,2014-04-15,citizenlab,
http://respublika-kz.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://sarap.kz,POLR,Political Criticism,2014-04-15,citizenlab,
http://socialismkz.info,POLR,Political Criticism,2014-04-15,citizenlab,
http://stan.tv,POLR,Political Criticism,2014-04-15,citizenlab,
http://thenews.kz,SRCH,Search Engines,2014-04-15,citizenlab,
http://time.kz,NEWS,News Media,2014-04-15,citizenlab,
http://twitter.com/roo_omp,POLR,Political Criticism,2014-04-15,citizenlab,
http://vesti.kz,NEWS,News Media,2014-04-15,citizenlab,
http://vse.kz,GRP,Social Networking,2014-04-15,citizenlab,
http://vstrecha.kz,DATE,Online Dating,2014-04-15,citizenlab,
http://webvpn.org,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://webwarper.net,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
http://www.31.kz,NEWS,News Media,2014-04-15,citizenlab,
http://www.ablyazov.info,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.adilsoz.kz,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.adultdvdhits.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.aif.kz,NEWS,News Media,2014-04-15,citizenlab,
http://www.akorda.kz,CULTR,Culture,2014-04-15,citizenlab,
http://www.aljazeera.com,NEWS,News Media,2014-04-15,citizenlab,
http://www.almatinki.com,PROV,Provocative Attire,2014-04-15,citizenlab,
http://www.apn.kz,NEWS,News Media,2014-04-15,citizenlab,
http://www.astana.kz,CULTR,Culture,2014-04-15,citizenlab,
http://www.astaninki.com,PROV,Provocative Attire,2014-04-15,citizenlab,
http://www.asylmura.kz,MMED,Media sharing,2014-04-15,citizenlab,
http://www.award.kz,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://www.azattyq.org,NEWS,News Media,2014-04-15,citizenlab,
http://www.baiterek.kz,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.better.kz,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://www.blog.kz,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://www.boratdvd.com,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://www.bureau.kz,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://www.centrasia.ru,NEWS,News Media,2014-04-15,citizenlab,
http://www.contur.kz,CULTR,Culture,2014-04-15,citizenlab,
http://www.dialog.kz,NEWS,News Media,2014-04-15,citizenlab,
http://www.dumaem.ru,CULTR,Culture,2014-04-15,citizenlab,
http://www.eroman.ru,PORN,Pornography,2014-04-15,citizenlab,
http://www.eurasia.org.ru,NEWS,News Media,2014-04-15,citizenlab,
http://www.express-k.kz,NEWS,News Media,2014-04-15,citizenlab,
http://www.ferghana.ru,NEWS,News Media,2014-04-15,citizenlab,
http://www.fgulen.org,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://www.freeas.org,NEWS,News Media,2014-04-15,citizenlab,
http://www.gazeta.kz,NEWS,News Media,2014-04-15,citizenlab,
http://www.geo.kz,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://www.geokz.tv,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://www.globalvoicesonline.org/-/world/central-asia-caucasus/kazakhstan/,NEWS,News Media,2014-04-15,citizenlab,
http://www.halykbank.kz,COMM,E-commerce,2014-04-15,citizenlab,
http://www.hizbuttahrir.org,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://www.iloveyou.kz,DATE,Online Dating,2014-04-15,citizenlab,
http://www.iwpr.net/?apc_state=henprca&l=ru&p=rca&s=p,NEWS,News Media,2014-04-15,citizenlab,
http://www.kazbio.info,CULTR,Culture,2014-04-15,citizenlab,
http://www.kazrena.kz,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://www.kazsu.kz,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://www.kstu.kz,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://www.kub.kz,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://www.kursiv.kz,COMM,E-commerce,2014-04-15,citizenlab,
http://www.kzblog.net,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://www.lenta.cjes.ru,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.liveinternet.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://www.medialaw.kz,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.medianet.kz,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.mediaprovinces.kz,NEWS,News Media,2014-04-15,citizenlab,
http://www.meta.kz,NEWS,News Media,2014-04-15,citizenlab,
http://www.mp3music.kz,MMED,Media sharing,2014-04-15,citizenlab,
http://www.muftyat.kz,REL,Religion,2014-04-15,citizenlab,
http://www.neonomad.kz,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://www.newsfactory.kz,NEWS,News Media,2014-04-15,citizenlab,
http://www.newsline.kz/index.php,NEWS,News Media,2014-04-15,citizenlab,
http://www.nomad.su,NEWS,News Media,2014-04-15,citizenlab,
http://www.np.freenet.kz,GOVT,Government,2014-04-15,citizenlab,
http://www.npdvk.kz,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.nur.kz,GRP,Social Networking,2014-04-15,citizenlab,
http://www.osdp.kz,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.padonki.org,HATE,Hate Speech,2014-04-15,citizenlab,
http://www.palestine-info.info,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://www.panorama.kz,NEWS,News Media,2014-04-15,citizenlab,
http://www.parkhomenko.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.presscenter.kz,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://www.radiomayak.ru,NEWS,News Media,2014-04-15,citizenlab,
http://www.respublika.kz,NEWS,News Media,2014-04-15,citizenlab,
http://www.russians.kz,CULTR,Culture,2014-04-15,citizenlab,
http://www.salam.kz/16790.aspx,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://www.sanasezim.freenet.kz,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://www.spik.kz,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.strana.kz,DATE,Online Dating,2014-04-15,citizenlab,
http://www.titus.kz,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://www.titus.kz/?type=krkor&previd=138429592046cf5bf3,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://www.tns-global.kz/ru/,COMM,E-commerce,2014-04-15,citizenlab,
http://www.toiganbayev.kz,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://www.transparencykazakhstan.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.whorevideos.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.xgate.kz,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://www.yandex.kz,SRCH,Search Engines,2014-04-15,citizenlab,
http://www.zonakz.net,NEWS,News Media,2014-04-15,citizenlab,
http://yvision.kz,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://www.bbc.com/kyrgyz/,NEWS,News Media,2017-07-19,BBC,
http://www.bbckyrgyz.com,NEWS,News Media,2017-07-19,BBC,
http://www.bbc.com/uzbek/,NEWS,News Media,2017-07-19,BBC,
http://www.bbzuzbek.com,NEWS,News Media,2017-07-19,BBC,
