url,category_code,category_description,date_added,source,notes
http://www.soul.co.ls/,NEWS,News Media,2017-06-09,OONI partner,
http://misa.org.ls/,NEWS,News Media,2017-06-09,OONI partner,
http://www.lestimes.com/,NEWS,News Media,2017-06-09,OONI,
http://informativenews.co.ls/,NEWS,News Media,2017-06-09,OONI,
http://www.publiceyenews.com/,NEWS,News Media,2017-06-09,OONI,
http://sundayexpress.co.ls/,NEWS,News Media,2017-06-09,OONI,
http://www.thepost.co.ls/,NEWS,News Media,2017-06-09,OONI,
https://www.amnesty.org/en/countries/africa/lesotho/report-lesotho/,HUMR,Human Rights Issues,2017-06-09,OONI,
https://www.state.gov/documents/organization/252907.pdf,HUMR,Human Rights Issues,2017-06-09,OONI,
https://www.hrw.org/africa/lesotho,HUMR,Human Rights Issues,2017-06-09,OONI,
