url,category_code,category_description,date_added,source,notes
http://www.ircam.ma/,GOVT,Government,2014-04-15,citizenlab,The website of the Royal Institute of the Amazigh Culture is under a royal decree of King Mohammed VI (Dahir (royal decree) number 1-01-299)
http://www.amazighworld.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,The website has a whole section on human rights of amazigh in Morocco and its the most updated section
http://www.saharalibre.es/,POLR,Political Criticism,2014-04-15,citizenlab,"The website provides context, news and a forum for the Sahara issue"
http://www.profesionalespcm.org/,POLR,Political Criticism,2014-04-15,citizenlab,"The website description ""Web site for information, training, debate and revolutionary, multidisciplinary, ecologist, humanist, scientific, anti-capitalist and Marxist collective action of the NUCLEUS OF PROFESSIONALS AND TECHNICIANS of the Communist Party of Madrid -"""
http://www.ahewar.org/,POLR,Political Criticism,2014-04-15,citizenlab,could be news and media but more its political criticism
http://www.sg-ecam.org/,REL,Religion,2014-04-15,citizenlab,"This is website about catholic education in Morocco, schools, programs, history, activities, etc"
http://www.mimouna.net/,REL,Religion,2014-04-15,citizenlab,"The website is about Jewish in Morocco history, tradition, culture, etc"
http://www.faithfreedom.org/,REL,Religion,2014-04-15,citizenlab,The website is anti Islam website
http://www.dioceserabat.org/,REL,Religion,2014-04-15,citizenlab,The website is CATHOLIC CHURCH IN MOROCCO
http://www.bahai.com/,REL,Religion,2014-04-15,citizenlab,
http://www.bahai-faith.org/,REL,Religion,2014-04-15,citizenlab,
http://www.intifadamay.com/,NEWS,News Media,2014-04-15,citizenlab,"The website covers news on the what it described as ""occupied land"" refering to western Sahara. The website was last saved on internet archive in December 2018 but currently the server is not functioning. "
http://www.sahara-occidental.com/,CULTR,Culture,2014-04-15,citizenlab,The website is not a media website but rather a documentation of the history behind the western Sahara in Morocco/ its also have not been updated since 2006
http://www.vastsahara.org/,POLR,Political Criticism,2014-04-15,citizenlab,This the website of Swedish Solidarity movenment with Western Sahara
https://www.vest-sahara.no/,POLR,Political Criticism,2014-04-15,citizenlab,The website is for Norwegian Solidarity movenment with Western Sahara
https://www.congres-mondial-amazigh.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,The website is for an NGO that promotes and defend amazigh rights
https://dafina.net/,REL,Religion,2014-04-15,citizenlab,The website is a network of Jewish Moroccons to meet and promote their culture
https://www.alamana.org.ma/,ECON,Economics,2014-04-15,citizenlab,
https://www.pjd.ma/,POLR,Political Criticism,2014-04-15,citizenlab,
https://www.ikhwanonline.com/,POLR,Political Criticism,2014-04-15,citizenlab,
https://attacmaroc.org/,POLR,Political Criticism,2014-04-15,citizenlab,
https://highatlasfoundation.org/,ENV,Environment,2014-04-15,citizenlab,
https://www.yabiladi.com/,NEWS,News Media,2014-04-15,citizenlab,
https://www.spsrasd.info/,NEWS,News Media,2014-04-15,citizenlab,
https://www.saharamedias.net/,NEWS,News Media,2014-04-15,citizenlab,
https://www.hespress.com/,NEWS,News Media,2014-04-15,citizenlab,
https://unem.net/,NEWS,News Media,2014-04-15,citizenlab,
https://saharaoccidental.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,
https://nawaat.org/portail/,NEWS,News Media,2014-04-15,citizenlab,
https://maroc-hebdo.press.ma/,NEWS,News Media,2014-04-15,citizenlab,
https://www.ikhwanweb.com/,POLR,Political Criticism,2014-04-15,citizenlab,
https://www.aljamaa.net/,POLR,Political Criticism,2014-04-15,citizenlab,
https://www.arabicbible.com/,REL,Religion,2014-04-15,citizenlab,
https://www.alnour.com/,REL,Religion,2014-04-15,citizenlab,
https://the-good-way.com/,REL,Religion,2014-04-15,citizenlab,
https://www.sahab.net/,MILX,Terrorism and Militants,2014-04-15,citizenlab,monitor
http://www.omdh.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,problem with site. Keep monitoring
http://www.mondeberbere.com/,NEWS,News Media,2014-04-15,citizenlab,problem with site. Keep monitoring
http://goufia.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,problem with site. Keep monitoring
http://www.saharamarathon.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.tamazgha.fr/,NEWS,News Media,2014-04-15,citizenlab,
http://www.emarrakech.info/,NEWS,News Media,2014-04-15,citizenlab,
http://www.arso.org/,NEWS,News Media,2014-04-15,citizenlab,
http://www.algerie-dz.com/,NEWS,News Media,2014-04-15,citizenlab,Algerian News
http://telexpresse.com/,NEWS,News Media,2014-04-15,citizenlab,
http://riadzany.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,
http://www.rami.tv/,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.alislah.ma/,POLR,Political Criticism,2014-04-15,citizenlab,
http://annahjaddimocrati.org/,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.thequran.com/,REL,Religion,2014-04-15,citizenlab,
http://www.thekoran.com/,REL,Religion,2014-04-15,citizenlab,
http://www.nicolas.ma/,ALDR,Alcohol & Drugs,2019-07-09,Netalitica,
https://www.drinks.ma/,ALDR,Alcohol & Drugs,2019-07-09,Netalitica,
https://www.lesvignesdelagdal.com/,ALDR,Alcohol & Drugs,2019-07-09,Netalitica,
https://www.solostocks.ma/,ALDR,Alcohol & Drugs,2019-07-09,Netalitica,Online marketplace that sells alcohol
https://www.adam-boissons.fr/,ALDR,Alcohol & Drugs,2019-07-09,Netalitica,Online marketplace
https://www.cyber-arabs.com/,ANON,Anonymization and circumvention tools,2019-07-09,Netalitica,
https://mahjooob.com/,ANON,Anonymization and circumvention tools,2019-07-09,Netalitica,
https://www.toopenblockedsites.com/,ANON,Anonymization and circumvention tools,2019-07-09,Netalitica,
http://www.arabprogs.com/,ANON,Anonymization and circumvention tools,2019-07-09,Netalitica,
https://www.arabichotspotshield.com/,ANON,Anonymization and circumvention tools,2019-07-09,Netalitica,
https://nottrees.com/,ANON,Anonymization and circumvention tools,2019-07-09,Netalitica,
https://salamatechwiki.org/,ANON,Anonymization and circumvention tools,2019-07-09,Netalitica,
https://www.salamatech.org/,ANON,Anonymization and circumvention tools,2019-07-09,Netalitica,
https://weneedprivacy.com/,ANON,Anonymization and circumvention tools,2019-07-09,Netalitica,
https://xn--ngbsg7dyao.xyz/,ANON,Anonymization and circumvention tools,2019-07-09,Netalitica,
http://www.proxyarab.com/,ANON,Anonymization and circumvention tools,2019-07-09,Netalitica,
https://www.proteachin.com/,ANON,Anonymization and circumvention tools,2019-07-09,Netalitica,
https://asl19.org/ar/,ANON,Anonymization and circumvention tools,2019-07-09,Netalitica,
https://www.aliexpress.com/,COMM,E-commerce,2019-07-09,Netalitica,Online Marketplace available in Morocco
https://www.avito.ma/,COMM,E-commerce,2019-07-09,Netalitica,Online Marketplace/ Morocco
https://www.jumia.ma/,COMM,E-commerce,2019-07-09,Netalitica,Online Marketplace/ Morocco
http://alwadifa-maroc.com/,COMM,E-commerce,2019-07-09,Netalitica,Employment website/ Morocco
