url,category_code,category_description,date_added,source,notes
http://022.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://900.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://999.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://actiunea2012.ro,NEWS,News Media,2014-04-15,citizenlab,
http://aif.md,NEWS,News Media,2014-04-15,citizenlab,
http://alerte.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://alltiras.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://amor.md,DATE,Online Dating,2014-04-15,citizenlab,
http://ateco.org.md,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://avto-pmr.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://bagirov.livejournal.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://biblionline.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://blog.myspace.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://blogs.euobserver.com/popescu/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://blogs.washingtonpost.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://cenusadi.wordpress.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://cetatenie.info.tm/index.php,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://cezarsalahor.wordpress.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://chatadelic.net/chat/11780,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://chisinau.mae.ro,GOVT,Government,2014-04-15,citizenlab,
http://cimislia.net,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://club-cdma.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://colegi.md,GRP,Social Networking,2014-04-15,citizenlab,
http://compass.mcc.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://comunist.md,NEWS,News Media,2014-04-15,citizenlab,
http://consiliulong.md,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://cubreacov.wordpress.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://deca.md,NEWS,News Media,2014-04-15,citizenlab,
http://dnestr.tv,POLR,Political Criticism,2014-04-15,citizenlab,
http://dniester.ru,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://dodon.md,POLR,Political Criticism,2014-04-15,citizenlab,
http://eeas.europa.eu/delegations/moldova/,POLR,Political Criticism,2014-04-15,citizenlab,
http://elim.com.md,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://es-pmr.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://eshevchuk.ru,POLR,Political Criticism,2014-04-15,citizenlab,
http://euobserver.com,NEWS,News Media,2014-04-15,citizenlab,
http://fiicredincios.wordpress.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://forum-pmr.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://forum-pmr.net,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://forum.idknet.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://forum.pridnestrovie.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://fotoclub-pmr.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://freemasons.meetup.com,GRP,Social Networking,2014-04-15,citizenlab,
http://freetorrmd.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://game.portal.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://ghenadiebrega.wordpress.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://globterra.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://grenada.md,NEWS,News Media,2014-04-15,citizenlab,
http://humanrightsembassy.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://iurierosca.md,POLR,Political Criticism,2014-04-15,citizenlab,
http://logos.press.md,NEWS,News Media,2014-04-15,citizenlab,
http://love.gay.ru,LGBT,LGBT,2014-04-15,citizenlab,
http://love.rambler.ru,DATE,Online Dating,2014-04-15,citizenlab,
http://mamba.md,DATE,Online Dating,2014-04-15,citizenlab,
http://marykay.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://mem.md,ENV,Environment,2014-04-15,citizenlab,
http://memoria.md,POLR,Political Criticism,2014-04-15,citizenlab,
http://minfin-pmr.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://minjust.org/web.nsf,POLR,Political Criticism,2014-04-15,citizenlab,
http://mo.wikipedia.org,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://mobiboom.md/index.php,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://moldova-italia.com,GRP,Social Networking,2014-04-15,citizenlab,
http://moldova.go.ro,CULTR,Culture,2014-04-15,citizenlab,
http://moldova.org,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://moldova.usaid.gov,POLR,Political Criticism,2014-04-15,citizenlab,
http://moldovacrestina.tv,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://moldovean.eu,NEWS,News Media,2014-04-15,citizenlab,
https://moldpay.md/?lang=ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://muligambia.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://mvdpmr.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://nanoteh.md,COMM,E-commerce,2014-04-15,citizenlab,
http://natmorar.livejournal.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://nediscriminare.md,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://news.bbc.co.uk/hi/russian/news/default.stm,NEWS,News Media,2014-04-15,citizenlab,
http://news.yam.ro,NEWS,News Media,2014-04-15,citizenlab,
http://newspmr.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://nistru.net,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://nit.md,NEWS,News Media,2014-04-15,citizenlab,
http://nm.md,NEWS,News Media,2014-04-15,citizenlab,
http://novaiagazeta.org.ru,POLR,Political Criticism,2014-04-15,citizenlab,
http://npopescu.yam.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://npopescu.yam.ro,POLR,Political Criticism,2014-04-15,citizenlab,
http://nr2.ru/pmr/,POLR,Political Criticism,2014-04-15,citizenlab,
http://obnovlenie.info,POLR,Political Criticism,2014-04-15,citizenlab,
http://omg.md,NEWS,News Media,2014-04-15,citizenlab,
http://play.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://pmr-gov.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://pmrdom.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://politicom.moldova.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://politik.md,NEWS,News Media,2014-04-15,citizenlab,
http://president.pmr-gov.org/zakon/,POLR,Political Criticism,2014-04-15,citizenlab,
http://prime.md,NEWS,News Media,2014-04-15,citizenlab,
http://pro-unire.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
http://qp.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://rabota-pmr.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://radiopmr.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://referate.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://referate.narod.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://referendum.md,POLR,Political Criticism,2014-04-15,citizenlab,
http://ria.ru,NEWS,News Media,2014-04-15,citizenlab,
http://rinok.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://romaniaandmoldova.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://rutracker.org,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://selin.md,POLR,Political Criticism,2014-04-15,citizenlab,
http://sim.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://sindicate.md,POLR,Political Criticism,2014-04-15,citizenlab,
http://socialistii.md,POLR,Political Criticism,2014-04-15,citizenlab,
http://stanisecrieru.blogspot.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://stiricrestine.md,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://tiras.ru,POLR,Political Criticism,2014-04-15,citizenlab,
http://tiraspol.net,MILX,Terrorism and Militants,2014-04-15,citizenlab,
http://topdownloads.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://trackerpmr.com/forum/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://tribuna.md,NEWS,News Media,2014-04-15,citizenlab,
http://tudordarie.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://unimedia.md,NEWS,News Media,2014-04-15,citizenlab,
http://valerucio.wordpress.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://vk.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://vloslex.blogspot.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://vox.publika.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://vox.publika.md/bogdan-tirdea,POLR,Political Criticism,2014-04-15,citizenlab,
http://vox.publika.md/oleg-cristal,POLR,Political Criticism,2014-04-15,citizenlab,
http://vozrojdenie-pmr.ru,POLR,Political Criticism,2014-04-15,citizenlab,
http://war.freemd.info,POLR,Political Criticism,2014-04-15,citizenlab,
http://webman.ru/jewishmagazine/internet_moldova.htm,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.adevarul.ro,NEWS,News Media,2014-04-15,citizenlab,
http://www.adventist.md,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.agenda.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://www.aids.md,PUBH,Public Health,2014-04-15,citizenlab,
http://www.aif.ru,NEWS,News Media,2014-04-15,citizenlab,
http://www.alegeri.md,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.alianta.md,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.all4office.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://www.alllife.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://www.allmoldova.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://www.amnesty.md,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.antimafie.md,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.api.md,NEWS,News Media,2014-04-15,citizenlab,
http://www.apn.ru,NEWS,News Media,2014-04-15,citizenlab,
http://www.askafreemason.org,REL,Religion,2014-04-15,citizenlab,
http://www.avocatul.md,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.avon.md,COMM,E-commerce,2014-04-15,citizenlab,
http://www.azi.md/index.php,NEWS,News Media,2014-04-15,citizenlab,
http://www.basarabeni.ro,NEWS,News Media,2014-04-15,citizenlab,
http://www.basarabia91.net,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.bbc.co.uk,NEWS,News Media,2014-04-15,citizenlab,
http://www.beltsy.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://www.beltsymd.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://www.bestlibrary.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://www.blogosfera.md,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
