url,category_code,category_description,date_added,source,notes
http://lappeldugriot.mondoblog.org/,REL,Religion,2017-07-19,OONI partner,
http://www.religion-facts.com/,REL,Religion,2017-07-19,OONI partner,
http://www.la-croix.com/,REL,Religion,2017-07-19,OONI partner,
http://www.amnestymali.org/,HUMR,Human Rights Issues,2017-07-19,OONI partner,
http://www.vedura.fr/,ENV,Environment,2017-07-19,OONI partner,
http://www.siemenpuu.org/,ENV,Environment,2017-07-19,OONI partner,
http://www.cariassociation.org/,ENV,Environment,2017-07-19,OONI partner,
http://www.secheresse.info/,ENV,Environment,2017-07-19,OONI partner,
http://www.preventionweb.net/,ENV,Environment,2017-07-19,OONI partner,
http://maliactu.net/,NEWS,News Media,2017-07-19,OONI partner,
http://malijet.com/,NEWS,News Media,2017-07-19,OONI partner,
http://www.journaldumali.com/,NEWS,News Media,2017-07-19,OONI partner,
http://www.maliweb.net/,NEWS,News Media,2017-07-19,OONI partner,
https://mediasaumali.wordpress.com/,NEWS,News Media,2017-07-19,OONI partner,
http://www.kunafoni.com/,NEWS,News Media,2017-07-19,OONI partner,
http://www.abamako.com/,NEWS,News Media,2017-07-19,OONI partner,
https://www.rhhm.net/,NEWS,News Media,2017-07-19,OONI partner,
http://www.education.gouv.fr/,XED,Sex Education,2017-07-19,OONI partner,
http://www.sante.gov.ml/,PUBH,Public Health,2017-07-19,OONI partner,
http://www.who.int/countries/mli/fr/,PUBH,Public Health,2017-07-19,OONI partner,
http://www.portail-humanitaire.org/,PUBH,Public Health,2017-07-19,OONI partner,
http://www.keneya.net/,PUBH,Public Health,2017-07-19,OONI partner,
https://www.celibatairesduweb.com/,DATE,Online Dating,2017-07-19,OONI partner,
http://www.meetcrunch.com/,DATE,Online Dating,2017-07-19,OONI partner,
http://www.pointscommuns.com/,DATE,Online Dating,2017-07-19,OONI partner,
http://www.zoover.fr/,MMED,Media sharing,2017-07-19,OONI partner,
http://amisdumali.com/,MMED,Media sharing,2017-07-19,OONI partner,
http://mondoblog.org/,HOST,Hosting and Blogging Platforms,2017-07-19,OONI partner,
http://www.emergence-mali.com/,CULTR,Culture,2017-07-19,OONI partner,
http://www.etonnants-voyageurs.com/,CULTR,Culture,2017-07-19,OONI partner,
http://www.bamako-culture.org/,CULTR,Culture,2017-07-19,OONI partner,
http://www.editions-harmattan.fr/,CULTR,Culture,2017-07-19,OONI partner,
http://www.rentreelitterairedumali.org/,CULTR,Culture,2017-07-19,OONI partner,
http://www.gbich.com/,CULTR,Culture,2017-07-19,OONI partner,
http://www.finances.gouv.ml/,ECON,Economics,2017-07-19,OONI partner,
http://www.gouv.ml/,GOVT,Government,2017-07-19,OONI partner,
http://demarchesadministratives.gouv.ml/,GOVT,Government,2017-07-19,OONI partner,
http://www.primature.gov.ml/,GOVT,Government,2017-07-19,OONI partner,
http://www.mefp.gov.ml/,GOVT,Government,2017-07-19,OONI partner,
https://www.sortlist.com/,COMM,E-commerce,2017-07-19,OONI partner,
http://www.orangemali.com/,COMM,E-commerce,2017-07-19,OONI partner,
http://www.malitel.ml/,COMM,E-commerce,2017-07-19,OONI partner,
http://www.dfacom.net/,COMM,E-commerce,2017-07-19,OONI partner,
http://www.ml.dhl.com/,COMM,E-commerce,2017-07-19,OONI partner,
http://www.unesco.org/,IGO,Intergovernmental Organizations,2017-07-19,OONI partner,
https://www.iom.int/,IGO,Intergovernmental Organizations,2017-07-19,OONI partner,
