url,category_code,category_description,date_added,source,notes
http://181bayintnaung.blogspot.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://7monkeys.blogspot.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://8888linker.blogspot.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://969movement.org/,HATE,Hate Speech,2016-10-17,MIDO,969 Anti-Muslim Movement
http://a-lwan-dway-wai.blogspot.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://abfsu.net,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://absdf8888.org,POLR,Political Criticism,2014-04-15,citizenlab,
http://absdfau.blogspot.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://aclmdy.blogspot.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://adb.org,ECON,Economics,2014-04-15,citizenlab,
http://agdbank.com,COMM,E-commerce,2016-10-18,MIDO,AGD Bank
http://ainchannmyay.blogspot.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://ainmetdiary.blogspot.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://angwei.blogspot.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://anjali.uncovered.com,PORN,Pornography,2014-04-15,citizenlab,
http://aragonjune.blogspot.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://arakanhrdo.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://arakanna.com,NEWS,News Media,2016-10-18,MIDO,Rakhine Ethnic Media
http://arakanoilwatch.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://arakantimes.net/burmese/,NEWS,News Media,2014-04-15,citizenlab,
http://arloo.blogspot.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://arrbyai.blogspot.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://art-of-myheart.blogspot.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://artixlin.blogspot.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://ashinkumara.blogspot.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://asia.wsj.com/public/page/opinionasia.html,NEWS,News Media,2014-04-15,citizenlab,
http://asiafriendfinder.com,DATE,Online Dating,2014-04-15,citizenlab,
http://asiansmaster.com,PORN,Pornography,2014-04-15,citizenlab,
http://asiapacific.ifj.org/en,NEWS,News Media,2014-04-15,citizenlab,
http://au.groups.yahoo.com,GRP,Social Networking,2014-04-15,citizenlab,
