url,category_code,category_description,date_added,source,notes
http://123moviesfreez.com/,FILE,File-sharing,2017-06-23,OONI,Included in Mongolia's official blocklist
http://16honeys.com/,PORN,Pornography,2017-06-23,OONI,Included in Mongolia's official blocklist
https://www.news.mn/,NEWS,News Media,2017-06-23,OONI,
http://medee.mn/,NEWS,News Media,2017-06-23,OONI,
http://www.caak.mn/,SRCH,Search Engines,2017-06-23,OONI,
http://olloo.mn/,NEWS,News Media,2017-06-23,OONI,
http://eagle.mn/,NEWS,News Media,2017-06-23,OONI,
http://www.shuud.mn/,NEWS,News Media,2017-06-23,OONI,
http://sonin.mn/,NEWS,News Media,2017-06-23,OONI,
http://www.24tsag.mn/,NEWS,News Media,2017-06-23,OONI,
http://mnb.mn/,NEWS,News Media,2017-06-23,OONI,
http://paparatsi.mn/,CULTR,Culture,2017-06-23,OONI,
http://zone.mn/,NEWS,News Media,2017-06-23,OONI,
http://dorgio.mn/,NEWS,News Media,2017-06-23,OONI,
http://time.mn/,NEWS,News Media,2017-06-23,OONI,
http://shuurhai.mn/,NEWS,News Media,2017-06-23,OONI,
http://zindaa.mn/,NEWS,News Media,2017-06-23,OONI,
http://mminfo.mn/,NEWS,News Media,2017-06-23,OONI,
http://everyday.mn/,NEWS,News Media,2017-06-23,OONI,
http://sharsonin.com/,NEWS,News Media,2017-06-23,OONI,
http://tsag.mn/,NEWS,News Media,2017-06-23,OONI,
http://ugluu.mn/,NEWS,News Media,2017-06-23,OONI,
http://bolod.mn/,NEWS,News Media,2017-06-23,OONI,
http://goolingoo.mn/,SRCH,Search Engines,2017-06-23,OONI,
http://assa.mn/,NEWS,News Media,2017-06-23,OONI,
http://sportnews.mn/,NEWS,News Media,2017-06-23,OONI,
http://bataar.mn/,NEWS,News Media,2017-06-23,OONI,
http://wikimon.mn/,NEWS,News Media,2017-06-23,OONI,
http://chuhal.mn/,NEWS,News Media,2017-06-23,OONI,
http://factnews.mn/,NEWS,News Media,2017-06-23,OONI,
http://undesten.mn/,NEWS,News Media,2017-06-23,OONI,
http://dnn.mn/,NEWS,News Media,2017-06-23,OONI,
http://unen.mn/,NEWS,News Media,2017-06-23,OONI,
http://mongolnews.mn/,NEWS,News Media,2017-06-23,OONI,
http://mglclub.com/,SRCH,Search Engines,2017-06-23,OONI,
http://orloo.info/,NEWS,News Media,2017-06-23,OONI,
http://vip76.mn/,NEWS,News Media,2017-06-23,OONI,
http://photonews.mn/,NEWS,News Media,2017-06-23,OONI,
http://shudarga.mn/,NEWS,News Media,2017-06-23,OONI,
http://info.mn/,NEWS,News Media,2017-06-23,OONI,
http://mass.mn/,NEWS,News Media,2017-06-23,OONI,
http://mglradio.com/,NEWS,News Media,2017-06-23,OONI,
http://mnews.mn/,NEWS,News Media,2017-06-23,OONI,
http://gogo.mn/,SRCH,Search Engines,2017-06-23,OONI,
http://www.ikon.mn/,NEWS,News Media,2017-06-23,OONI,
http://www.smhric.org/,HUMR,Human Rights Issues,2017-06-23,OONI,
https://www.hrw.org/asia/mongolia,HUMR,Human Rights Issues,2017-06-23,OONI,
https://www.amnesty.org/en/countries/asia-and-the-pacific/mongolia/report-mongolia/,HUMR,Human Rights Issues,2017-06-23,OONI,
http://mn-nhrc.org/eng/,HUMR,Human Rights Issues,2017-06-23,OONI,
https://www.amnestyusa.org/countries/mongolia/,HUMR,Human Rights Issues,2017-06-23,OONI,
http://chrd.org.mn/,HUMR,Human Rights Issues,2017-06-23,OONI,
http://www.globeinter.org.mn/,HUMR,Human Rights Issues,2017-06-23,OONI,
http://www.equaldex.com/region/mongolia,LGBT,LGBT,2017-06-23,OONI,
http://lgbtcentre.mn/,LGBT,LGBT,2017-06-23,OONI,
http://www.amjilt.com/,NEWS,News Media,2017-06-23,OONI,Blocked about 2 years ago
