url,category_code,category_description,date_added,source,notes
http://4moslem.mail.everyone.net,COMT,Communication Tools,2014-04-15,citizenlab,
http://abdalladiery.blogspot.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://actume.org,PUBH,Public Health,2014-04-15,citizenlab,
http://ahlulbait12.jeeran.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://ajd.ifrance.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://albrhan.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://alhag.net,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://allafrica.com/mauritania/,NEWS,News Media,2014-04-15,citizenlab,
http://alsaha.com,NEWS,News Media,2014-04-15,citizenlab,
http://angryarab.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
http://answering-islam.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://answering-islam.org/Arabic/index.html,REL,Religion,2014-04-15,citizenlab,
http://arabdl.com,FILE,File-sharing,2014-04-15,citizenlab,
http://arabic.peopledaily.com.cn,NEWS,News Media,2014-04-15,citizenlab,
http://arabsex2.com,PORN,Pornography,2014-04-15,citizenlab,
http://ayaanhirsiali.web-log.nl,NEWS,News Media,2014-04-15,citizenlab,
http://ayaanhirsiali.web-log.nl/ayaanhirsiali/english/index.html,NEWS,News Media,2014-04-15,citizenlab,
http://bbcarabic.com,NEWS,News Media,2014-04-15,citizenlab,
http://blogs.albawaba.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://blogs.nouvelobs.com/Boolumbal/,POLR,Political Criticism,2014-04-15,citizenlab,
http://blogs.nouvelobs.com/Kaaw,POLR,Political Criticism,2014-04-15,citizenlab,
http://chakahafed.ifrance.com/modules/mylinks/visit.php?cid=1&lid=1,NEWS,News Media,2014-04-15,citizenlab,
http://chbihpresident2007.bloguez.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://confidentielmr.blogspot.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://contre-x.blogspot.com,POLR,Political Criticism,2014-04-15,citizenlab,
http://countrystudies.us/mauritania/,NEWS,News Media,2014-04-15,citizenlab,
http://de.geocities.com/chinghit2/,REL,Religion,2014-04-15,citizenlab,
http://djeol.free.fr,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://eljoud.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/1989_Events_in_Mauritania,NEWS,News Media,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Action_for_Change,NEWS,News Media,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/African_Liberation_Forces_of_Mauritania,NEWS,News Media,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Al-Mithaq,NEWS,News Media,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Baath,NEWS,News Media,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/LGBT_rights_in_Mauritania,LGBT,LGBT,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/List_of_political_parties_in_Mauritania,NEWS,News Media,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Mauritania,NEWS,News Media,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Morocco,NEWS,News Media,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Polisario,NEWS,News Media,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Rally_of_Democratic_Forces,NEWS,News Media,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Status_of_religious_freedom_in_Mauritania,NEWS,News Media,2014-04-15,citizenlab,
