url,category_code,category_description,date_added,source,notes
http://200.38.62.10/boletin_ombudsman/boletin2/indexx.php,HUMR,Human rights,2014-04-15,citizenlab,
http://200.38.62.10/mujeres/doc_basicos.html,WOMR,Women's rights,2014-04-15,citizenlab,
http://216.240.136.6:8000/frecuencialibre.mp3.m3u,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://alternativa-chiapas.blogspot.com,POLT,Political transformation,2014-04-15,citizenlab,
http://amorporjuarez.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://andreslajous.blogs.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://anonimosmexico.socialgo.com,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://astillero.tv,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://base.espora.org/tiki-index.php,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://centroprodh.org.mx/agua/index.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://centroprodh.org.mx/casos/index_casos.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://centroprodh.org.mx/casos/oaxaca_maestros/Principal.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://centroprodh.org.mx/de_fondho/index_defondo.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://centroprodh.org.mx/Focus/index_focus.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://centroprodh.org.mx/index1.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://centroprodh.org.mx/Sala%20de%20prensa/index_prensa.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://chiapas.indymedia.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://chiapatuit.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://circulodeestudioscoapa.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://citivox.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://elecciones-2011.org.mx,POLT,Political transformation,2014-04-15,citizenlab,
http://eluniversalgrafico.com.mx,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://espora.org/comitecerezo/,HUMR,Human rights,2014-04-15,citizenlab,
http://espora.org/comitecerezo/amenazas.php3,HUMR,Human rights,2014-04-15,citizenlab,
http://espora.org/lazos_punkz/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://espora.org/revueltas/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://espora.org/vientodelibertad/,HUMR,Human rights,2014-04-15,citizenlab,
http://fundar.org.mx,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://imc-yucatan.espora.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://internetnecesario.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
